,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,49,1,1,0,1,0,2,0,8,2,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0
BLCA,0,29,7,2,0,0,2,8,8,0,0,0,1,5,8,2,0,0,0,0,3,24,1,1,0,3
BRCA,0,2,486,5,3,0,16,9,43,5,11,4,2,4,3,53,3,15,45,9,4,36,3,13,5,7
CESC,1,0,29,14,4,0,6,4,36,4,2,0,2,1,11,1,1,3,4,3,7,11,3,2,3,3
COAD,0,1,13,0,143,0,0,1,8,1,0,0,3,0,1,12,2,0,0,0,5,26,0,1,0,6
DLBC,1,1,2,0,0,7,1,0,10,1,0,0,0,1,1,0,0,0,3,0,5,4,1,0,0,0
GBMLGG,1,0,35,1,0,0,183,3,37,6,6,147,2,1,0,10,0,3,5,3,1,4,5,4,2,2
HNSC,0,1,33,5,5,0,8,54,17,1,2,0,3,5,18,13,3,1,1,0,4,44,3,1,0,1
KIPAN,0,2,59,1,2,0,7,2,159,222,1,0,7,2,1,7,0,7,14,2,1,5,6,3,4,1
KIRC,0,0,29,0,0,0,7,0,251,24,2,0,0,0,0,2,0,2,9,2,1,1,1,1,2,0
LAML,0,0,20,0,0,0,8,0,0,0,82,1,0,0,0,5,0,10,13,1,0,0,0,6,12,0
LGG,0,0,5,0,0,0,179,0,1,1,2,30,0,0,0,1,1,2,1,2,0,0,0,1,3,0
LIHC,1,2,19,3,4,0,11,4,32,0,0,0,30,2,5,6,0,0,4,1,2,25,1,0,0,6
LUAD,0,0,14,3,2,0,10,4,19,0,0,0,4,47,16,6,0,1,6,1,11,37,1,1,0,1
LUSC,0,1,2,4,1,0,1,13,4,0,0,0,3,10,73,3,0,0,0,0,14,46,0,0,2,1
OV,1,0,92,0,6,0,8,1,22,1,3,0,2,1,3,71,6,2,8,7,1,16,0,2,0,0
PAAD,0,0,28,0,3,0,7,5,15,0,0,0,2,2,1,31,11,0,1,1,0,9,2,0,1,1
PCPG,0,0,43,0,0,0,2,0,4,1,6,0,0,0,0,0,0,39,31,3,0,0,0,14,4,0
PRAD,0,0,80,1,2,0,8,0,19,5,7,0,1,0,2,8,0,16,80,3,1,0,0,26,4,3
SARC,0,0,77,1,1,0,16,0,19,5,3,0,0,1,0,11,0,7,22,18,3,2,5,3,3,1
SKCM,0,1,11,0,1,0,8,1,14,0,0,1,4,5,2,1,0,0,1,0,211,7,1,6,0,1
STES,2,2,48,2,9,0,10,27,27,1,0,0,2,9,27,7,3,1,2,3,6,185,1,1,2,2
TGCT,0,0,11,2,0,0,4,0,52,5,0,0,1,0,0,1,2,1,4,4,0,1,35,1,0,0
THCA,0,0,29,0,0,0,1,0,2,0,12,0,0,0,0,1,0,24,32,3,3,0,0,198,19,0
THYM,0,0,17,0,0,0,2,1,1,0,14,0,0,0,0,0,0,8,13,0,0,1,0,10,31,0
UCEC,0,1,36,0,1,0,11,3,8,0,0,0,4,1,1,7,0,0,6,3,6,4,0,0,0,106
