,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,54,0,6,0,1,0,1,0,1,1,1,0,2,0,0,1,0,1,0,1,0,0,1,0,1,0
BLCA,0,19,20,4,3,0,2,13,9,1,0,0,0,1,3,7,0,1,3,3,0,12,2,0,0,1
BRCA,0,0,515,9,5,0,13,8,38,8,8,0,7,1,3,94,6,4,10,13,0,19,4,3,2,16
CESC,0,0,65,11,4,2,5,9,19,0,0,0,6,2,2,0,0,0,6,2,2,6,3,4,1,6
COAD,0,1,12,4,145,1,2,2,6,1,0,1,6,0,0,7,4,0,0,1,8,10,3,4,0,5
DLBC,0,1,5,2,0,8,1,1,7,1,0,0,0,0,0,1,0,1,0,1,0,3,3,1,0,2
GBMLGG,0,1,65,2,0,0,142,1,16,1,3,158,4,5,0,14,1,1,6,7,2,2,1,6,2,21
HNSC,0,6,44,0,11,0,12,57,16,2,1,0,6,3,13,22,5,1,3,1,0,12,3,0,2,3
KIPAN,0,4,123,10,6,1,12,4,109,173,4,1,5,2,0,12,2,9,7,5,0,3,8,7,1,7
KIRC,0,0,55,4,4,1,8,0,218,21,3,0,2,2,0,1,0,3,5,1,0,0,1,2,0,3
LAML,0,0,52,0,0,0,2,0,7,0,75,2,0,0,0,10,0,0,3,1,0,1,5,0,0,0
LGG,0,0,11,0,0,0,156,1,1,0,1,52,0,0,0,2,1,0,1,2,0,0,0,1,0,0
LIHC,0,3,34,3,4,0,6,4,16,0,3,2,30,3,0,10,2,2,6,3,2,13,5,1,1,5
LUAD,0,1,20,2,4,1,14,8,11,1,4,2,12,29,12,16,5,2,3,8,6,12,3,4,2,2
LUSC,1,4,15,1,7,0,7,29,10,3,0,1,3,14,19,10,4,1,5,3,1,33,1,0,0,6
OV,0,2,66,3,8,0,13,5,11,1,0,0,2,2,1,117,5,0,3,2,0,8,1,1,1,1
PAAD,0,1,27,3,2,0,3,10,9,3,1,0,2,3,0,39,8,1,1,0,0,5,2,0,0,0
PCPG,0,0,80,3,1,0,0,0,16,3,0,0,0,0,0,2,1,12,4,6,0,0,2,9,8,0
PRAD,1,0,130,1,2,0,6,0,32,7,0,2,5,5,0,14,0,4,37,5,0,1,1,7,2,4
SARC,0,3,79,4,1,0,6,1,21,1,1,1,3,1,1,23,2,3,11,24,2,1,0,5,0,4
SKCM,0,1,16,11,7,0,5,5,11,1,2,1,9,4,2,1,1,4,1,5,146,6,2,31,0,4
STES,3,4,64,14,25,2,9,28,20,2,5,1,10,14,21,28,13,1,1,5,6,76,7,4,0,16
TGCT,0,0,34,3,1,0,2,3,29,0,6,0,2,0,0,1,0,4,2,2,0,2,31,2,0,0
THCA,0,1,94,0,1,0,1,0,9,1,0,0,0,0,0,1,0,10,9,0,2,0,1,193,0,1
THYM,0,1,67,1,0,0,1,1,6,0,3,0,1,1,0,2,0,5,3,0,0,0,1,1,4,0
UCEC,0,2,29,11,6,0,11,1,5,1,1,0,7,1,1,6,1,0,0,0,1,4,5,0,0,105
