,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,52,1,1,0,0,0,1,0,8,1,0,0,1,1,1,0,0,0,0,0,1,2,2,0,0,0
BLCA,0,32,4,0,2,0,0,9,9,0,0,0,1,4,11,1,0,0,2,0,5,20,0,0,0,4
BRCA,1,4,416,6,3,0,20,5,61,2,8,3,6,6,6,83,3,21,52,8,4,32,3,12,9,12
CESC,1,1,24,20,3,0,4,5,39,0,2,0,2,3,12,1,1,2,2,5,8,9,4,1,4,2
COAD,0,4,11,1,148,0,0,1,6,2,0,0,2,1,0,10,3,0,0,1,9,14,1,1,0,8
DLBC,0,0,3,1,0,8,1,0,7,2,0,0,0,0,2,1,0,0,2,1,5,4,1,0,0,0
GBMLGG,1,1,26,2,0,0,158,4,49,0,7,158,3,1,0,13,1,3,5,3,1,6,8,4,2,5
HNSC,0,1,28,9,6,0,5,56,14,0,1,0,3,7,14,19,8,0,2,2,6,36,3,1,0,2
KIPAN,0,2,53,3,4,0,16,0,168,193,3,1,7,2,2,9,2,6,13,7,1,7,7,2,4,3
KIRC,0,0,33,2,2,0,9,0,239,25,2,0,0,0,0,2,0,1,13,1,0,0,2,1,2,0
LAML,0,0,8,0,0,0,3,0,0,0,77,6,0,0,0,8,0,6,21,1,1,0,0,4,23,0
LGG,0,0,4,0,0,0,150,0,4,0,3,58,0,0,0,1,1,1,1,2,0,0,0,1,3,0
LIHC,0,2,16,3,4,0,9,4,26,1,0,1,33,3,11,11,0,0,2,2,2,18,3,0,0,7
LUAD,0,1,9,3,3,0,7,6,24,1,0,0,8,49,20,8,1,0,5,2,8,25,2,1,0,1
LUSC,0,4,3,6,2,0,2,15,3,0,0,0,1,7,70,4,0,0,0,0,11,42,1,0,2,5
OV,1,2,37,1,7,0,6,4,20,0,3,0,2,1,1,123,6,1,10,7,0,16,2,1,0,2
PAAD,1,0,11,0,3,1,7,7,13,2,0,0,1,2,0,42,13,0,5,1,0,7,2,0,1,1
PCPG,0,0,23,0,0,0,1,0,7,2,5,0,0,0,0,0,0,45,39,4,0,0,0,14,7,0
PRAD,0,0,64,0,2,0,5,0,25,4,2,1,0,0,2,12,0,19,94,1,0,1,0,17,11,6
SARC,0,0,51,2,1,0,8,1,31,4,4,0,0,1,0,25,1,9,23,21,3,2,3,2,4,2
SKCM,0,1,8,2,4,0,3,3,13,0,1,1,5,4,4,1,0,1,4,0,203,7,2,7,0,2
STES,2,3,31,4,13,0,1,29,31,1,0,1,6,14,28,15,5,0,3,2,8,173,1,0,3,5
TGCT,0,0,8,1,1,0,4,0,53,3,0,0,1,0,0,2,2,1,3,3,0,1,40,1,0,0
THCA,0,0,24,0,1,0,0,0,3,0,8,0,0,0,0,1,0,21,38,1,2,0,0,203,22,0
THYM,0,0,9,0,0,0,2,1,2,0,10,0,0,0,0,0,0,6,20,1,0,1,1,8,37,0
UCEC,2,1,27,3,2,0,15,1,5,1,0,0,6,1,4,11,0,0,4,1,4,3,0,0,0,107
