,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,47,1,0,0,0,1,1,1,10,0,0,0,2,1,1,0,0,0,0,0,2,3,2,0,0,0
BLCA,0,31,7,3,3,0,1,8,4,0,0,0,1,4,11,1,0,0,2,1,3,21,1,0,0,2
BRCA,0,3,421,8,3,0,20,11,47,1,15,3,5,5,4,74,5,23,64,9,3,29,6,12,0,15
CESC,1,0,21,20,4,0,8,4,30,3,5,0,0,4,15,0,0,2,7,4,7,7,6,1,0,6
COAD,0,3,11,2,151,0,0,1,11,1,0,0,2,0,0,11,2,0,0,0,7,12,1,1,0,7
DLBC,0,0,3,1,0,9,2,2,5,0,0,0,0,2,2,1,0,0,2,0,5,2,1,0,0,1
GBMLGG,1,0,28,3,1,0,214,3,43,3,8,91,2,3,2,15,1,3,9,6,2,6,9,4,1,3
HNSC,0,4,28,6,7,0,8,49,16,1,1,0,1,8,19,15,8,0,2,1,5,40,1,0,0,3
KIPAN,0,2,65,3,6,0,16,3,268,85,7,1,2,0,3,10,1,4,12,6,1,6,5,5,2,2
KIRC,0,0,44,2,4,0,12,0,170,73,4,1,0,0,0,4,0,1,10,2,2,0,2,1,2,0
LAML,0,0,11,0,0,0,2,0,0,0,97,8,0,0,0,6,0,10,14,0,0,0,0,5,5,0
LGG,0,0,4,0,0,0,100,2,3,0,7,98,0,0,0,3,1,0,2,6,0,0,0,3,0,0
LIHC,1,2,12,2,3,0,10,2,31,0,0,1,30,6,12,12,0,0,5,1,3,17,2,0,0,6
LUAD,0,2,13,1,4,0,11,7,17,1,0,0,9,45,15,6,2,0,3,2,10,31,4,0,0,1
LUSC,0,3,2,4,1,0,1,14,3,0,2,0,4,8,84,4,0,0,0,0,8,39,0,0,0,1
OV,1,1,31,1,7,0,8,6,25,0,3,0,0,2,1,123,6,1,11,5,0,15,3,2,0,1
PAAD,0,1,9,0,3,0,4,7,14,0,1,0,1,4,0,40,16,0,5,4,0,10,1,0,0,0
PCPG,0,0,26,0,0,0,2,0,6,1,7,0,0,0,0,0,0,51,32,5,0,0,0,11,6,0
PRAD,0,0,76,1,3,0,5,0,24,3,12,0,0,1,1,10,0,19,74,6,0,3,0,15,9,4
SARC,0,0,54,1,1,0,9,1,32,1,5,2,0,1,0,25,1,9,23,19,3,2,4,2,1,2
SKCM,0,1,6,1,3,0,4,2,17,1,1,1,4,2,6,1,0,1,3,1,207,3,2,6,0,3
STES,1,6,29,3,11,0,6,26,28,0,2,0,8,15,26,17,6,0,5,1,7,173,3,0,0,6
TGCT,0,0,10,2,1,0,3,3,51,2,0,0,1,0,0,2,1,1,1,2,0,1,42,1,0,0
THCA,0,0,22,1,1,0,0,0,2,0,28,0,0,0,0,1,1,22,31,1,4,0,0,206,4,0
THYM,0,0,12,0,0,0,2,0,2,0,40,0,0,0,0,1,0,7,18,2,0,1,1,10,2,0
UCEC,0,0,26,1,4,0,14,3,3,1,0,0,6,1,2,7,0,0,3,1,6,2,0,0,1,117
