,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,31,3,7,2,0,1,10,4,0,0,0,2,9,11,3,0,0,2,1,0,15,1,0,0,2
BRCA,1,3,417,6,3,0,14,19,29,1,15,1,11,9,5,67,9,18,70,19,0,28,7,17,8,9
CESC,0,4,21,22,5,0,13,7,17,1,4,0,6,7,8,1,0,3,6,10,1,7,5,1,1,5
COAD,0,0,10,3,152,0,2,3,3,0,0,0,3,4,1,7,2,0,3,2,3,19,0,0,0,6
DLBC,0,0,4,0,0,19,0,5,3,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0
GBMLGG,0,0,26,3,0,0,211,5,12,5,5,106,4,2,2,15,3,3,14,11,2,9,7,6,0,10
HNSC,0,3,19,9,2,1,5,75,7,0,0,0,4,12,19,16,10,0,4,4,2,26,2,0,2,1
KIPAN,3,0,46,7,5,2,13,5,219,85,6,0,15,4,2,13,1,9,35,19,0,2,16,2,3,3
KIRC,0,0,30,4,4,0,10,0,128,79,4,0,10,2,0,5,0,8,29,10,0,2,5,0,1,3
LAML,0,0,9,0,0,0,4,0,0,2,96,4,0,0,0,6,0,8,10,2,0,0,0,11,6,0
LGG,0,0,7,0,0,0,97,0,1,0,6,103,0,0,0,4,0,0,5,2,0,1,0,1,1,1
LIHC,0,3,18,1,2,1,8,7,19,0,0,0,46,6,8,4,1,0,3,11,0,16,3,0,0,1
LUAD,0,2,7,4,1,2,10,13,11,0,0,0,8,56,20,7,2,1,3,5,4,26,0,1,0,1
LUSC,0,3,2,5,1,0,1,14,2,0,2,0,8,23,85,2,1,0,0,0,5,21,0,0,0,3
OV,0,0,52,0,7,0,7,8,11,0,2,0,6,1,2,111,11,2,11,7,0,7,3,1,1,3
PAAD,0,0,8,2,3,1,6,7,7,0,1,0,1,3,0,29,28,1,4,5,1,12,1,0,0,0
PCPG,0,0,18,0,0,0,2,0,4,2,7,1,0,0,0,1,1,46,35,6,0,0,1,17,6,0
PRAD,0,0,36,3,3,0,5,0,5,2,9,0,6,1,2,7,0,9,120,24,0,2,0,23,7,2
SARC,0,0,36,1,1,0,15,0,11,0,7,2,5,2,0,23,1,8,34,36,3,2,3,6,0,2
SKCM,1,1,5,1,1,0,4,0,7,0,1,0,1,4,0,1,2,5,3,2,231,1,2,3,0,0
STES,1,7,21,8,14,0,10,29,14,0,2,0,6,15,23,13,6,2,4,3,0,193,2,0,0,6
TGCT,0,0,9,1,1,0,4,1,21,2,0,0,2,0,0,0,2,1,2,7,0,0,69,2,0,0
THCA,0,0,15,0,1,0,3,0,0,0,23,0,0,0,0,1,0,14,49,5,4,0,0,202,7,0
THYM,0,0,6,3,0,0,1,0,0,0,37,0,0,1,0,1,0,9,22,1,0,1,0,9,7,0
UCEC,0,2,18,1,6,1,12,2,2,0,0,0,2,0,1,9,0,0,2,5,0,8,0,0,0,127
