,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,38,3,8,1,0,3,9,4,0,0,0,1,4,11,4,0,0,0,1,1,15,1,0,0,0
BRCA,1,2,485,7,4,0,13,13,20,1,14,1,8,5,5,58,3,10,62,12,0,23,4,19,3,13
CESC,0,6,34,25,4,0,12,6,18,1,4,0,2,4,8,0,1,1,5,5,0,10,2,2,1,4
COAD,0,0,14,1,154,0,3,1,1,0,0,0,2,3,0,5,5,0,3,1,2,18,0,0,0,10
DLBC,0,1,5,0,0,18,1,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
GBMLGG,0,0,38,3,1,0,236,4,12,0,6,100,2,1,1,12,1,1,7,9,4,7,5,4,0,7
HNSC,0,10,34,10,4,1,7,50,6,0,1,0,4,11,19,13,8,0,5,1,1,37,1,0,0,0
KIPAN,5,1,75,4,4,0,13,9,253,60,5,0,8,0,1,7,0,7,26,13,0,3,13,3,2,3
KIRC,1,0,42,4,2,0,10,0,167,55,4,0,3,0,0,4,0,4,22,5,0,1,4,1,1,4
LAML,0,0,20,0,0,0,3,0,0,1,97,1,0,0,0,4,0,5,12,0,0,0,0,11,4,0
LGG,0,0,9,0,0,0,98,1,1,0,6,105,0,0,0,4,0,1,1,2,0,0,0,1,0,0
LIHC,0,2,22,0,2,1,13,6,20,1,0,0,42,7,6,7,1,0,3,4,0,15,2,0,0,4
LUAD,0,2,17,7,1,1,10,9,8,0,0,0,8,61,20,6,1,0,3,3,4,21,0,1,0,1
LUSC,0,2,4,2,1,0,1,17,2,0,2,0,5,20,85,3,1,0,0,0,1,31,0,0,0,1
OV,0,0,69,0,7,0,7,9,12,0,2,0,6,1,1,95,9,3,11,9,0,9,1,1,0,1
PAAD,0,0,15,4,3,0,9,9,5,0,2,0,1,1,1,24,24,0,4,1,0,14,1,1,0,1
PCPG,0,0,30,1,0,0,1,0,1,1,8,0,0,0,0,0,0,42,31,6,0,0,0,20,6,0
PRAD,0,0,80,1,3,0,5,0,9,0,10,1,3,0,1,5,0,6,97,16,0,1,1,21,3,3
SARC,0,1,54,2,1,0,19,2,7,0,5,0,5,3,0,22,1,3,29,26,3,1,3,8,1,2
SKCM,1,0,8,0,1,0,5,1,10,0,1,0,1,3,0,1,1,1,2,2,230,2,2,4,0,0
STES,1,4,41,5,11,0,10,23,13,0,2,0,7,15,21,8,9,0,2,4,0,197,0,1,0,5
TGCT,0,0,14,1,1,0,4,1,22,2,0,0,2,0,0,1,2,0,2,2,0,0,69,1,0,0
THCA,0,0,29,0,1,0,2,0,0,0,21,0,0,0,0,1,0,9,39,4,3,1,0,207,7,0
THYM,0,0,12,0,0,0,1,0,0,0,39,0,0,3,0,1,0,4,16,0,0,1,0,11,10,0
UCEC,0,1,26,0,4,0,9,2,1,0,0,0,1,0,1,8,1,0,1,3,0,5,0,0,0,135
