,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,66,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,29,7,8,1,0,4,11,7,0,0,0,2,5,8,2,1,0,0,0,2,17,0,0,0,0
BRCA,1,0,525,6,1,0,13,7,24,0,12,1,6,5,5,44,1,13,52,14,1,23,4,13,4,11
CESC,0,4,31,25,2,0,13,2,23,0,5,0,1,2,9,0,0,2,3,7,1,15,3,2,1,4
COAD,0,0,14,1,156,0,3,1,3,0,0,0,2,1,0,5,5,0,2,1,3,17,0,1,0,8
DLBC,0,1,5,0,0,16,1,4,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0
GBMLGG,0,0,42,4,1,0,240,1,10,1,6,97,2,1,1,10,1,3,10,6,4,9,5,4,0,3
HNSC,0,6,37,10,2,0,7,63,9,0,1,0,5,11,16,10,7,0,4,1,1,30,2,1,0,0
KIPAN,2,0,78,6,3,0,15,2,267,57,7,0,5,0,1,9,0,7,21,7,0,8,12,4,2,2
KIRC,1,0,46,3,1,0,12,0,178,50,3,0,3,0,0,2,0,5,18,3,0,2,3,1,1,2
LAML,0,0,24,0,0,0,7,0,0,1,88,1,0,0,0,4,0,7,10,1,0,0,0,9,6,0
LGG,0,0,11,0,0,0,104,0,0,0,6,99,0,0,0,3,0,1,2,1,0,1,0,1,0,0
LIHC,0,2,30,1,2,1,13,1,22,0,0,0,39,5,7,3,1,0,4,4,0,19,2,0,0,2
LUAD,0,2,17,6,1,1,12,8,10,0,0,0,4,60,18,6,2,1,4,4,4,22,0,1,0,1
LUSC,0,2,2,4,1,1,1,21,3,0,2,0,6,17,78,2,1,0,0,0,1,36,0,0,0,0
OV,0,0,88,1,3,0,14,6,13,0,3,0,2,1,0,88,4,2,6,8,0,10,3,0,0,1
PAAD,0,0,18,0,3,0,10,7,7,0,1,0,0,2,0,25,23,0,4,1,0,14,3,1,0,1
PCPG,0,0,38,0,0,0,2,0,3,1,8,0,0,0,0,0,0,51,24,4,0,1,0,11,4,0
PRAD,0,0,89,1,2,0,4,0,11,1,8,1,4,0,1,4,0,7,90,14,0,1,0,19,6,3
SARC,0,0,69,2,0,0,19,0,10,0,4,1,2,3,0,20,2,2,24,27,3,2,2,4,0,2
SKCM,1,0,9,1,1,0,6,1,8,0,1,0,1,2,0,0,1,1,1,2,230,3,3,4,0,0
STES,0,3,46,4,11,1,9,14,15,0,2,0,7,10,17,10,7,1,2,4,0,209,1,1,0,5
TGCT,0,0,11,0,0,0,4,1,21,2,0,0,2,0,0,0,1,0,2,3,0,2,72,3,0,0
THCA,0,0,42,0,1,0,2,0,1,0,19,0,0,0,0,1,0,15,29,4,3,1,0,203,3,0
THYM,0,0,18,0,0,0,1,0,0,0,38,0,0,2,0,1,0,8,14,0,0,1,0,10,5,0
UCEC,0,1,34,0,3,0,14,2,2,0,0,0,1,0,1,3,0,0,2,1,0,6,0,0,0,128
