,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,61,0,1,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0
BLCA,0,14,23,3,1,0,3,14,6,1,0,0,1,2,4,12,1,0,4,1,0,11,0,1,0,2
BRCA,0,1,517,3,2,0,19,4,22,6,2,0,1,1,2,59,0,5,104,2,6,20,0,4,0,6
CESC,0,4,54,4,2,0,15,8,10,2,1,1,0,0,8,5,1,0,19,1,3,10,3,0,0,4
COAD,0,1,22,0,136,0,1,1,5,0,0,0,1,1,0,15,1,1,3,2,4,14,1,2,1,11
DLBC,0,1,5,1,2,6,3,4,4,0,0,0,0,2,1,1,1,0,2,0,1,3,1,0,0,0
GBMLGG,0,0,50,3,0,0,257,2,11,3,7,54,1,2,1,20,1,5,20,3,6,6,1,4,0,4
HNSC,0,1,40,4,3,0,14,57,8,0,0,0,0,6,11,26,3,0,10,0,2,32,2,2,0,2
KIPAN,1,2,98,2,2,0,20,8,190,57,3,0,5,3,2,16,1,6,64,3,5,10,11,6,0,0
KIRC,0,0,57,2,1,0,18,2,127,57,2,0,1,1,1,6,0,4,41,2,2,4,3,3,0,0
LAML,0,0,20,0,0,0,14,0,0,0,62,1,0,0,0,5,0,2,34,0,12,0,2,6,0,0
LGG,0,0,6,0,0,0,148,1,0,0,2,57,0,0,0,4,0,0,6,0,3,0,0,1,0,1
LIHC,0,2,39,0,1,0,20,6,11,1,1,0,11,4,4,18,1,2,22,2,0,11,1,1,0,0
LUAD,0,0,27,0,2,0,22,9,11,1,0,0,2,35,21,24,1,3,9,0,2,12,0,3,0,0
LUSC,0,0,17,3,4,0,7,24,6,0,0,0,2,12,39,27,0,0,3,1,6,24,2,0,0,1
OV,0,0,98,0,5,0,20,4,7,2,0,0,0,0,1,86,3,0,17,1,0,6,1,2,0,0
PAAD,0,0,30,1,2,0,7,11,2,0,0,0,0,4,0,32,6,1,5,0,1,14,2,1,0,1
PCPG,0,0,32,0,0,0,13,0,9,2,1,0,0,0,0,0,1,22,54,2,3,0,1,7,0,0
PRAD,0,0,72,0,1,0,6,1,11,0,0,2,1,0,0,5,0,1,145,2,5,1,0,12,0,1
SARC,0,0,64,1,2,0,21,1,12,1,1,0,0,1,1,13,0,1,58,9,6,4,0,2,0,0
SKCM,0,0,15,1,2,0,14,1,9,2,1,0,1,3,3,0,0,3,4,1,194,4,2,16,0,0
STES,0,1,81,2,21,0,21,25,15,4,2,0,5,7,6,40,3,0,10,2,6,121,1,0,0,6
TGCT,0,1,29,3,0,0,11,1,19,1,1,0,1,0,0,2,0,0,12,0,1,5,36,1,0,0
THCA,0,0,25,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,70,0,19,0,0,203,0,0
THYM,0,0,19,0,0,0,3,1,1,0,1,0,0,0,0,2,0,0,33,1,30,2,0,4,1,0
UCEC,0,0,37,2,6,0,18,6,4,0,0,0,2,0,2,12,1,0,4,0,2,7,1,2,0,92
