,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,34,3,6,1,0,3,11,4,0,0,0,2,4,11,3,0,0,0,1,2,18,1,0,0,0
BRCA,1,2,504,7,1,0,15,10,18,1,12,1,5,6,4,47,5,12,60,9,0,25,6,19,3,13
CESC,0,6,36,32,2,0,12,3,15,2,5,0,3,2,7,1,0,2,7,2,1,8,3,1,1,4
COAD,0,0,18,0,155,0,1,0,1,0,0,0,2,2,1,3,6,0,1,2,2,20,0,1,0,8
DLBC,0,0,4,0,0,17,1,3,5,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,1
GBMLGG,0,0,41,3,0,0,245,1,9,0,6,95,2,1,1,13,1,1,7,7,3,10,5,5,0,5
HNSC,0,9,36,12,3,1,6,65,7,0,1,0,3,9,19,10,8,1,2,1,1,28,1,0,0,0
KIPAN,4,0,81,4,2,0,13,4,248,68,6,0,6,1,1,8,0,6,22,11,0,8,12,5,2,3
KIRC,1,0,47,2,0,0,12,0,163,61,4,0,4,1,0,3,0,4,18,4,0,2,3,1,1,3
LAML,0,0,20,0,0,0,5,0,0,1,91,1,0,0,0,4,0,6,13,0,0,0,0,13,4,0
LGG,0,0,10,0,0,0,107,0,1,0,7,96,0,0,0,3,0,0,2,1,0,1,0,1,0,0
LIHC,0,2,29,0,3,0,13,3,20,0,0,0,44,6,5,4,1,0,4,3,0,16,2,0,0,3
LUAD,0,2,18,4,1,1,11,11,6,0,0,0,7,61,17,7,1,1,2,5,5,22,0,1,0,1
LUSC,0,2,5,4,0,0,1,15,3,0,2,0,6,21,77,2,1,0,0,0,2,36,0,0,0,1
OV,0,0,91,2,2,0,8,4,9,0,1,0,3,1,1,92,6,2,8,6,0,14,2,0,0,1
PAAD,0,0,22,3,3,0,8,8,5,0,2,0,1,2,0,20,24,0,5,1,0,12,2,1,0,1
PCPG,0,0,39,1,0,0,2,0,0,1,7,0,0,0,0,0,0,44,24,5,1,0,0,18,5,0
PRAD,0,0,87,1,2,0,5,0,9,0,9,1,4,0,1,5,2,6,93,9,0,1,1,23,4,3
SARC,0,1,67,1,1,0,20,1,8,0,4,0,1,2,0,16,1,2,28,30,3,2,2,6,0,2
SKCM,1,0,11,0,1,0,4,1,6,0,1,0,1,4,0,1,1,1,2,3,230,1,2,5,0,0
STES,1,4,35,7,13,0,8,19,14,0,2,0,6,12,20,14,7,0,2,2,0,205,3,1,0,4
TGCT,0,0,17,2,1,0,4,1,23,0,0,0,2,0,0,0,1,0,0,3,0,1,68,1,0,0
THCA,0,0,37,0,1,0,3,0,0,0,22,0,0,0,0,1,0,11,36,2,4,1,0,203,3,0
THYM,0,0,15,0,0,0,1,0,0,0,37,0,0,2,0,1,0,4,14,0,0,1,0,14,9,0
UCEC,0,2,29,1,3,0,11,1,1,0,0,0,2,0,1,4,2,0,1,4,0,6,0,0,0,130
