,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,36,8,5,1,1,1,11,5,0,0,0,0,4,6,1,2,0,0,1,0,19,0,1,0,2
BRCA,1,2,483,11,2,0,16,15,27,4,12,1,8,4,5,57,1,8,54,18,0,23,3,17,4,10
CESC,0,5,39,39,1,0,9,5,16,2,4,0,2,3,5,0,0,2,4,3,1,7,2,1,1,4
COAD,0,0,14,0,158,0,1,2,4,0,0,0,3,4,1,5,5,0,0,1,2,16,0,0,0,7
DLBC,0,0,6,1,0,16,0,5,4,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0
GBMLGG,0,0,36,1,1,0,235,3,12,2,6,102,3,0,1,14,1,1,7,8,2,11,7,6,0,2
HNSC,0,5,38,11,2,0,7,66,7,0,1,0,3,10,19,11,7,0,3,2,2,26,1,0,1,1
KIPAN,5,0,75,2,1,0,16,2,237,80,5,0,7,1,2,8,0,9,25,13,0,7,13,3,2,2
KIRC,0,0,46,2,0,0,8,0,151,68,3,0,3,1,0,4,0,8,24,8,0,3,2,0,0,3
LAML,0,0,23,0,0,0,5,0,0,2,91,1,0,0,0,5,0,6,10,0,0,0,0,9,6,0
LGG,0,0,9,1,0,0,103,0,1,0,6,97,0,0,0,3,0,0,2,3,0,1,0,1,1,1
LIHC,0,1,22,1,3,0,10,2,20,0,0,0,48,5,9,4,0,0,3,3,0,21,2,0,0,4
LUAD,0,1,12,4,2,1,11,14,11,0,0,0,11,59,15,5,1,0,2,4,4,26,0,1,0,0
LUSC,0,4,3,2,0,0,1,20,5,0,2,0,4,17,84,2,1,0,0,0,3,30,0,0,0,0
OV,0,0,77,2,2,0,9,5,11,0,2,0,3,1,2,103,4,1,4,5,0,15,3,1,0,3
PAAD,0,1,16,3,1,0,8,8,5,0,1,0,1,0,0,30,28,1,2,3,0,10,1,0,0,1
PCPG,0,0,35,0,0,0,4,0,3,2,6,0,0,0,0,0,1,41,27,4,0,0,0,17,7,0
PRAD,0,0,75,0,2,0,8,0,7,0,7,0,3,1,1,7,1,6,104,15,0,1,1,20,4,3
SARC,0,0,70,1,0,0,15,1,7,0,5,0,0,0,1,17,2,4,27,32,3,2,3,5,1,2
SKCM,1,0,9,0,1,0,5,1,8,0,1,0,1,1,1,1,0,1,3,1,230,5,2,4,0,0
STES,1,4,35,7,11,1,7,27,16,0,3,0,3,9,21,13,3,3,1,2,0,201,3,1,0,7
TGCT,0,0,14,0,0,0,2,0,24,1,0,0,3,1,0,0,1,0,2,5,0,1,68,2,0,0
THCA,0,0,43,1,1,0,2,0,0,0,21,0,0,0,0,1,0,8,32,1,4,0,0,206,4,0
THYM,0,0,16,1,0,0,2,1,0,0,32,0,0,0,0,0,0,7,18,1,0,1,1,10,8,0
UCEC,0,1,25,1,6,0,12,2,3,1,0,0,1,1,2,5,0,0,2,2,0,6,0,0,0,128
