,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,57,1,1,0,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,1,2,2,1,0,0,0
BLCA,0,33,4,3,1,1,2,10,5,0,0,0,1,5,10,1,2,0,1,1,3,17,0,0,0,4
BRCA,0,2,424,2,3,0,13,7,34,4,13,1,13,9,3,76,5,14,80,15,2,32,7,10,5,12
CESC,0,3,22,24,0,0,4,5,22,3,4,0,3,4,15,0,0,4,6,8,2,12,7,0,1,6
COAD,1,0,10,1,156,0,1,0,6,1,0,0,3,0,0,8,4,0,0,0,10,15,0,1,0,6
DLBC,0,0,2,1,0,6,2,4,8,0,0,0,0,1,1,1,0,0,1,1,6,2,1,1,0,0
GBMLGG,0,0,22,5,0,0,231,1,32,3,9,87,0,0,1,12,4,3,15,7,1,9,7,4,3,5
HNSC,0,2,24,10,2,0,8,62,10,0,1,0,5,14,19,14,5,0,5,2,2,34,2,0,0,2
KIPAN,2,1,69,8,1,1,13,3,208,101,7,0,12,3,3,9,4,3,29,10,0,10,10,2,3,3
KIRC,0,0,44,2,0,1,10,1,127,90,3,0,3,3,0,3,0,2,23,9,1,1,7,0,3,1
LAML,0,0,7,0,0,0,2,0,0,0,88,10,0,0,0,4,0,9,20,2,0,0,0,6,10,0
LGG,0,0,6,0,0,0,113,1,3,0,8,84,0,0,0,2,1,2,2,4,0,0,0,2,0,1
LIHC,0,2,15,2,2,0,9,4,20,2,0,0,43,6,12,12,0,0,5,6,1,13,2,0,0,2
LUAD,0,0,14,3,0,0,7,6,12,0,0,0,10,56,21,6,1,1,4,6,8,22,4,1,0,2
LUSC,0,0,4,6,1,0,0,10,3,0,2,0,3,19,89,3,0,0,0,0,4,30,0,0,0,4
OV,0,0,44,1,1,0,5,5,16,0,3,1,6,4,2,118,11,3,11,6,0,12,1,1,1,1
PAAD,3,0,16,1,0,1,2,6,10,0,1,0,0,2,1,33,24,0,3,1,0,11,5,0,0,0
PCPG,0,0,30,0,0,0,4,0,3,2,8,0,0,0,0,0,0,43,37,4,0,0,0,12,4,0
PRAD,0,0,49,1,1,0,2,0,14,0,11,1,4,1,2,7,0,13,128,13,0,0,1,7,8,3
SARC,0,0,50,1,1,0,7,1,15,1,7,0,3,0,0,20,1,7,36,26,2,7,7,3,1,2
SKCM,0,1,8,1,3,0,2,1,9,1,0,1,1,3,1,1,0,2,4,2,212,9,4,6,1,3
STES,0,1,22,6,14,0,7,19,25,0,2,0,6,19,26,15,8,1,1,6,3,190,4,0,0,4
TGCT,2,0,16,4,0,0,2,2,39,1,0,0,0,0,0,1,1,1,6,4,0,1,43,1,0,0
THCA,0,0,19,0,1,0,1,0,3,1,26,0,0,1,0,1,0,12,50,0,7,0,0,194,8,0
THYM,0,0,7,0,0,0,1,0,3,0,40,0,0,0,0,1,0,1,27,1,0,1,1,8,7,0
UCEC,0,1,27,1,3,0,9,1,2,1,0,0,6,1,1,7,1,0,1,1,9,6,0,0,1,119
