,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,66,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
BLCA,0,37,6,9,2,0,1,13,5,0,0,0,0,3,6,1,1,0,1,0,0,17,0,1,0,1
BRCA,1,2,507,10,2,0,18,13,16,0,9,0,8,2,5,57,5,10,60,15,0,19,2,14,3,8
CESC,0,8,41,40,1,0,7,4,12,1,1,0,2,2,5,0,0,1,7,3,1,7,3,3,1,5
COAD,0,0,12,2,161,0,1,3,1,0,0,0,3,0,0,5,6,0,0,1,1,21,0,0,0,6
DLBC,0,1,7,1,0,15,1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,4,1,1,0,0
GBMLGG,0,0,46,2,0,0,232,2,6,1,15,88,1,2,1,15,1,2,7,10,2,15,5,4,0,4
HNSC,0,6,32,10,3,1,6,59,8,0,0,0,2,10,13,15,8,0,6,2,2,39,1,0,0,0
KIPAN,4,1,108,6,2,1,20,5,207,53,2,0,7,2,2,8,0,9,35,19,0,12,10,2,0,0
KIRC,0,0,75,4,0,0,14,1,126,50,1,0,2,1,0,4,0,6,28,10,0,4,7,1,0,0
LAML,0,0,36,0,0,0,2,0,0,0,83,1,0,0,0,5,0,7,9,3,0,0,0,8,4,0
LGG,0,0,17,0,0,0,104,0,0,1,11,87,0,0,0,3,1,0,1,1,0,1,1,1,0,0
LIHC,0,1,27,4,2,0,9,3,13,0,1,0,41,8,6,7,2,0,3,7,0,19,3,1,0,1
LUAD,0,1,21,7,1,1,11,6,6,0,0,0,9,62,13,5,2,0,0,4,4,28,0,2,0,1
LUSC,0,3,9,1,0,1,1,16,0,0,0,0,5,17,87,1,1,0,0,0,2,30,1,0,0,3
OV,0,0,77,0,1,0,6,7,6,1,0,0,4,1,4,102,9,3,12,6,1,8,3,0,0,2
PAAD,0,0,19,3,1,0,10,10,2,0,0,0,1,0,0,31,20,0,3,4,0,14,1,0,0,1
PCPG,0,0,37,0,0,0,3,0,1,1,3,0,0,0,0,0,0,42,30,7,0,1,0,18,4,0
PRAD,0,0,81,1,2,0,7,0,4,1,5,1,5,0,2,9,1,6,90,16,1,3,0,24,5,2
SARC,0,0,53,1,0,0,15,0,7,0,1,0,2,0,0,20,2,6,38,35,3,3,2,6,2,2
SKCM,0,0,11,1,1,0,4,2,6,0,1,0,1,0,1,1,0,2,2,2,231,3,2,5,0,0
STES,0,6,43,0,11,1,10,21,6,0,0,0,2,11,21,15,5,2,2,4,0,209,1,2,0,7
TGCT,0,0,19,2,0,0,4,0,21,0,0,0,1,1,0,2,1,0,1,4,0,0,67,1,0,0
THCA,0,0,55,0,1,0,2,0,0,0,8,0,0,0,0,1,1,9,31,4,1,0,0,210,1,0
THYM,0,0,54,1,0,0,2,0,0,0,4,0,0,0,0,1,0,2,17,1,0,1,0,12,3,0
UCEC,0,1,26,2,6,0,16,2,1,0,0,0,1,1,1,9,0,1,0,0,0,7,0,0,0,124
