,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,47,6,8,2,0,1,10,5,0,0,0,0,2,6,1,0,0,1,1,0,14,0,0,0,0
BRCA,1,3,494,7,1,0,16,10,23,2,12,1,7,4,4,54,2,11,57,12,0,27,4,17,6,11
CESC,0,8,35,38,2,0,11,5,16,1,4,0,2,1,3,0,0,1,4,3,0,11,3,2,1,4
COAD,0,1,12,1,157,0,0,2,3,0,0,0,3,4,0,6,5,0,1,1,2,17,0,0,0,8
DLBC,0,0,4,2,0,18,0,4,4,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0
GBMLGG,0,0,40,2,1,0,230,1,13,1,5,103,2,0,1,11,2,2,8,7,3,15,3,4,0,7
HNSC,0,6,35,12,3,0,9,62,8,0,0,0,3,11,14,16,8,0,3,3,2,28,0,0,0,0
KIPAN,4,1,80,1,2,0,18,2,260,62,6,0,7,0,1,7,2,10,19,6,0,8,12,3,2,2
KIRC,0,0,55,1,0,0,10,0,163,57,4,0,3,1,0,4,0,7,17,2,0,3,3,1,0,3
LAML,0,0,14,0,0,0,5,0,0,2,93,1,0,0,0,6,0,6,11,1,0,0,0,12,7,0
LGG,0,0,13,0,0,0,99,0,2,0,5,101,0,0,0,3,0,0,2,2,0,1,0,1,0,0
LIHC,0,1,24,2,2,0,9,4,16,1,0,0,47,4,8,8,1,0,3,4,0,20,4,0,0,0
LUAD,0,2,14,6,2,1,12,7,9,0,0,0,7,57,17,6,2,0,3,4,4,29,0,1,0,1
LUSC,0,4,3,2,0,0,2,13,3,0,2,0,6,21,87,2,1,0,0,0,2,30,0,0,0,0
OV,0,0,89,0,2,0,6,7,11,0,0,0,2,0,1,96,4,2,6,7,0,15,3,1,0,1
PAAD,0,0,18,1,2,0,9,7,4,0,1,0,1,1,0,27,24,1,3,2,0,15,2,0,0,2
PCPG,0,0,33,0,0,0,4,0,1,2,8,0,0,0,0,0,1,40,30,4,0,0,0,15,9,0
PRAD,0,0,75,0,2,0,6,0,6,1,8,1,4,0,2,5,2,7,107,15,0,1,0,19,3,2
SARC,0,0,65,2,0,0,18,0,7,0,5,1,2,0,0,16,2,2,32,32,3,2,2,3,2,2
SKCM,2,0,9,1,2,0,5,0,7,0,1,0,2,3,1,0,1,2,1,2,229,1,2,5,0,0
STES,0,5,38,3,12,0,11,26,19,0,2,0,2,11,20,16,4,0,2,2,0,197,1,0,0,8
TGCT,0,0,12,0,0,0,5,1,25,1,0,0,3,0,0,0,1,2,1,3,0,1,68,1,0,0
THCA,0,0,30,0,1,0,2,0,0,0,21,0,0,0,0,1,0,10,39,1,5,0,0,209,5,0
THYM,0,0,15,1,0,0,2,0,0,0,35,0,0,0,0,2,0,6,15,0,0,1,0,12,9,0
UCEC,0,2,26,0,2,0,16,4,1,0,0,0,1,1,1,11,0,0,0,1,0,5,0,0,0,127
