,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,44,5,9,1,0,2,9,4,0,0,0,0,5,6,1,0,0,1,0,0,17,0,0,0,0
BRCA,1,2,480,9,1,0,13,9,23,2,14,1,7,4,4,55,3,11,62,16,0,26,5,17,7,14
CESC,0,8,27,45,2,0,8,4,14,3,5,0,3,1,4,1,0,3,6,5,0,8,2,1,1,4
COAD,0,0,12,1,160,0,0,1,2,0,0,0,3,3,0,6,6,0,1,1,2,17,0,0,0,8
DLBC,0,0,7,1,0,19,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
GBMLGG,0,0,33,1,1,0,222,2,13,1,7,105,3,2,2,12,2,2,8,11,3,10,5,6,0,10
HNSC,0,7,30,14,3,0,6,65,9,1,1,0,4,8,17,11,10,0,5,1,2,28,1,0,0,0
KIPAN,5,1,64,4,2,0,13,2,247,77,6,0,7,2,1,6,2,7,27,16,0,6,12,2,2,4
KIRC,0,0,45,3,0,0,9,0,153,72,4,0,3,2,0,2,0,4,21,7,0,1,3,1,0,4
LAML,0,0,13,0,0,0,6,0,0,1,91,1,0,0,0,8,0,6,12,0,0,0,0,14,6,0
LGG,0,0,10,0,0,0,103,0,2,0,6,99,0,0,0,3,0,0,2,2,0,1,0,1,0,0
LIHC,0,1,22,2,2,0,10,2,18,0,0,0,46,6,9,6,1,0,2,5,0,18,3,1,0,4
LUAD,0,2,18,4,2,1,13,9,9,0,0,1,9,56,16,2,2,0,4,3,5,26,0,1,0,1
LUSC,0,6,4,2,0,0,2,13,3,0,2,0,3,21,90,2,1,0,0,0,1,28,0,0,0,0
OV,0,0,76,2,1,0,6,4,9,2,3,0,6,1,3,102,6,1,9,5,0,12,3,1,0,1
PAAD,0,1,15,4,2,0,8,6,4,0,1,0,1,0,0,28,28,0,5,2,0,11,3,0,0,1
PCPG,0,0,24,0,0,0,2,0,2,2,10,0,0,0,0,0,1,46,31,6,0,0,1,14,8,0
PRAD,0,0,62,0,2,0,7,0,7,0,7,1,4,0,2,7,1,4,109,19,0,1,0,27,4,2
SARC,0,0,64,2,0,0,20,0,6,0,6,0,3,0,0,16,1,3,32,29,3,2,4,5,0,2
SKCM,1,0,7,0,2,0,7,0,8,0,1,0,1,1,1,0,1,2,1,2,230,4,2,5,0,0
STES,1,6,34,3,13,0,8,25,14,0,3,0,3,11,21,17,3,0,2,3,0,204,1,1,0,6
TGCT,0,0,12,0,0,0,4,0,22,4,0,0,3,1,0,0,2,1,1,2,0,1,70,1,0,0
THCA,0,0,25,0,1,0,2,0,0,0,20,0,0,0,0,1,0,12,43,2,3,0,0,210,4,1
THYM,0,0,12,1,0,0,1,0,0,0,37,0,0,1,0,1,0,7,16,2,0,1,0,12,7,0
UCEC,0,1,21,2,4,0,12,1,1,0,0,0,1,1,1,8,1,0,1,3,0,9,0,0,0,131
