,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,42,6,8,1,0,1,14,4,0,0,0,1,2,6,1,0,0,1,1,0,16,0,0,0,0
BRCA,1,1,493,9,2,0,14,12,27,2,11,1,8,3,4,46,3,11,61,15,0,27,4,15,5,11
CESC,0,8,34,38,1,0,10,3,20,0,4,0,3,2,5,0,0,2,4,4,1,8,2,1,1,4
COAD,0,0,13,1,160,0,1,0,3,0,0,0,3,2,0,10,4,0,1,1,2,16,0,0,0,6
DLBC,0,1,5,1,0,18,0,3,5,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0
GBMLGG,0,0,41,1,1,0,241,2,16,1,6,91,1,0,1,11,1,2,6,6,2,13,5,7,0,6
HNSC,0,8,38,14,3,0,6,58,7,0,1,0,3,10,16,8,9,0,2,3,2,34,0,0,1,0
KIPAN,3,1,74,2,2,1,14,5,260,69,6,0,8,1,1,8,0,7,24,12,0,3,7,2,2,3
KIRC,0,0,48,2,0,0,10,0,160,64,4,0,4,0,0,3,0,4,21,5,0,2,2,1,0,4
LAML,0,0,14,0,0,0,5,0,0,2,93,2,0,0,0,6,1,3,13,0,0,0,0,14,5,0
LGG,0,0,12,0,0,0,118,0,1,0,6,84,0,0,0,3,0,0,1,1,0,1,0,2,0,0
LIHC,0,1,24,1,2,0,8,6,19,1,0,0,46,6,7,6,0,0,1,6,0,19,3,1,0,1
LUAD,0,1,14,9,1,1,10,7,11,0,0,0,7,57,18,4,2,0,4,4,4,28,0,1,0,1
LUSC,0,2,4,2,1,0,2,13,4,0,2,0,4,18,90,2,1,0,0,0,2,31,0,0,0,0
OV,0,0,95,0,1,0,7,6,9,0,1,0,6,0,2,93,3,1,6,5,0,13,3,0,0,2
PAAD,0,0,13,2,1,0,9,10,5,0,1,0,1,1,1,30,25,0,3,2,0,14,1,0,0,1
PCPG,0,0,31,0,0,0,4,0,1,2,7,0,0,0,0,0,1,38,32,6,0,0,0,19,6,0
PRAD,0,0,76,0,2,0,5,0,7,1,8,1,3,1,2,6,1,7,105,14,0,1,0,20,4,2
SARC,0,0,71,1,1,0,12,0,8,0,5,1,1,1,0,14,1,4,28,35,3,2,4,3,1,2
SKCM,1,0,9,0,2,0,6,0,7,0,1,0,2,1,1,1,1,2,2,1,228,4,2,5,0,0
STES,1,4,41,4,14,0,9,26,15,0,2,0,3,9,21,10,3,0,3,2,0,204,1,0,0,7
TGCT,0,0,16,0,0,0,4,0,23,2,0,0,4,1,0,0,1,1,0,3,0,0,68,1,0,0
THCA,0,0,28,0,1,0,3,0,1,0,21,0,0,0,0,1,0,15,40,1,4,0,0,205,4,0
THYM,0,0,16,1,0,0,2,1,0,0,36,0,0,0,0,1,0,5,15,1,0,1,0,9,10,0
UCEC,0,3,24,2,5,0,16,2,1,0,0,0,1,1,0,7,0,0,0,2,0,8,0,0,0,126
