,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,46,5,8,1,0,2,9,4,0,0,0,1,4,7,1,1,0,1,0,0,13,0,0,0,1
BRCA,1,3,472,10,1,0,13,13,27,3,12,1,7,2,3,54,3,10,63,16,0,29,5,19,7,12
CESC,0,7,30,43,2,0,10,4,16,1,5,0,2,3,4,1,0,2,6,4,1,7,1,1,1,4
COAD,0,0,13,1,159,0,2,0,1,0,0,0,2,3,0,6,6,0,1,1,3,17,0,0,0,8
DLBC,0,0,4,1,0,19,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,3,1,1,0,0
GBMLGG,0,0,33,1,1,0,241,2,11,1,7,94,4,0,2,11,2,2,7,6,3,13,6,7,0,7
HNSC,0,7,38,13,3,0,7,64,7,1,1,0,2,10,16,10,6,0,4,1,2,28,1,0,1,1
KIPAN,5,0,69,5,2,1,10,2,242,75,6,0,10,1,1,8,3,9,23,14,0,6,14,2,2,5
KIRC,0,0,41,5,0,1,7,0,151,72,4,0,4,1,0,3,0,6,22,5,0,3,4,0,0,5
LAML,0,0,14,0,0,0,7,0,0,1,91,1,0,0,0,7,0,8,10,0,0,0,0,12,7,0
LGG,0,0,13,0,0,0,115,0,1,0,6,87,0,0,0,3,0,0,2,0,0,1,0,1,0,0
LIHC,0,1,21,3,2,0,8,4,17,0,0,0,51,5,8,4,1,1,3,5,0,19,2,0,0,3
LUAD,0,2,17,7,1,1,9,4,11,0,0,0,9,59,20,3,2,0,4,4,3,26,0,1,0,1
LUSC,0,2,3,4,1,1,2,14,3,0,2,0,7,17,93,2,1,0,0,0,1,24,0,0,0,1
OV,0,0,67,0,2,0,6,7,12,1,1,0,10,0,0,98,10,2,8,11,0,14,2,1,0,1
PAAD,0,1,13,1,2,0,8,9,3,0,1,0,1,1,1,28,28,0,3,2,0,11,4,1,0,2
PCPG,0,0,24,0,0,0,3,0,1,3,8,0,0,0,0,0,1,44,33,5,0,0,1,17,7,0
PRAD,0,0,58,1,2,0,5,1,8,0,10,1,6,0,2,6,0,7,111,14,0,1,0,28,3,2
SARC,0,0,66,2,0,0,20,0,7,0,6,0,3,1,0,14,2,2,30,32,3,2,2,4,0,2
SKCM,2,0,8,0,1,0,5,1,8,0,1,0,1,1,1,0,0,2,1,2,231,4,2,5,0,0
STES,1,6,27,6,11,1,10,23,15,0,2,0,2,14,23,15,5,0,3,3,0,203,0,1,0,8
TGCT,0,0,13,0,0,0,4,0,21,3,0,0,2,1,0,0,4,1,1,2,0,1,69,2,0,0
THCA,0,0,25,1,1,0,2,0,0,0,23,0,0,0,0,1,0,11,44,2,3,0,0,205,6,0
THYM,0,0,13,2,0,0,1,1,0,0,36,0,0,1,0,1,0,6,15,1,0,1,0,9,11,0
UCEC,0,1,22,2,3,0,14,1,2,0,0,0,0,1,1,8,1,0,1,3,0,6,0,0,0,132
