,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,36,10,3,1,0,0,11,5,0,0,0,0,2,7,2,0,0,1,0,0,26,0,0,0,0
BRCA,1,0,511,7,2,0,19,11,14,2,8,0,7,3,3,52,4,9,62,19,0,26,2,14,3,7
CESC,0,5,43,33,0,0,11,7,8,2,1,0,1,1,6,0,1,5,3,8,0,12,1,2,1,4
COAD,0,0,12,0,162,0,1,0,1,0,0,0,1,1,1,8,5,0,2,1,1,22,0,1,0,4
DLBC,0,1,5,1,0,17,0,3,4,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0
GBMLGG,0,0,38,0,1,0,251,1,7,0,4,83,2,1,2,14,3,4,10,11,1,10,3,6,0,9
HNSC,0,3,40,11,2,0,8,60,8,0,1,0,0,9,15,12,6,0,2,2,2,41,1,0,0,0
KIPAN,4,0,90,3,1,0,15,5,230,76,2,0,5,3,3,7,2,12,21,15,0,7,9,2,1,2
KIRC,0,0,62,1,0,0,11,0,145,62,2,0,4,1,0,4,0,6,16,11,0,3,3,0,1,2
LAML,0,0,18,0,0,0,7,0,0,1,77,1,0,0,0,3,0,16,12,3,0,0,0,15,5,0
LGG,0,0,12,0,0,0,114,0,1,0,2,87,0,0,0,2,0,3,3,2,0,1,0,1,0,1
LIHC,0,0,27,3,1,0,12,5,14,1,0,0,34,9,7,9,1,0,3,6,0,25,1,0,0,0
LUAD,0,0,19,2,1,0,11,9,6,0,0,0,7,56,19,5,2,0,3,2,2,37,0,2,0,1
LUSC,0,0,5,0,0,0,2,15,2,0,0,0,1,20,84,3,1,2,0,0,4,39,0,0,0,0
OV,0,0,87,1,0,0,5,5,8,1,1,0,4,3,1,94,11,0,8,11,0,10,0,0,1,2
PAAD,0,0,15,1,0,0,7,7,2,0,0,0,1,3,1,27,29,2,3,5,0,12,2,1,0,2
PCPG,0,0,38,1,0,0,5,0,2,2,3,0,0,0,0,0,1,44,25,7,0,0,0,15,4,0
PRAD,0,0,75,0,2,0,5,0,5,1,6,1,2,1,2,7,0,9,105,16,0,2,0,21,4,2
SARC,0,0,75,0,0,0,12,1,8,0,3,0,2,1,0,19,2,4,25,33,3,2,2,5,0,1
SKCM,1,0,7,0,1,0,5,0,6,0,1,0,1,3,2,1,1,1,6,2,228,3,2,5,0,0
STES,1,2,43,3,11,0,7,31,13,0,1,0,2,12,16,16,6,2,1,2,0,204,1,1,0,4
TGCT,0,0,20,0,0,0,3,0,22,1,0,0,2,1,0,1,1,0,3,4,0,2,63,1,0,0
THCA,0,0,28,0,1,0,1,0,1,0,4,0,0,0,0,1,0,30,40,3,1,0,0,209,3,2
THYM,0,0,26,0,0,0,1,1,0,0,1,0,0,0,0,1,0,34,16,0,0,1,0,11,6,0
UCEC,0,0,21,0,7,0,11,3,0,1,0,0,0,0,1,7,0,0,2,2,0,14,0,0,0,129
