,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,30,6,5,2,0,2,16,5,0,0,0,1,1,4,3,0,0,1,0,0,28,0,0,0,0
BRCA,1,2,525,6,1,0,19,12,15,0,11,1,6,7,3,50,4,7,49,12,1,22,0,17,3,12
CESC,0,3,43,31,0,0,12,6,10,1,1,0,0,2,7,0,1,3,5,6,0,15,1,3,1,4
COAD,0,0,14,1,163,0,1,1,1,0,0,1,1,0,0,7,5,0,1,1,1,21,0,0,0,4
DLBC,0,1,4,1,0,17,0,4,3,0,0,0,0,0,0,0,0,0,1,1,0,4,1,1,0,0
GBMLGG,0,0,42,0,1,0,273,3,8,1,5,67,1,1,2,12,0,2,5,14,0,7,3,6,1,7
HNSC,0,4,33,9,2,1,9,61,8,0,0,1,1,10,14,12,6,0,4,4,2,40,1,1,0,0
KIPAN,3,0,101,4,1,1,12,4,225,78,2,0,2,3,2,7,3,8,22,15,0,9,8,3,0,2
KIRC,0,0,60,1,0,0,7,0,145,67,1,0,2,1,0,4,1,5,18,12,0,5,2,1,0,2
LAML,0,0,36,0,0,0,6,0,0,1,76,2,0,0,0,2,0,4,12,3,0,0,0,8,8,0
LGG,0,0,14,0,0,0,131,0,1,0,3,73,0,0,0,1,1,0,3,0,0,1,0,1,0,0
LIHC,0,1,22,3,3,0,12,6,11,0,0,0,38,8,10,12,1,0,3,7,0,20,0,0,0,1
LUAD,0,1,18,3,2,0,15,7,5,0,0,0,5,56,22,7,1,1,4,3,2,30,0,1,0,1
LUSC,0,1,7,1,0,0,2,22,2,0,0,0,2,20,86,2,1,0,0,0,2,30,0,0,0,0
OV,0,0,86,1,4,0,8,3,10,1,1,0,2,4,1,95,7,0,7,9,0,10,0,1,1,2
PAAD,0,1,19,1,1,0,10,8,4,0,1,0,1,1,1,25,23,0,3,4,0,12,2,1,0,2
PCPG,0,0,39,1,0,0,4,0,2,0,5,0,0,0,0,0,1,42,27,5,0,0,0,17,4,0
PRAD,0,0,88,0,2,0,5,1,5,1,9,0,2,3,1,5,0,5,100,15,0,0,0,21,1,2
SARC,0,0,78,0,0,0,15,0,6,0,1,1,1,0,0,16,2,4,28,29,3,3,1,7,2,1
SKCM,1,0,9,0,1,0,7,1,5,0,1,0,1,3,1,1,1,2,2,1,228,4,2,5,0,0
STES,1,3,46,2,15,0,8,30,7,0,1,0,2,9,15,18,4,0,3,3,0,209,0,0,0,3
TGCT,0,0,18,1,0,0,4,0,25,1,0,0,1,1,0,1,1,1,1,5,0,2,62,0,0,0
THCA,0,0,49,0,1,0,1,0,1,0,4,0,0,0,0,1,0,10,40,3,2,0,0,208,2,2
THYM,0,0,50,0,0,0,2,0,1,0,7,0,0,0,0,1,0,7,15,0,0,1,0,11,3,0
UCEC,0,0,28,0,10,0,12,2,0,1,0,0,1,0,1,6,0,0,1,3,0,16,0,0,0,117
