,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,30,6,5,1,0,3,18,2,0,0,0,1,1,7,2,0,0,1,1,0,25,0,0,0,1
BRCA,1,3,506,6,1,0,20,9,15,3,10,0,5,5,4,54,4,8,62,16,0,29,2,10,2,11
CESC,0,7,48,30,0,0,13,5,7,2,1,0,0,2,5,0,2,2,5,8,0,11,1,1,1,4
COAD,0,0,14,0,163,0,3,0,0,0,0,0,1,0,0,9,5,0,0,1,1,23,0,0,0,3
DLBC,0,0,5,1,0,17,0,3,4,0,0,0,0,1,0,0,0,0,1,1,0,3,1,1,0,0
GBMLGG,0,0,40,0,1,0,244,1,8,0,5,90,2,2,2,10,2,2,11,10,1,10,4,6,1,9
HNSC,0,3,37,12,1,0,7,60,6,0,1,1,0,9,16,13,6,0,3,4,2,41,1,0,0,0
KIPAN,4,0,95,2,1,0,14,4,242,65,2,0,5,2,2,6,2,9,21,15,0,8,11,3,0,2
KIRC,0,0,61,1,0,0,10,0,155,55,2,0,3,1,0,4,0,5,16,11,0,3,3,1,0,3
LAML,0,0,37,0,0,0,7,0,0,1,78,1,0,0,0,3,0,2,10,1,0,0,0,14,4,0
LGG,0,0,13,0,0,0,113,1,1,0,4,87,0,0,0,2,1,0,3,1,0,1,0,1,0,1
LIHC,0,0,31,2,1,0,10,4,12,1,0,0,38,9,8,7,1,0,3,5,0,24,1,0,0,1
LUAD,0,0,18,2,2,1,12,7,4,0,0,0,7,50,28,5,2,0,3,5,2,33,0,2,0,1
LUSC,0,1,6,1,0,0,2,19,2,0,0,0,4,22,76,3,0,0,0,0,2,40,0,0,0,0
OV,0,0,85,1,3,0,7,4,8,1,1,0,3,3,2,93,10,0,10,10,0,9,0,1,0,2
PAAD,0,0,22,1,2,0,9,7,1,0,0,0,1,2,1,24,27,0,1,5,0,14,1,1,0,1
PCPG,0,0,44,1,0,0,5,0,2,1,2,0,0,0,0,0,1,45,22,6,1,0,0,12,5,0
PRAD,0,0,87,0,2,0,5,1,5,1,6,1,2,1,2,5,0,5,96,15,0,1,0,24,4,3
SARC,0,0,74,0,0,0,18,2,6,0,2,0,2,0,0,16,2,3,24,33,3,2,1,8,0,2
SKCM,1,0,6,0,2,0,7,1,6,0,1,0,1,1,2,0,1,2,4,3,227,4,2,5,0,0
STES,1,2,50,2,12,0,7,30,10,1,1,0,1,9,11,16,2,0,1,3,0,216,1,0,0,3
TGCT,0,0,17,2,0,0,4,1,25,3,0,0,1,0,0,0,2,1,1,5,0,2,59,1,0,0
THCA,0,0,51,0,1,0,1,0,1,1,5,0,0,0,0,1,0,9,37,2,2,0,0,211,2,0
THYM,0,0,57,0,0,0,1,1,0,0,4,0,0,0,0,1,0,1,15,2,0,1,0,11,4,0
UCEC,0,1,26,0,7,0,11,1,0,1,0,0,0,0,1,9,0,0,1,3,0,13,0,0,0,124
