,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,35,10,5,1,0,1,18,2,0,0,0,0,3,6,0,0,0,2,1,0,20,0,0,0,0
BRCA,1,1,510,8,1,0,16,6,13,1,6,1,10,4,4,58,4,11,56,20,0,28,0,15,3,9
CESC,0,5,43,30,0,0,13,9,6,0,1,0,2,0,7,1,1,2,4,5,0,16,3,2,1,4
COAD,0,0,14,0,162,0,2,0,0,0,0,1,1,1,0,7,5,0,2,0,1,23,0,0,0,4
DLBC,0,0,7,1,0,18,0,2,4,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0
GBMLGG,0,0,44,0,1,0,259,3,6,0,6,80,1,1,2,13,2,2,9,9,1,6,3,5,0,8
HNSC,0,4,40,7,3,0,7,67,6,1,0,0,0,9,16,14,5,0,3,2,2,36,1,0,0,0
KIPAN,2,0,95,5,1,0,15,7,210,81,2,0,3,2,3,8,1,9,24,19,0,11,8,4,2,3
KIRC,0,0,65,2,0,0,13,1,128,73,2,0,2,1,0,3,0,6,17,11,0,4,2,1,1,2
LAML,0,0,37,0,0,0,7,0,0,1,78,1,0,0,0,3,0,1,9,2,0,0,0,13,6,0
LGG,0,0,13,0,0,0,128,0,1,0,3,75,0,0,0,2,1,0,2,1,0,1,0,1,0,1
LIHC,0,0,30,4,2,0,9,5,9,1,0,0,38,9,7,11,1,0,2,6,0,23,0,0,0,1
LUAD,0,0,20,3,0,0,9,8,2,0,0,0,6,57,23,6,2,1,3,2,3,36,0,2,0,1
LUSC,0,0,5,1,0,0,2,24,2,0,0,0,1,21,81,2,1,0,0,0,2,36,0,0,0,0
OV,0,0,90,2,1,0,7,3,7,0,0,0,1,4,1,98,10,0,8,9,0,9,0,1,1,1
PAAD,0,0,16,2,1,0,9,6,1,0,0,0,1,2,0,27,29,0,3,4,0,13,2,2,0,2
PCPG,0,0,38,1,0,0,3,0,2,2,3,0,0,0,0,0,1,40,25,6,1,0,0,21,4,0
PRAD,0,0,89,0,2,0,5,0,4,1,5,1,2,1,2,6,0,5,95,15,0,2,0,25,4,2
SARC,0,0,88,0,0,0,14,0,5,0,2,0,1,0,0,17,2,2,21,32,3,2,1,7,0,1
SKCM,1,0,8,0,2,0,5,1,5,0,1,0,2,2,2,1,0,1,6,2,228,2,2,5,0,0
STES,1,2,48,3,12,0,8,28,5,0,0,0,1,13,10,13,6,0,3,2,1,216,1,0,0,6
TGCT,0,0,18,4,0,0,5,0,23,4,0,0,0,1,0,0,2,1,1,3,0,1,60,1,0,0
THCA,0,0,46,0,1,0,0,0,0,0,6,0,0,0,0,1,0,9,39,3,2,0,0,212,3,2
THYM,0,0,52,0,0,0,1,0,0,0,5,0,0,1,0,1,0,4,14,1,0,1,0,13,5,0
UCEC,0,2,25,0,6,0,10,2,0,0,0,0,1,0,0,6,1,0,0,3,0,12,0,0,0,130
