,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,33,12,5,1,0,1,19,2,0,0,0,1,1,8,1,0,0,1,1,0,18,0,0,0,0
BRCA,1,2,514,7,2,0,17,9,16,2,11,1,4,4,4,52,3,8,59,15,0,28,2,14,1,10
CESC,0,7,44,31,0,0,11,10,10,1,1,0,0,1,5,1,1,4,4,7,0,11,1,1,0,4
COAD,0,0,15,1,161,0,1,0,0,0,0,0,1,1,0,8,4,0,2,0,1,24,0,0,0,4
DLBC,0,0,7,1,0,19,1,2,3,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0
GBMLGG,0,0,40,0,1,0,257,2,7,0,4,84,1,3,2,12,1,2,11,10,1,5,4,6,0,8
HNSC,0,6,41,8,1,0,6,59,6,0,0,0,0,9,17,13,7,0,3,4,3,39,1,0,0,0
KIPAN,4,0,98,5,1,0,14,4,243,63,2,0,1,1,3,11,1,8,16,18,0,6,9,4,0,3
KIRC,0,0,69,2,0,0,10,0,152,56,2,0,1,0,1,6,0,4,11,13,0,2,2,1,0,2
LAML,0,0,38,0,0,0,8,0,0,1,77,1,0,0,0,2,0,4,13,0,0,0,0,9,5,0
LGG,0,0,14,0,1,0,127,0,0,0,2,77,0,0,0,2,0,0,3,1,0,1,0,1,0,0
LIHC,0,0,29,2,2,0,11,4,14,0,0,0,35,9,8,11,1,0,3,4,0,23,1,0,0,1
LUAD,0,0,20,2,0,0,11,7,6,0,0,0,6,60,24,6,2,0,3,3,1,31,0,1,0,1
LUSC,0,0,6,1,0,0,2,23,2,0,0,0,1,17,84,3,1,0,0,0,1,37,0,0,0,0
OV,0,0,91,0,2,0,5,4,9,0,0,0,2,5,2,93,9,0,7,9,0,11,0,1,1,2
PAAD,0,0,19,1,1,0,8,7,2,0,1,0,1,2,2,26,24,1,3,6,0,13,1,1,0,1
PCPG,0,0,50,1,0,0,2,0,0,2,3,0,0,0,0,0,0,43,22,6,0,0,0,13,5,0
PRAD,0,0,75,0,2,0,7,0,3,2,7,0,2,3,1,5,0,4,102,19,0,2,0,26,3,3
SARC,0,0,78,0,0,0,13,1,8,0,3,0,1,2,0,17,2,2,23,33,3,3,0,7,0,2
SKCM,1,0,6,0,1,0,6,1,6,0,1,0,1,1,1,1,1,2,5,1,231,3,2,5,0,0
STES,1,2,51,3,13,0,9,24,12,0,0,0,2,8,18,16,3,0,2,3,0,206,1,0,0,5
TGCT,0,0,22,2,0,0,3,0,24,2,0,0,1,1,0,0,2,1,1,4,0,0,59,2,0,0
THCA,0,0,45,0,1,0,1,0,1,0,6,0,0,0,0,1,0,9,40,3,2,0,0,212,2,1
THYM,0,0,51,0,0,0,1,1,0,0,0,0,0,1,0,1,0,5,20,1,0,1,0,11,5,0
UCEC,0,0,27,1,5,0,11,2,0,0,0,0,0,0,1,8,0,0,2,0,0,12,0,0,0,129
