,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,32,9,5,1,0,1,14,4,0,0,0,1,0,9,2,0,0,1,1,1,23,0,0,0,0
BRCA,1,2,494,10,0,0,20,11,15,3,11,0,5,6,2,55,4,7,65,15,0,29,3,15,2,11
CESC,0,6,38,40,0,0,10,6,9,0,4,0,0,2,4,0,0,3,5,6,0,13,3,1,1,4
COAD,0,0,12,0,163,0,3,0,2,0,0,0,1,2,0,9,5,0,1,1,1,19,0,0,0,4
DLBC,0,0,6,1,0,16,0,3,3,0,0,0,1,1,1,0,0,0,1,1,0,4,0,0,0,0
GBMLGG,0,0,38,0,1,0,246,3,8,0,7,82,1,2,1,13,3,3,11,14,1,11,4,5,0,7
HNSC,0,6,33,9,3,0,8,57,6,0,0,0,0,10,18,12,8,0,4,5,2,39,1,1,0,1
KIPAN,2,0,104,2,1,0,14,5,213,76,6,0,4,5,1,7,3,9,21,16,2,9,11,2,1,1
KIRC,0,0,64,1,0,0,9,0,131,71,4,0,1,1,0,3,0,6,17,10,1,7,5,0,1,2
LAML,0,0,16,0,0,0,7,0,0,1,94,1,0,0,0,4,0,4,9,2,0,0,0,16,4,0
LGG,0,0,10,0,0,0,116,0,1,0,6,86,0,1,0,1,0,0,3,2,0,1,0,1,0,1
LIHC,0,1,29,0,2,0,12,3,8,0,0,0,39,13,7,8,1,0,3,8,0,21,1,0,0,2
LUAD,0,0,14,3,1,0,9,10,7,0,0,0,8,59,21,7,3,0,2,3,2,32,0,2,0,1
LUSC,0,0,2,1,0,0,2,15,2,0,2,0,3,19,92,2,0,0,0,0,4,34,0,0,0,0
OV,0,0,68,2,2,0,7,6,8,0,1,0,1,5,1,106,9,1,12,9,0,11,1,0,1,2
PAAD,0,0,16,1,1,0,10,9,1,0,1,0,1,1,0,30,20,1,3,4,0,16,2,1,0,2
PCPG,0,0,37,0,0,0,3,0,2,2,7,0,0,0,0,0,1,47,24,8,0,0,1,10,5,0
PRAD,0,0,78,1,2,0,5,1,3,1,13,0,4,2,2,5,2,12,91,18,0,1,0,22,1,2
SARC,0,0,69,0,1,0,15,0,6,0,9,0,1,3,0,18,2,5,28,33,3,2,0,3,0,0
SKCM,0,0,8,0,2,0,5,2,7,1,1,0,0,4,2,1,0,2,5,0,227,2,2,5,0,0
STES,1,3,39,5,12,0,8,21,8,0,3,0,2,9,18,10,4,0,3,4,0,221,1,0,1,6
TGCT,0,0,22,1,0,0,3,0,21,2,0,0,3,1,0,0,0,0,3,6,0,1,61,0,0,0
THCA,0,0,21,0,1,0,0,0,0,0,25,0,0,0,0,1,0,14,44,2,5,1,0,206,3,1
THYM,0,0,18,0,0,0,2,1,0,0,33,0,0,1,0,2,0,8,14,0,0,1,0,13,5,0
UCEC,0,0,26,0,5,0,11,1,0,0,0,0,0,0,1,8,0,0,1,3,0,18,0,0,0,124
