,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,56,1,0,0,1,0,2,1,2,0,0,0,0,1,0,0,0,0,0,1,2,3,2,0,0,0
BLCA,0,40,4,3,1,1,2,8,4,0,0,0,1,4,10,1,0,0,1,1,3,18,0,0,0,2
BRCA,0,1,430,5,0,0,15,9,35,2,12,1,11,10,4,76,4,13,77,15,2,29,6,9,5,15
CESC,0,2,25,20,1,0,3,7,22,5,4,0,0,10,10,0,0,3,6,9,2,12,7,0,1,6
COAD,1,1,9,1,154,0,1,0,4,1,0,0,3,1,0,6,5,0,0,1,11,16,0,1,0,7
DLBC,0,0,1,1,0,7,2,2,6,1,0,0,0,3,0,0,0,0,1,1,6,4,1,2,0,0
GBMLGG,0,0,27,5,0,0,226,0,31,2,9,89,0,1,1,10,3,3,15,9,2,11,6,3,3,5
HNSC,0,1,26,6,2,0,7,63,10,0,1,0,4,15,22,14,5,0,5,2,2,34,2,0,0,2
KIPAN,2,1,63,6,1,3,11,5,215,99,7,0,9,5,3,8,3,4,30,11,0,9,12,1,3,4
KIRC,0,0,42,1,0,1,9,1,133,90,3,0,1,3,0,3,0,1,22,10,1,1,6,0,3,3
LAML,0,0,7,0,0,0,3,0,0,0,90,8,0,0,0,4,0,8,20,2,0,0,0,5,11,0
LGG,0,0,6,0,0,0,109,0,4,0,8,88,0,0,0,1,0,2,2,4,1,1,0,2,0,1
LIHC,0,1,17,3,2,0,7,4,19,1,0,1,47,7,15,13,0,0,3,5,1,8,2,0,0,2
LUAD,0,1,11,4,0,0,7,8,15,1,0,0,9,56,19,6,1,1,4,5,7,23,4,1,0,1
LUSC,0,1,3,4,1,0,0,14,3,0,2,0,6,16,89,3,0,0,0,0,4,30,0,0,0,2
OV,0,0,49,1,0,0,3,5,18,0,2,0,3,5,3,118,11,2,9,6,0,12,1,2,1,2
PAAD,1,0,14,1,0,0,3,5,12,0,1,0,1,2,1,27,27,0,3,3,0,13,5,0,0,1
PCPG,0,0,31,0,0,0,4,0,4,1,9,0,0,0,0,0,0,40,36,4,0,0,0,12,6,0
PRAD,0,0,44,1,2,0,3,0,16,1,11,1,4,2,1,7,0,13,125,15,0,0,0,8,9,3
SARC,0,0,56,1,0,0,7,0,14,0,7,0,5,0,1,19,0,8,36,25,3,5,6,2,1,2
SKCM,0,1,8,1,3,0,3,1,9,1,0,1,1,2,2,1,0,3,4,1,212,9,3,6,0,4
STES,0,1,25,4,12,0,7,23,23,1,2,0,6,17,22,15,5,1,3,3,3,198,3,0,0,5
TGCT,2,0,16,3,0,0,2,2,37,3,0,0,0,0,0,1,1,1,5,5,0,1,44,1,0,0
THCA,0,0,17,0,1,0,0,0,3,1,25,0,0,0,0,1,0,13,49,3,3,0,0,199,8,1
THYM,0,0,8,0,0,0,1,0,3,0,43,0,0,0,0,1,0,1,26,0,0,1,1,7,6,0
UCEC,0,1,27,4,5,0,10,0,2,1,0,0,5,2,1,6,1,0,1,1,8,4,0,0,1,118
