,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
2026-09-09_a2_xgb_grp,0.9023,0.4409,0.5067,0.3209,0.7361,0.4,0.4595,0.2857,0.3908,0.3265,0.5575,0.4812,0.3004,0.3607,0.4845,0.3667,0.2093,0.3321,0.2911,0.1655,0.8022,0.4541,0.3942,0.6019,0.1026,0.624
2026-09-09_a4_xgb_grp,0.7317,0.4246,0.4985,0.2367,0.7251,0.5,0.4678,0.2901,0.3891,0.2874,0.4757,0.4371,0.2879,0.3248,0.4178,0.3898,0.221,0.3192,0.2883,0.1597,0.7585,0.4336,0.3846,0.6881,0.1074,0.6305
2026-09-09_v1_xgb_grp,0.7581,0.378,0.4792,0.181,0.6802,0.375,0.4632,0.2593,0.3893,0.2857,0.4814,0.4506,0.2542,0.3041,0.4398,0.3832,0.1871,0.3389,0.245,0.1343,0.738,0.4314,0.3818,0.6765,0.0305,0.619
2026-09-09_v2_xgb_bal_grp,0.9315,0.3804,0.512,0.1789,0.6957,0.5846,0.4592,0.3464,0.4152,0.308,0.4987,0.4619,0.3016,0.3237,0.4632,0.37,0.28,0.3129,0.3261,0.1818,0.8668,0.4968,0.5455,0.6443,0.0946,0.6632
2026-09-09_v2_xgb_grp,0.9252,0.4286,0.4832,0.1636,0.7116,0.6,0.4702,0.3012,0.4326,0.2788,0.4894,0.4527,0.2913,0.3631,0.4382,0.3486,0.2857,0.314,0.3307,0.1472,0.8598,0.4926,0.5837,0.6354,0.1678,0.6684
2026-09-09_v2_xgb_tuned_bal_grp,0.9054,0.4368,0.4931,0.2083,0.7113,0.6102,0.4937,0.2506,0.4546,0.2412,0.5013,0.4805,0.3123,0.3742,0.4735,0.348,0.2553,0.3443,0.2989,0.1585,0.8745,0.4968,0.5872,0.6449,0.1471,0.6888
2026-09-09_v3_lgbm_grp,0.9231,0.3766,0.4958,0.2101,0.7464,0.5517,0.4844,0.336,0.4564,0.2237,0.4731,0.4615,0.3095,0.3859,0.4588,0.3485,0.2599,0.3736,0.303,0.1709,0.8679,0.5036,0.5975,0.6559,0.0769,0.69
2026-09-09_v3_mlp_grp,0.9104,0.2121,0.4567,0.0421,0.6492,0.2727,0.4431,0.2747,0.3733,0.24,0.5041,0.3314,0.1134,0.2612,0.2737,0.2515,0.0828,0.2167,0.2846,0.0769,0.6521,0.3452,0.3655,0.6689,0.02,0.5593
2026-09-09_v3_xgb_grp,0.9252,0.4852,0.4819,0.1858,0.7435,0.6129,0.4622,0.2937,0.4417,0.271,0.595,0.4501,0.3346,0.3697,0.462,0.3587,0.2632,0.2917,0.3005,0.1895,0.8647,0.5025,0.5778,0.6374,0.3605,0.6632
2026-09-09_v3_xgb_tuned_grp,0.9116,0.4048,0.4825,0.2591,0.7416,0.5965,0.5,0.3385,0.4542,0.2607,0.4828,0.4539,0.3359,0.3801,0.4477,0.3573,0.2567,0.352,0.301,0.1935,0.8663,0.4994,0.5714,0.6304,0.1385,0.6824
2026-09-09_v4_xgb_grp,0.9054,0.4481,0.4839,0.2879,0.7576,0.5902,0.5052,0.3,0.4432,0.2811,0.562,0.4348,0.3197,0.3397,0.4912,0.3455,0.2556,0.3115,0.3285,0.2108,0.8736,0.4794,0.5739,0.6499,0.3262,0.6701
2026-09-09_v5_xgb_grp,0.9189,0.5,0.4879,0.2879,0.7518,0.5763,0.4862,0.3073,0.4394,0.2811,0.5907,0.4136,0.3588,0.3894,0.4809,0.3892,0.2826,0.2988,0.3514,0.1934,0.8779,0.4864,0.5833,0.6635,0.329,0.6525
2026-09-09_v5_xgb_grp_drop,0.9189,0.439,0.4792,0.3108,0.756,0.5614,0.4906,0.3196,0.4305,0.2742,0.4973,0.4512,0.3609,0.3856,0.4759,0.3752,0.3146,0.3241,0.3339,0.1916,0.8729,0.4951,0.5714,0.654,0.1168,0.6772
2026-09-10_a7_xgb_grp,0.8321,0.4371,0.4868,0.2017,0.7536,0.25,0.5027,0.3324,0.3627,0.3303,0.4501,0.4058,0.3071,0.3333,0.4623,0.3882,0.25,0.3209,0.3364,0.1557,0.7695,0.4663,0.3613,0.6655,0.0909,0.6296
2026-09-10_a7_xgb_grp_khs_tp53_local,0.567,0.0,0.1607,0.0201,0.3175,0.0476,0.2568,0.022,0.2218,0.2228,0.2884,0.2445,0.0118,0.0359,0.2042,0.2245,0.0135,0.125,0.0519,0.0402,0.0578,0.0377,0.1404,0.6033,0.1264,0.0154
2026-09-10_v6_xgb_grp,0.9379,0.4809,0.4882,0.2709,0.7596,0.5763,0.5221,0.3232,0.4424,0.2903,0.4878,0.4289,0.3448,0.366,0.4944,0.3514,0.2812,0.3443,0.3416,0.2042,0.8745,0.4926,0.5862,0.647,0.1295,0.6522
2026-09-10_v7_xgb_grp,0.9054,0.4343,0.482,0.2925,0.7547,0.5763,0.4901,0.3204,0.4366,0.2661,0.56,0.4455,0.332,0.3464,0.4765,0.3527,0.2472,0.3457,0.3146,0.184,0.8702,0.4721,0.5664,0.6459,0.3333,0.6702
2026-09-10_v8_xgb_grp,0.9054,0.4481,0.4839,0.2879,0.7576,0.5902,0.5052,0.3,0.4432,0.2811,0.562,0.4348,0.3197,0.3397,0.4912,0.3455,0.2556,0.3115,0.3285,0.2108,0.8736,0.4794,0.5739,0.6499,0.3262,0.6701
2026-09-11_v4_xgb_mild_col5_grp,0.9178,0.5109,0.4877,0.3102,0.7512,0.6316,0.4757,0.3196,0.463,0.2457,0.5027,0.4622,0.3588,0.3738,0.5058,0.3485,0.2637,0.3125,0.3386,0.2038,0.8707,0.4787,0.5837,0.6624,0.1268,0.6755
2026-09-11_v4_xgb_mild_col5_reg_grp,0.9116,0.4809,0.5029,0.3409,0.7583,0.6552,0.4698,0.3439,0.4528,0.2886,0.4764,0.4531,0.3433,0.3613,0.507,0.3723,0.2932,0.3594,0.3268,0.1701,0.8762,0.5025,0.5809,0.6512,0.1022,0.6701
2026-09-11_v4_xgb_mild_col_grp,0.9241,0.4773,0.4864,0.3004,0.7547,0.6207,0.4928,0.2967,0.4598,0.2678,0.4987,0.4108,0.3446,0.38,0.5099,0.355,0.2825,0.3052,0.3281,0.2128,0.8702,0.4933,0.5991,0.6498,0.146,0.6738
2026-09-11_v4_xgb_mild_col_reg_grp,0.9128,0.5111,0.4979,0.3173,0.7608,0.6129,0.4954,0.3333,0.4449,0.2909,0.4789,0.4213,0.3604,0.3819,0.5167,0.365,0.2857,0.3372,0.3353,0.1928,0.8783,0.5006,0.5774,0.6396,0.1538,0.6718
