from,to,n_approaches_present,mean_share,std_share
LGG,GBMLGG,29,0.4833103448275862,0.051441364979125284
KIRC,KIPAN,29,0.4537586206896552,0.03904785319933496
SARC,BRCA,29,0.3258620689655172,0.07272182432839826
OV,BRCA,29,0.3022758620689655,0.0766572742355372
PRAD,BRCA,29,0.26944827586206893,0.05500318875201162
PAAD,OV,29,0.2321724137931034,0.045759543165610025
THYM,BRCA,29,0.22796551724137928,0.1649195169978418
TGCT,KIPAN,29,0.2266896551724138,0.08792634199784768
PCPG,BRCA,29,0.225448275862069,0.05818850829010268
CESC,BRCA,29,0.21658620689655173,0.0575209210763739
GBMLGG,LGG,29,0.2012068965517242,0.02895820925872415
HNSC,BRCA,29,0.157,0.025420599846418337
KIPAN,KIRC,29,0.1486551724137931,0.03111522064849865
PAAD,BRCA,29,0.1356206896551724,0.037242369080078525
UCEC,BRCA,29,0.13303448275862068,0.03207801133080662
LIHC,KIPAN,29,0.12300000000000001,0.059586506225301816
DLBC,KIPAN,29,0.12251724137931035,0.05009137904329424
STES,BRCA,29,0.10775862068965517,0.040357587136458165
LUAD,LUSC,29,0.10272413793103449,0.01739975535246983
SARC,OV,29,0.08755172413793103,0.015817027505075472
PCPG,PRAD,28,0.20064285714285715,0.04375027696705333
LUSC,STES,28,0.18228571428571425,0.025797088903951302
THYM,PRAD,28,0.17603571428571424,0.04483977996541619
BLCA,STES,28,0.1709642857142857,0.038020184623111845
LIHC,BRCA,28,0.15517857142857144,0.039201907361968075
KIPAN,BRCA,28,0.15142857142857144,0.028967258082468323
KIRC,BRCA,28,0.1509642857142857,0.03265783885647534
HNSC,STES,28,0.14817857142857144,0.022781655482659993
SARC,PRAD,28,0.14732142857142858,0.0333595708813491
LUAD,STES,28,0.14610714285714285,0.030621350261488062
DLBC,BRCA,28,0.13171428571428573,0.03509258890304857
LAML,BRCA,28,0.13014285714285714,0.05815478993029496
LIHC,STES,28,0.12510714285714286,0.023201507472136194
THCA,PRAD,28,0.12407142857142858,0.02269507273684339
BLCA,HNSC,28,0.11107142857142858,0.028861650991569825
PCPG,THCA,28,0.10735714285714283,0.02040345608979428
PAAD,STES,28,0.09950000000000002,0.01305619721489706
LUSC,HNSC,28,0.09492857142857145,0.023214725270563834
COAD,STES,28,0.08157142857142859,0.013818798199317818
DLBC,HNSC,28,0.08003571428571428,0.0266518320770116
BRCA,PRAD,28,0.078,0.013082157969649242
BRCA,OV,28,0.07075000000000001,0.009560428113546262
TGCT,BRCA,27,0.12692592592592591,0.03451990936635234
THYM,THCA,27,0.12466666666666668,0.06550713842922148
CESC,KIPAN,27,0.1198148148148148,0.06378844492889905
LUSC,LUAD,27,0.10366666666666667,0.014429907214608906
THCA,BRCA,27,0.10185185185185185,0.02861843967031112
LUAD,BRCA,27,0.092,0.020611036238258735
GBMLGG,BRCA,27,0.08270370370370371,0.012088607476753612
HNSC,LUSC,27,0.07670370370370369,0.011987075801986859
UCEC,GBMLGG,27,0.07662962962962964,0.04169478886361393
LAML,PRAD,27,0.07625925925925926,0.03155077341611465
STES,HNSC,27,0.07029629629629632,0.009180554388225773
LIHC,GBMLGG,27,0.0672962962962963,0.019375079096258744
PRAD,THCA,26,0.08757692307692307,0.014101754055989676
SARC,GBMLGG,26,0.08176923076923079,0.017850463670572757
CESC,GBMLGG,26,0.07403846153846154,0.011732534545608861
PAAD,HNSC,26,0.067,0.012788215729274412
PAAD,GBMLGG,25,0.07600000000000001,0.0294441844852256
BLCA,LUSC,25,0.07556,0.017575164295106884
LAML,THCA,24,0.076375,0.01996207341435253
KIRC,PRAD,23,0.06234782608695652,0.015699927154780257
CESC,STES,22,0.076,0.016337352628534738
LUAD,GBMLGG,22,0.07113636363636365,0.02933086406461391
THYM,LAML,21,0.27838095238095234,0.1437578904469582
DLBC,STES,21,0.07404761904761904,0.015264263245446991
COAD,BRCA,21,0.06519047619047619,0.012545608404913377
PRAD,SARC,20,0.0602,0.008512343978012165
