bin,train_n,train_pct,test_n,test_pct,ratio_test_over_train
0-0,94,0.015158845347524593,31,0.012175962293794187,0.803224916849125
1-1,167,0.026931140138687307,48,0.018853102906520033,0.7000484498403038
2-3,422,0.06805353975165296,107,0.0420267085624509,0.6175536014117489
4-7,1067,0.1720690211256249,247,0.09701492537313433,0.5638140133447104
8-15,1673,0.2697951943234962,445,0.17478397486252945,0.6478394668993097
16-30,1398,0.2254475084663764,455,0.17871170463472114,0.7926976254934948
31-50,547,0.08821157877761651,531,0.20856245090337786,2.364343250551821
51-75,298,0.04805676503789711,363,0.14257659073055773,2.9668370440274785
76-100,148,0.02386711820674085,75,0.02945797329143755,1.2342492728392178
101-200,207,0.033381712626995644,74,0.029065200314218383,0.8706923050650638
201-+,180,0.02902757619738752,170,0.06677140612725845,2.3002749410840533
