,freq_tr,freq_te,cnt_tr,cnt_te,abs_diff,rel_change
A2M,0.02386711820674085,0.04399057344854674,148,112,0.02012345524180589,0.8431455807732319
AAAS,0.007095629737139171,0.01178318931657502,44,30,0.004687559579435848,0.6606262943654931
AADAT,0.004031607805192711,0.009426551453260016,25,24,0.005394943648067306,1.3381618224666145
AARS1,0.0,0.015710919088766692,0,40,0.015710919088766692,
ABAT,0.0077406869859700045,0.015710919088766692,48,40,0.007970232102796689,1.0296543597800472
ABCA1,0.025157232704402517,0.04359780047132757,156,111,0.018440567766925056,0.733012568735271
ABCA2,0.01967424608934043,0.05852317360565593,122,149,0.0388489275163155,1.9746081928579706
ABCA3,0.021286889211417512,0.04831107619795758,132,123,0.02702418698654007,1.2695226022995074
ABCA4,0.0325753910659571,0.0600942655145326,202,153,0.027518874448575495,0.8447749527505775
ABCA5,0.018222867279471054,0.037706205813040065,113,96,0.01948333853356901,1.0691697543952339
ABCA6,0.021125624899209806,0.04241948153967007,131,108,0.02129385664046026,1.0079633971564432
ABCA8,0.024995968392194808,0.044383346425765906,155,113,0.019387378033571098,0.775620201201125
ABCA9,0.02144815352362522,0.04477611940298507,133,114,0.02332796587935985,1.0876444843451913
ABCB1,0.03322044831478794,0.03260015710919089,206,83,-0.0006202912055970483,-0.01867196973741406
ABCB11,0.01951298177713272,0.031421838177533384,121,80,0.011908856400400663,0.6103042854453266
ABCB4,0.024028382518948555,0.041633935585231735,149,106,0.01760555306628318,0.7326982185504832
ABCB6,0.009837123044670215,0.015318146111547526,61,39,0.005481023066877311,0.5571774432410853
ABCB7,0.009192065795839382,0.016496465043205028,57,42,0.007304399247365647,0.7946417497002521
ABCB8,0.009030801483631673,0.018853102906520033,56,48,0.00982230142288836,1.0876444843451913
ABCB9,0.006289308176100629,0.022388059701492536,39,57,0.016098751525391905,2.5597014925373127
ABCC1,0.019029188840509595,0.03220738413197172,118,82,0.013178195291462122,0.6925253305284459
ABCC2,0.016932752781809387,0.034171249018067555,105,87,0.017238496236258168,1.018056334867018
ABCC3,0.02048056765037897,0.030243519245875882,127,77,0.009762951595496911,0.476693408217924
ABCC4,0.01644895984518626,0.04006284367635507,102,102,0.02361388383116881,1.4355852317360567
ABCC5,0.017094017094017096,0.04359780047132757,106,111,0.026503783377310478,1.5504713275726627
ABCC8,0.0267698758264796,0.05223880597014925,166,133,0.025468930143669653,0.9514026254270815
ABCD1,0.008547008547008548,0.018853102906520033,53,48,0.010306094359511485,1.2058130400628435
ABCD2,0.013223673601032092,0.016496465043205028,82,42,0.003272791442172936,0.24749487479163873
ABCD3,0.007901951298177712,0.014925373134328358,49,38,0.007023421836150645,0.88882120012184
ABCE1,0.006611836800516046,0.012961508248232521,41,33,0.006349671447716475,0.9603490889582893
ABCF2,0.00822447992259313,0.003534956794972506,51,9,-0.004689523127620624,-0.570190841458343
ABCG2,0.01032091598129334,0.025923016496465043,64,66,0.015602100515171703,1.5116972702278082
ABCG4,0.013062409288824383,0.0204241948153967,81,52,0.007361785526572318,0.5635855808675919
ABCG8,0.013868730849862926,0.023959151610369208,86,61,0.010090420760506282,0.7275662690220867
ABHD2,0.006289308176100629,0.013747054202670856,39,35,0.007457746026570226,1.1857816182246659
ABHD4,0.003709079180777294,0.012568735271013355,23,32,0.008859656090236062,2.388640322415384
ABHD6,0.004999193678438961,0.009033778476040848,31,23,0.004034584797601887,0.8070471074170743
ABI1,0.006611836800516046,0.00589159465828751,41,15,-0.0007202421422285365,-0.1089322322916867
ABI3BP,0.015803902596355425,0.03809897879025923,98,97,0.022295076193903807,1.410732321208138
ABL1,0.014836316723109175,0.0408483896307934,92,104,0.026012072907684227,1.753270261962499
ABLIM1,0.010804708917916465,0.022388059701492536,67,57,0.011583350783576071,1.0720650478948541
ABR,0.012578616352201259,0.029065200314218383,78,74,0.016486583962017125,1.3106834249803614
ACAA1,0.004515400741815836,0.011390416339355853,28,29,0.0068750155975400165,1.522570418583773
ACAA2,0.0041928721174004195,0.006284367635506678,26,16,0.002091495518106258,0.4988216810683425
ACACA,0.027576197387518143,0.04359780047132757,171,111,0.01602160308380943,0.580993922354984
ACADL,0.006450572488308337,0.012568735271013355,40,32,0.006118162782705018,0.9484681853888454
ACADM,0.006450572488308337,0.010604870384917517,40,27,0.00415429789660918,0.6440200314218381
ACADS,0.005805515239477504,0.013747054202670856,36,35,0.007941538963193353,1.367930086410055
ACADSB,0.00612804386389292,0.015318146111547526,38,39,0.009190102247654605,1.4996795799396372
ACADVL,0.004999193678438961,0.018067556952081697,31,46,0.013068363273642736,2.614094214834149
ACAT1,0.004515400741815836,0.014139827179890024,28,36,0.009624426438074186,2.131466726517787
ACAT2,0.003709079180777294,0.012175962293794187,23,31,0.008466883113016892,2.282745312339902
ACE,0.02160941783583293,0.03809897879025923,134,97,0.016489560954426302,0.7630728916298322
ACHE,0.008708272859216255,0.0192458758837392,54,49,0.010537603024522944,1.2100680806493849
ACKR1,0.010159651669085631,0.018067556952081697,63,46,0.007907905282996066,0.7783638199977556
ACKR3,0.010159651669085631,0.016496465043205028,63,42,0.006336813374119397,0.6237234878240379
ACLY,0.01128850185453959,0.04595443833464258,70,117,0.034665936480102987,3.0709067444731235
ACO2,0.0075794226737622965,0.018067556952081697,47,46,0.0104881342783194,1.3837642693586936
ACOT2,0.004515400741815836,0.01335428122545169,28,34,0.008838880483635854,1.9574963528223546
ACOT8,0.004515400741815836,0.010604870384917517,28,27,0.0060894696431016805,1.34860004488834
ACOX1,0.006934365424931463,0.018853102906520033,43,48,0.01191873748158857,1.7187928168216446
ACOX2,0.009675858732462506,0.015318146111547526,60,39,0.00564228737908502,0.5831304006284368
ACOX3,0.011933559103370425,0.021209740769835034,74,54,0.009276181666464609,0.7773189528884734
ACP1,0.003386550556361877,0.010604870384917517,21,27,0.00721831982855564,2.131466726517787
ACP2,0.0032252862441541686,0.01021209740769835,20,26,0.006986811163544182,2.1662608012568736
ACP5,0.005644250927269795,0.007462686567164179,35,19,0.0018184356398943842,0.3221748400852879
ACRBP,0.006611836800516046,0.014532600157109192,41,37,0.007920763356593145,1.1979671603471729
ACRV1,0.0038703434929850023,0.008248232521602514,24,21,0.004377889028617512,1.1311370777690497
ACSL1,0.008063215610385421,0.020031421838177535,50,51,0.011968206227792114,1.484296936370778
ACSL3,0.006934365424931463,0.012961508248232521,43,33,0.0060271428233010585,0.8691700615648805
ACSL4,0.010159651669085631,0.00864100549882168,63,22,-0.0015186461702639507,-0.14947817304455172
ACSL5,0.007901951298177712,0.012961508248232521,49,33,0.005059556950054809,0.6402920948426505
ACSL6,0.011933559103370425,0.01610369206598586,74,41,0.0041701329626154336,0.3494458716375446
ACSM1,0.014675052410901468,0.020816967792615867,91,53,0.006141915381714399,0.4185276624396812
ACSM3,0.009837123044670215,0.013747054202670856,61,35,0.0039099311580006405,0.3974669362419995
ACSS1,0.01032091598129334,0.01728201099764336,64,44,0.006961095016350021,0.6744648468185387
ACSS2,0.00725689404934688,0.016496465043205028,45,42,0.009239570993858148,1.2732128829536526
ACTA1,0.008869537171423964,0.018460329929300863,55,47,0.0095907927578769,1.0813182889380846
ACTA2,0.006773101112723754,0.010997643362136685,42,28,0.004224542249412931,0.6237234878240377
ACTB,0.008063215610385421,0.008248232521602514,50,21,0.00018501691121709275,0.022945797329143845
ACTC1,0.009030801483631673,0.016889238020424194,56,43,0.007858436536792522,0.8701815172259004
ACTG1,0.0075794226737622965,0.01178318931657502,47,30,0.004203766642812723,0.5546288713208871
ACTG2,0.006934365424931463,0.010997643362136685,43,28,0.004063277937205222,0.5859624764792926
ACTL7B,0.009514594420254797,0.021209740769835034,59,54,0.011695146349580236,1.2291797036228314
ACTN1,0.009675858732462506,0.022780832678711706,60,58,0.0131049739462492,1.3543990573448548
ACTN2,0.022415739396871474,0.041633935585231735,139,106,0.01921819618836026,0.85735276664764
ACTN3,0.0,0.02199528672427337,0,56,0.02199528672427337,
ACTN4,0.010804708917916465,0.034956794972505895,67,89,0.02415208605458943,2.2353296361867026
ACTR2,0.004031607805192711,0.006677140612725845,25,17,0.002645532807533134,0.6561979575805186
ACTR3,0.003386550556361877,0.007069913589945012,21,18,0.003683363033583135,1.0876444843451913
ACVR1,0.006289308176100629,0.014139827179890024,39,36,0.007850519003789394,1.2482325216025136
ACVR1B,0.010643444605708756,0.022388059701492536,66,57,0.01174461509578378,1.103459972862958
ACVR2A,0.01128850185453959,0.045168892380204245,70,115,0.033880390525664654,3.0013185949949506
ACVRL1,0.009192065795839382,0.01178318931657502,57,30,0.0025911235207356376,0.28188696407160857
ADA,0.005321722302854378,0.011390416339355853,33,29,0.006068694036501475,1.1403627794044136
ADAD1,0.013707466537655217,0.0204241948153967,85,52,0.006716728277741484,0.4900050829444111
ADAM10,0.0075794226737622965,0.015710919088766692,47,40,0.008131496415004396,1.072838495094516
ADAM12,0.015481373971940009,0.03338570306362922,96,85,0.017904329091689215,1.1565077572663003
ADAM15,0.01032091598129334,0.018853102906520033,64,48,0.008532186925226693,0.8266889238020425
ADAM17,0.007901951298177712,0.014139827179890024,49,36,0.006237875881712311,0.7894095580101642
ADAM19,0.013707466537655217,0.029850746268656716,85,76,0.0161432797310015,1.1776997366110622
ADAM2,0.019996774713755845,0.021602513747054203,124,55,0.001605739033298359,0.080299901173251
ADAM23,0.015158845347524593,0.025530243519245877,94,65,0.010371398171721283,0.6841812772642945
ADAM8,0.005321722302854378,0.022780832678711706,33,58,0.017459110375857328,3.280725558808827
ADAM9,0.008708272859216255,0.020031421838177535,54,51,0.01132314897896128,1.3002749410840537
ADAMDEC1,0.013707466537655217,0.01728201099764336,85,44,0.0035745444599881437,0.26077353172219386
ADAMTS1,0.01225608772778584,0.04006284367635507,76,102,0.02780675594856923,2.2688117583826024
ADAMTS5,0.02144815352362522,0.05066771406127259,133,129,0.029219560537647366,1.362334548074822
ADAR,0.0133849379132398,0.029065200314218383,83,74,0.015680262400978584,1.1714856282947976
ADCY1,0.023544589582325432,0.04713275726630008,146,120,0.023588167683974644,1.0018508753994984
