idx,cluster
0,0
4,2
12,0
13,0
20,1
21,1
24,0
25,0
28,1
30,2
32,0
35,1
38,1
39,1
42,2
45,2
48,2
50,1
52,0
54,2
56,0
58,0
59,2
60,2
65,0
67,2
70,0
73,2
76,1
77,0
78,2
79,2
82,1
83,0
84,0
85,0
88,2
96,1
98,1
99,1
105,2
106,2
109,0
114,0
125,2
126,2
133,0
134,2
140,0
142,2
143,2
146,0
148,2
150,0
157,0
158,2
161,0
162,2
166,0
167,0
171,0
183,2
189,1
194,2
195,2
196,2
207,2
209,0
215,2
216,2
227,1
228,2
232,1
235,1
236,1
240,1
245,2
250,2
252,0
254,2
256,1
258,1
259,2
261,2
266,2
276,1
278,0
279,1
280,0
281,2
284,2
290,1
292,1
293,2
297,2
298,2
299,2
300,1
302,2
303,0
304,0
309,2
314,1
315,2
317,1
321,2
325,1
329,2
330,1
331,0
332,1
337,1
338,2
340,1
345,2
346,1
349,1
350,1
354,0
355,0
356,0
359,0
361,2
362,1
363,1
364,0
368,0
380,1
381,1
383,2
391,2
396,2
397,2
402,0
404,2
405,1
407,1
411,2
412,2
414,1
416,1
418,2
419,0
423,0
425,1
426,0
429,0
430,2
431,1
434,2
436,1
438,2
442,0
443,2
444,1
447,2
449,2
452,0
453,0
455,1
457,1
458,2
460,0
462,2
463,0
464,1
465,2
466,0
470,1
472,0
482,1
486,2
488,0
493,0
495,2
499,1
503,2
505,1
507,2
509,0
510,0
515,2
516,2
517,0
518,1
520,1
524,0
525,1
526,1
530,1
531,1
532,0
533,0
540,2
541,2
543,1
546,2
549,2
552,1
555,1
556,1
559,0
564,1
567,1
570,0
572,2
574,1
578,2
580,1
581,0
582,2
590,2
591,1
597,1
599,2
601,1
604,0
606,1
607,2
608,2
615,0
618,2
625,2
626,1
627,1
628,0
630,1
631,1
632,0
634,0
636,2
638,1
639,1
640,0
645,0
646,0
647,0
650,2
651,2
652,1
653,0
658,1
659,1
660,0
661,2
663,1
665,1
667,0
668,1
671,1
678,0
680,2
681,1
682,0
686,1
688,0
689,2
691,2
692,0
709,2
712,0
713,1
717,2
721,1
724,2
726,2
731,1
732,1
734,0
739,2
742,1
744,0
747,1
749,0
751,1
753,1
761,2
763,1
764,1
765,2
768,0
769,1
775,0
777,0
779,0
781,1
792,1
795,0
797,0
799,0
803,1
805,2
808,0
814,2
816,0
817,2
818,2
820,0
823,0
826,2
829,1
831,2
835,0
838,1
841,1
850,2
851,0
853,2
858,0
859,0
861,0
862,0
863,1
866,0
867,0
868,1
870,1
871,0
874,1
876,1
882,0
889,2
890,2
892,1
896,2
900,2
903,2
905,1
906,0
910,1
914,2
915,0
922,1
926,1
930,2
933,1
936,2
937,1
939,1
941,2
943,2
945,1
949,0
952,1
953,0
957,2
959,0
963,0
965,2
966,0
968,0
969,0
970,1
972,0
977,0
985,1
991,0
994,2
995,0
996,1
999,2
1000,0
1003,1
1006,0
1007,1
1011,2
1014,0
1017,2
1019,0
1027,0
1031,0
1036,2
1038,2
1039,1
1040,0
1041,0
1044,2
1045,2
1049,1
1051,1
1052,0
1053,2
1054,0
1060,2
1062,0
1063,1
1069,2
1070,2
1073,1
1075,2
1077,0
1079,1
1086,1
1087,1
1091,2
1094,0
1097,1
1100,0
1105,1
1119,0
1120,0
1124,0
1125,0
1128,0
1129,1
1133,1
1135,1
1137,1
1138,2
1142,1
1144,0
1145,2
1146,0
1147,1
1148,1
1149,0
1151,0
1152,0
1153,2
1154,2
1157,2
1159,1
1161,0
1163,2
1164,0
1165,2
1166,1
1172,2
1173,1
1186,0
1187,1
1188,0
1189,2
1190,2
1193,0
1194,2
1195,0
1203,1
1206,0
1211,2
1214,1
1218,0
1221,2
1223,0
1224,1
1231,1
1233,2
1236,2
1240,0
1245,1
1247,2
1250,0
1251,1
1253,0
1254,1
1255,1
1259,2
1260,2
1262,2
1270,1
1271,1
1274,1
1275,2
1276,2
1277,0
1280,0
1284,1
1288,1
1289,0
1297,1
1298,1
1299,2
1300,0
1302,1
1303,2
1304,1
1307,1
1308,2
1310,0
1313,1
1315,1
1316,0
1317,1
1319,2
1324,0
1333,2
1336,0
1339,0
1343,1
1345,1
1350,0
1353,2
1355,2
1356,0
1357,1
1370,0
1372,0
1373,1
1375,2
1379,0
1381,0
1382,1
1385,1
1386,0
1389,0
1398,1
1401,0
1403,2
1404,2
1406,0
1414,1
1415,1
1416,2
1417,0
1420,1
1422,1
1425,2
1427,1
1429,1
1430,0
1431,0
1434,2
1438,2
1439,1
1440,0
1445,0
1446,1
1448,1
1449,2
1450,1
1451,0
1452,2
1453,0
1455,0
1456,1
1458,1
1459,0
1463,1
1470,1
1471,2
1472,2
1473,1
1474,0
1477,2
1478,0
1480,2
1481,0
1482,1
1483,1
1489,0
1493,1
1494,2
1495,0
1498,1
1501,2
1505,0
1508,1
1510,1
1511,1
1513,0
1514,0
1515,2
1516,2
1522,0
1529,0
1531,2
1533,2
1537,1
1540,1
1544,1
1546,1
1547,0
1548,0
1550,2
1551,1
1553,0
1563,1
1564,2
1569,0
1573,1
1577,2
1582,1
1583,0
1589,1
1591,0
1593,0
1596,0
1597,1
1601,2
1602,1
1603,2
1604,0
1605,2
1606,2
1607,0
1611,1
1612,1
1615,2
1620,0
1621,1
1623,2
1627,1
1629,2
1633,2
1642,0
1644,0
1645,2
1647,0
1650,2
1652,0
1654,0
1655,0
1659,1
1661,2
1668,2
1670,0
1672,1
1673,1
1674,1
1676,1
1678,0
1682,1
1683,0
1687,0
1688,1
1689,0
1691,1
1703,0
1705,1
1710,2
1713,2
1714,2
1716,2
1718,0
1719,0
1723,0
1724,2
1725,0
1727,2
1730,2
1737,0
1738,2
1739,2
1742,2
1752,0
1762,0
1764,1
1766,0
1772,2
1776,2
1782,0
1787,0
1790,2
1792,0
1794,2
1796,2
1797,2
1799,1
1800,2
1803,0
1809,0
1811,2
1814,1
1815,0
1818,2
1819,2
1820,1
1824,0
1825,2
1826,2
1829,2
1835,2
1838,0
1839,1
1842,1
1844,2
1850,0
1854,2
1855,2
1857,2
1860,0
1861,1
1870,0
1872,0
1878,2
1886,2
1888,2
1889,0
1890,0
1893,2
1897,0
1901,0
1908,2
1915,1
1916,1
1920,2
1921,0
1923,1
1927,2
1928,1
1934,0
1935,2
1937,2
1938,0
1939,0
1942,2
1945,0
1947,2
1950,2
1951,0
1953,2
1954,1
1957,1
1958,1
1963,0
1964,0
1967,0
1968,1
1980,2
1981,2
1982,2
1984,2
1988,2
1991,1
1994,2
1995,1
1996,0
1998,2
2000,1
2004,0
2006,1
2011,1
2016,2
