ID,burden,pred_hypothesis,nn_train_class,nn_jaccard,is_twin,twin_raw,pred_pre17
TEST_0000,52,STES,STES,0.2,False,,STES
TEST_0001,372,BRCA,UCEC,0.27380952,False,,UCEC
TEST_0002,6,BRCA,THCA,0.33333334,False,,SARC
TEST_0003,8,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0004,72,LUSC,LUAD,0.2777778,False,,LUSC
TEST_0005,2104,BRCA,PAAD,0.8294314,False,,LUSC
TEST_0006,18,BRCA,BLCA,0.3,False,,BRCA
TEST_0007,1665,COAD,PAAD,0.7773973,False,,SARC
TEST_0008,1,PRAD,PCPG,0.5,False,,PRAD
TEST_0009,20,BRCA,KIPAN,0.22222222,False,,LUAD
TEST_0010,8,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0011,3,LAML,KIPAN,0.0,False,,LAML
TEST_0012,59,HNSC,COAD,0.25,False,,DLBC
TEST_0013,45,STES,HNSC,0.26086956,False,,STES
TEST_0014,5,KIRC,THCA,1.0,True,KIPAN,KIRC
TEST_0015,619,STES,UCEC,0.41044775,False,,STES
TEST_0016,16,BRCA,PAAD,0.33333334,False,,BRCA
TEST_0017,0,THYM,KIPAN,0.0,False,,THYM
TEST_0018,13,KIPAN,KIRC,1.0,True,KIRC,KIPAN
TEST_0019,6,BRCA,BRCA,0.5,False,,SARC
TEST_0020,53,COAD,KIPAN,0.18518518,False,,COAD
TEST_0021,49,STES,BRCA,0.1724138,False,,STES
TEST_0022,3,LGG,GBMLGG,1.0,True,GBMLGG,LGG
TEST_0023,20,BRCA,KIPAN,0.25,False,,CESC
TEST_0024,43,BRCA,KIPAN,0.2,False,,KIPAN
TEST_0025,35,STES,HNSC,0.26086956,False,,STES
TEST_0026,23,COAD,BRCA,0.5,False,,OV
TEST_0027,1109,STES,PAAD,0.6735395,False,,STES
TEST_0028,39,STES,OV,0.2777778,False,,STES
TEST_0029,7,BRCA,STES,1.0,False,,PRAD
TEST_0030,39,COAD,LIHC,0.30769232,False,,COAD
TEST_0031,925,ACC,PAAD,0.5605536,False,,DLBC
TEST_0032,47,STES,KIPAN,0.2,False,,STES
TEST_0033,25,KIPAN,KIRC,0.2857143,False,,KIPAN
TEST_0034,11,KIPAN,KIRC,0.33333334,False,,KIPAN
TEST_0035,58,COAD,STES,0.21875,False,,COAD
TEST_0036,11,LGG,GBMLGG,1.0,True,GBMLGG,LGG
TEST_0037,5,BRCA,GBMLGG,0.5,False,,PRAD
TEST_0038,48,STES,COAD,0.2,False,,STES
TEST_0039,42,STES,COAD,0.2631579,False,,BLCA
TEST_0040,14,KIPAN,BRCA,0.33333334,False,,SARC
TEST_0041,8,GBMLGG,LGG,1.0,True,LGG,GBMLGG
TEST_0042,69,SKCM,COAD,0.20833333,False,,SKCM
TEST_0043,1423,COAD,PAAD,0.70242214,False,,UCEC
TEST_0044,4,BRCA,BRCA,1.0,False,,BRCA
TEST_0045,49,STES,HNSC,0.23529412,False,,STES
TEST_0046,15,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0047,27,LUAD,KIRC,0.21428572,False,,LUAD
TEST_0048,39,CESC,LAML,0.18181819,False,,CESC
TEST_0049,18,BRCA,UCEC,0.5,False,,BRCA
TEST_0050,46,STES,HNSC,0.2,False,,STES
TEST_0051,12,KIRC,KIPAN,1.0,True,KIPAN,KIRC
TEST_0052,50,COAD,COAD,0.18181819,False,,COAD
TEST_0053,19,OV,LUAD,0.6666667,False,,OV
TEST_0054,50,CESC,LUSC,0.1724138,False,,CESC
TEST_0055,12,OV,STES,0.5,False,,SARC
TEST_0056,50,STES,KIPAN,0.17391305,False,,LIHC
TEST_0057,18,BRCA,BRCA,0.4,False,,BRCA
TEST_0058,44,LIHC,KIRC,0.15789473,False,,LIHC
TEST_0059,38,SKCM,PAAD,0.25,False,,SKCM
TEST_0060,38,CESC,LIHC,0.5,False,,CESC
TEST_0061,19,BRCA,OV,0.5,False,,BRCA
TEST_0062,7,OV,BRCA,0.6666667,False,,SARC
TEST_0063,300,STES,LUSC,0.22222222,False,,STES
TEST_0064,5,PCPG,BRCA,0.33333334,False,,PCPG
TEST_0065,49,STES,COAD,0.21052632,False,,STES
TEST_0066,548,UCEC,UCEC,0.369863,False,,UCEC
TEST_0067,48,COAD,LUSC,0.2173913,False,,COAD
TEST_0068,16,TGCT,BRCA,0.2,False,,TGCT
TEST_0069,581,COAD,PAAD,0.4280702,False,,COAD
TEST_0070,36,COAD,ACC,0.16666667,False,,COAD
TEST_0071,620,UCEC,COAD,0.46280992,False,,UCEC
TEST_0072,14,BRCA,OV,0.4,False,,UCEC
TEST_0073,39,LUAD,BRCA,0.1875,False,,LUAD
TEST_0074,2,BRCA,PRAD,0.5,False,,PRAD
TEST_0075,2,THCA,KIPAN,0.0,False,,THYM
TEST_0076,52,STES,COAD,0.2413793,False,,STES
TEST_0077,53,STES,COAD,0.20689656,False,,STES
TEST_0078,78,LUAD,HNSC,0.17073171,False,,LUAD
TEST_0079,77,LUSC,COAD,0.18867925,False,,LUSC
TEST_0080,29,BRCA,GBMLGG,0.1875,False,,BRCA
TEST_0081,23,STES,COAD,0.3,False,,PAAD
TEST_0082,65,STES,KIPAN,0.19444445,False,,BLCA
TEST_0083,42,COAD,LUAD,0.19512194,False,,COAD
TEST_0084,44,STES,COAD,0.22222222,False,,STES
