experiment,features,burden0_with_THYM,burden0_without_THYM_true,delta
2026-09-09_a2_xgb_grp,a2,0.0214,0.0314,0.0099
2026-09-09_a4_xgb_grp,a4,0.0151,0.0226,0.0075
2026-09-09_v1_xgb_grp,v1,0.0151,0.0226,0.0075
2026-09-09_v2_xgb_bal_grp,v2,0.0151,0.0226,0.0075
2026-09-09_v2_xgb_grp,v2,0.0151,0.0226,0.0075
2026-09-09_v2_xgb_tuned_bal_grp,v2,0.0151,0.0226,0.0075
2026-09-09_v3_lgbm_grp,v3,0.0151,0.0226,0.0075
2026-09-09_v3_mlp_grp,v3,0.0,0.0,0.0
2026-09-09_v3_xgb_grp,v3,0.0323,0.0,-0.0323
2026-09-09_v3_xgb_tuned_grp,v3,0.0151,0.0226,0.0075
2026-09-09_v4_xgb_grp,v4,0.0323,0.0,-0.0323
2026-09-09_v5_xgb_grp,v5,0.0323,0.0,-0.0323
2026-09-09_v5_xgb_grp_drop,v5,0.0151,0.0226,0.0075
2026-09-10_a7_xgb_grp,a7,0.0151,0.0226,0.0075
2026-09-10_v6_xgb_grp,v6,0.0151,0.0226,0.0075
2026-09-10_v7_xgb_grp,v7,0.0323,0.0,-0.0323
2026-09-10_v8_xgb_grp,v8,0.0323,0.0,-0.0323
2026-09-11_v4_xgb_mild_col5_grp,v4,0.0151,0.0226,0.0075
2026-09-11_v4_xgb_mild_col5_reg_grp,v4,0.0151,0.0226,0.0075
2026-09-11_v4_xgb_mild_col_grp,v4,0.0151,0.0226,0.0075
2026-09-11_v4_xgb_mild_col_reg_grp,v4,0.0151,0.0226,0.0075
2026-09-13_v4p2_xgb_mild_col_grp,v4p2,0.0041,0.0064,0.0023
2026-09-13_v4p:band_xgb_mild_col_grp,v4p:band,0.0067,0.0104,0.0036
2026-09-13_v4p:pair_xgb_mild_col_grp,v4p:pair,0.0067,0.0104,0.0036
2026-09-13_v4p:pos_xgb_mild_col_grp,v4p:pos,0.0067,0.0104,0.0036
2026-09-13_v4p:prop_xgb_mild_col_grp,v4p:prop,0.0067,0.0104,0.0036
2026-09-13_v4p_xgb_mild_col_grp,v4p,0.0067,0.0104,0.0036
2026-09-14_v4p_xgb_mild_col_grp,v4p,0.0067,0.0104,0.0036
