class,n_actual,recall_9cha,prec_9cha,f1_9cha,recall_v2,prec_v2,f1_v2,recall_blend,prec_blend,f1_blend,delta_blend_vs_9cha
LUAD,84,0.357,0.366,0.361,0.369,0.333,0.35,0.369,0.365,0.367,0.006000000000000005
HNSC,102,0.333,0.425,0.374,0.275,0.322,0.296,0.353,0.429,0.387,0.013000000000000012
LIHC,58,0.362,0.404,0.382,0.31,0.474,0.375,0.362,0.457,0.404,0.02200000000000002
BRCA,56,0.304,0.548,0.391,0.375,0.6,0.462,0.357,0.571,0.44,0.04899999999999999
KIPAN,22,0.545,0.545,0.545,0.5,0.5,0.5,0.455,0.455,0.455,-0.09000000000000002
CESC,38,0.5,0.358,0.418,0.474,0.474,0.474,0.474,0.462,0.468,0.050000000000000044
STES,186,0.446,0.546,0.491,0.511,0.522,0.516,0.484,0.539,0.51,0.019000000000000017
BLCA,60,0.5,0.526,0.513,0.467,0.683,0.554,0.5,0.588,0.541,0.028000000000000025
LUSC,142,0.718,0.413,0.524,0.69,0.408,0.513,0.746,0.431,0.546,0.02200000000000002
COAD,38,0.684,0.722,0.703,0.737,0.8,0.767,0.737,0.8,0.767,0.06400000000000006
UCEC,40,0.825,0.846,0.835,0.825,0.786,0.805,0.85,0.791,0.819,-0.016000000000000014
ACC,18,0.944,0.895,0.919,1.0,1.0,1.0,0.944,0.944,0.944,0.02499999999999991
SKCM,100,0.93,0.959,0.944,0.93,0.959,0.944,0.93,0.959,0.944,0.0
