,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
BLCA,0,45,3,8,1,0,2,9,4,0,0,0,1,5,11,0,2,0,2,3,0,8,0,0,0,0
BRCA,1,2,379,14,1,0,10,8,25,4,6,1,9,6,8,59,6,7,104,84,0,17,0,4,13,18
CESC,0,8,14,44,0,0,7,3,10,6,0,0,3,3,7,0,1,3,10,22,0,5,1,0,4,4
COAD,0,0,5,1,160,0,0,0,3,2,0,0,3,3,0,10,6,0,3,2,1,17,0,0,0,7
DLBC,0,1,1,2,0,19,0,2,5,0,0,0,0,1,0,0,0,0,2,4,0,1,0,0,0,0
GBMLGG,0,0,11,2,1,0,193,1,8,2,3,125,2,3,2,15,3,2,17,49,1,6,3,2,2,8
HNSC,0,9,18,16,2,1,7,63,5,4,0,1,2,8,29,12,9,0,7,10,2,15,1,0,1,1
KIPAN,3,1,17,5,1,2,5,5,187,138,2,0,4,4,2,7,0,8,42,63,0,1,7,1,7,3
KIRC,0,0,7,5,0,0,3,0,93,126,1,0,2,2,0,3,0,6,34,42,0,1,3,0,3,3
LAML,0,0,1,0,0,0,4,0,0,2,74,3,0,0,0,3,0,4,28,11,0,0,0,1,27,0
LGG,0,0,3,1,0,0,80,0,0,0,2,120,0,0,0,3,0,0,2,12,0,1,0,1,3,1
LIHC,0,0,8,3,2,0,9,5,12,2,0,0,45,10,14,10,1,0,5,22,0,7,1,0,0,2
LUAD,0,2,5,10,1,2,4,6,7,0,0,0,8,61,31,5,2,1,4,13,2,18,0,1,0,1
LUSC,0,0,2,1,0,0,2,9,4,0,0,0,5,18,119,2,1,0,0,0,2,11,0,0,2,0
OV,0,0,25,2,1,0,3,3,8,3,0,0,5,3,6,105,12,1,17,51,0,5,0,0,1,2
PAAD,0,0,4,4,1,0,7,8,4,1,0,0,2,1,2,23,31,0,4,20,0,6,0,0,1,1
PCPG,0,0,2,0,0,0,1,0,0,4,1,1,0,0,0,0,1,44,56,17,0,0,0,6,14,0
PRAD,0,0,5,0,2,0,2,1,5,3,2,1,2,1,3,5,1,5,155,50,0,0,0,4,17,2
SARC,0,0,11,1,0,0,5,0,6,0,0,1,1,0,0,17,1,2,54,84,3,2,1,1,5,3
SKCM,0,0,3,0,2,0,6,0,7,1,1,0,1,3,2,1,1,1,6,6,228,1,2,4,0,0
STES,0,4,19,11,11,0,4,28,12,3,0,0,5,17,46,18,7,0,5,15,0,164,0,0,2,8
TGCT,0,0,3,1,0,0,4,0,28,5,0,0,3,1,0,1,1,1,3,15,0,0,58,0,0,0
THCA,0,0,3,0,1,0,1,0,0,1,2,0,0,0,0,1,0,15,67,14,4,0,0,191,24,0
THYM,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,34,9,0,1,0,1,47,0
UCEC,0,2,10,1,2,0,8,1,0,1,0,0,1,1,1,10,1,0,3,13,0,4,0,0,0,139
