,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,42,10,12,0,0,2,12,1,0,0,0,0,4,5,2,0,0,1,0,0,13,0,0,0,0
BRCA,1,5,506,11,2,0,13,14,20,2,14,1,2,3,3,57,5,7,53,19,1,20,0,19,2,6
CESC,0,5,40,52,0,0,9,5,6,1,5,0,0,3,1,0,3,2,4,2,0,11,0,1,1,4
COAD,0,0,9,1,159,0,5,0,1,0,0,0,1,1,0,6,4,0,0,1,1,26,0,0,0,8
DLBC,0,0,4,0,0,16,1,1,4,0,0,0,1,1,0,0,0,0,2,1,0,5,1,1,0,0
GBMLGG,0,0,32,2,0,0,249,2,6,1,5,97,4,0,1,6,4,2,8,14,0,13,2,5,0,8
HNSC,0,9,36,13,3,0,7,74,7,0,1,1,1,8,12,9,6,0,2,3,2,28,0,0,1,0
KIPAN,4,1,67,0,2,0,8,4,271,70,6,0,5,1,1,6,0,6,29,14,0,4,6,3,3,4
KIRC,0,0,42,0,0,0,4,0,169,60,4,0,2,1,0,4,0,5,26,7,0,3,1,1,1,4
LAML,0,0,18,0,0,0,5,0,0,1,95,1,0,0,0,5,0,5,9,1,0,0,0,12,6,0
LGG,0,0,9,0,0,0,114,0,0,0,4,90,0,0,0,3,0,1,3,3,0,1,0,1,0,0
LIHC,0,0,21,2,2,1,8,3,17,1,0,0,51,4,7,7,0,0,7,5,0,20,2,0,0,0
LUAD,0,4,27,7,0,0,9,8,9,0,0,0,4,61,18,2,1,0,5,3,3,21,0,1,0,1
LUSC,0,3,4,2,1,0,1,18,4,0,2,0,5,17,98,2,0,0,0,0,1,19,0,0,0,1
OV,0,0,79,0,1,0,1,5,13,0,1,0,6,2,3,105,6,1,6,8,0,9,1,2,1,3
PAAD,0,0,16,1,2,0,13,6,5,0,1,0,0,0,0,17,36,0,2,3,0,15,1,1,0,1
PCPG,0,0,32,0,0,0,2,0,4,2,8,0,0,0,0,0,0,40,31,6,0,0,0,18,4,0
PRAD,0,0,67,0,2,0,4,0,8,1,7,1,2,1,2,8,0,5,113,14,0,1,0,24,3,3
SARC,0,0,68,1,0,0,7,1,7,0,5,1,0,1,0,24,2,4,25,34,4,3,4,4,1,2
SKCM,1,0,12,2,1,0,4,0,8,0,1,0,2,3,0,0,0,1,1,2,232,0,1,5,0,0
STES,1,2,33,1,13,1,8,26,14,0,2,0,2,7,14,10,8,1,0,5,0,225,1,1,0,4
TGCT,1,0,11,0,0,0,5,0,25,1,0,0,1,1,0,1,1,1,2,3,0,0,69,2,0,0
THCA,0,0,32,0,1,0,3,0,0,0,23,0,0,0,0,1,0,11,39,2,1,0,0,208,2,1
THYM,0,0,17,0,0,0,3,0,1,0,34,0,0,1,0,1,0,5,15,1,0,1,0,11,8,0
UCEC,0,2,23,2,4,0,14,4,1,0,0,0,0,1,0,10,0,0,1,2,0,10,0,0,0,124
