,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,40,13,7,0,0,1,22,2,0,0,0,0,1,5,2,0,0,2,0,0,8,0,0,0,1
BRCA,1,3,530,11,1,0,15,9,13,1,8,1,8,2,4,54,2,10,53,20,0,15,1,16,3,5
CESC,0,7,62,36,0,0,5,10,3,1,1,0,0,0,4,0,0,2,4,5,1,8,0,1,1,4
COAD,0,0,13,0,160,0,2,0,1,0,0,0,1,1,0,3,6,0,0,1,1,27,0,1,0,6
DLBC,0,0,3,0,0,15,1,2,3,0,0,0,1,0,0,0,0,0,0,1,0,9,1,2,0,0
GBMLGG,0,0,34,2,2,0,260,1,6,0,4,83,3,2,1,8,3,2,9,16,0,10,2,6,0,7
HNSC,0,8,37,6,2,0,7,75,7,0,1,0,2,8,16,13,4,0,3,2,2,30,0,0,0,0
KIPAN,4,0,89,2,2,0,9,5,246,65,3,0,8,2,1,6,1,6,27,16,0,6,9,4,1,3
KIRC,0,0,62,2,0,1,3,0,150,59,2,0,3,2,0,4,0,5,22,10,0,2,3,1,1,2
LAML,0,0,31,0,0,0,8,0,0,1,77,3,0,0,0,4,0,5,10,3,0,0,0,11,5,0
LGG,0,0,12,1,0,0,116,0,0,0,2,87,0,0,0,3,0,0,3,2,0,1,0,1,0,1
LIHC,0,0,30,2,2,0,8,3,11,1,0,0,44,3,9,11,0,0,4,6,0,19,2,0,0,3
LUAD,0,2,25,4,0,0,9,6,6,0,0,0,5,64,23,3,1,1,4,3,2,23,0,2,0,1
LUSC,0,2,6,1,0,0,0,19,2,0,0,0,6,16,102,6,0,0,0,0,1,17,0,0,0,0
OV,0,0,84,0,1,0,2,2,9,2,1,0,4,5,2,105,5,0,6,11,0,9,1,1,1,2
PAAD,0,0,16,1,2,0,9,7,2,0,1,0,1,1,0,23,34,0,1,7,0,13,0,1,0,1
PCPG,0,0,37,0,0,0,2,0,1,1,3,0,0,0,0,0,0,42,32,8,0,0,0,16,5,0
PRAD,0,0,75,0,2,0,3,0,6,2,7,1,2,1,2,6,0,7,110,14,0,1,0,23,1,3
SARC,0,0,78,2,0,0,9,1,5,0,1,1,0,0,0,21,2,1,25,36,3,4,1,6,0,2
SKCM,1,0,9,1,1,0,3,1,4,0,1,0,1,1,0,1,0,2,3,2,234,4,2,5,0,0
STES,1,1,42,1,16,0,11,24,7,0,0,0,1,2,15,11,10,0,1,4,0,224,1,1,0,6
TGCT,0,0,16,0,0,0,2,0,22,3,0,0,1,1,0,1,1,1,3,4,0,2,66,1,0,0
THCA,0,0,47,2,1,0,1,0,0,0,5,0,0,0,0,1,0,8,39,2,0,0,0,212,4,2
THYM,0,0,56,0,0,0,1,1,0,0,3,0,0,0,0,1,0,4,13,1,0,1,0,11,6,0
UCEC,0,2,25,0,5,0,14,4,1,0,0,0,0,0,0,9,0,0,1,1,0,10,0,0,0,126
