,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,44,0,0,0,2,1,1,1,8,0,0,0,3,2,1,0,0,0,0,0,3,4,2,0,0,0
BLCA,0,35,4,2,2,1,1,10,3,0,0,0,1,4,12,0,2,0,1,0,2,19,1,1,0,3
BRCA,0,6,422,5,4,1,17,10,60,4,16,1,6,8,4,62,6,23,64,11,1,29,5,7,2,12
CESC,0,4,19,26,1,0,5,5,30,4,5,0,2,3,12,0,1,3,6,5,4,7,6,0,0,7
COAD,0,1,7,1,156,0,1,1,9,0,0,0,3,1,2,7,0,1,0,0,10,13,1,0,0,9
DLBC,2,2,2,0,0,12,0,3,5,0,0,0,0,0,1,1,0,0,3,0,3,2,1,0,0,1
GBMLGG,1,1,25,1,2,0,220,3,38,2,10,91,4,2,2,17,1,2,9,6,2,7,9,3,1,2
HNSC,1,6,28,9,6,0,4,62,16,0,1,0,1,6,22,12,7,0,3,1,1,34,2,0,0,1
KIPAN,1,3,52,2,2,0,18,8,271,78,5,1,6,3,1,6,2,5,21,7,2,8,9,1,1,2
KIRC,0,1,32,2,1,0,13,1,172,71,3,1,0,2,0,4,0,2,16,5,2,0,3,1,1,1
LAML,0,0,11,0,0,0,5,0,0,0,101,5,0,0,0,3,0,9,14,1,0,0,0,4,5,0
LGG,0,1,3,0,1,0,103,0,5,0,8,93,1,0,0,4,1,0,2,4,0,0,0,2,0,1
LIHC,1,3,8,2,3,1,12,2,23,2,0,1,35,6,9,9,4,0,5,2,2,20,4,0,0,4
LUAD,0,3,8,4,1,1,11,8,20,1,0,0,4,50,15,4,3,1,3,2,9,30,4,0,0,2
LUSC,0,3,1,5,0,0,2,14,4,0,2,0,5,13,81,3,0,0,0,0,8,33,0,0,0,4
OV,1,1,44,1,2,0,9,3,24,1,3,1,0,2,1,117,6,2,5,5,0,18,2,2,1,2
PAAD,0,0,13,1,3,0,3,7,12,1,1,0,2,4,1,37,17,0,1,4,0,9,1,1,0,2
PCPG,0,0,20,0,1,0,0,0,8,0,11,0,0,0,0,0,0,50,35,6,1,0,0,12,3,0
PRAD,0,0,57,2,1,0,7,0,25,5,13,1,1,2,0,9,0,17,99,5,0,1,0,9,9,3
SARC,0,0,47,2,1,0,14,2,30,0,5,2,0,2,0,19,2,7,31,23,3,1,3,1,1,2
SKCM,0,0,5,2,2,0,4,1,14,0,1,1,4,4,6,0,0,2,3,0,212,2,5,6,0,2
STES,0,2,28,6,10,0,5,28,26,1,3,0,8,16,30,19,4,0,5,1,4,176,1,0,0,6
TGCT,0,1,5,1,1,1,3,1,54,5,0,0,0,0,0,1,0,1,2,2,1,0,44,1,0,0
THCA,0,0,17,0,1,0,0,0,4,0,27,0,0,0,0,1,0,19,40,1,4,0,0,204,6,0
THYM,0,0,6,0,0,0,2,1,2,0,43,0,0,0,0,1,0,6,22,0,0,1,1,7,6,0
UCEC,0,3,21,4,6,0,14,2,4,1,0,0,4,0,2,5,1,0,3,1,5,5,0,0,1,116
