,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,47,1,0,0,2,1,1,0,9,1,0,0,1,1,0,0,0,0,0,0,3,3,2,0,0,0
BLCA,0,35,6,1,1,1,1,7,3,0,0,0,1,4,12,3,0,0,2,1,3,20,1,0,0,2
BRCA,0,1,429,6,5,0,20,9,54,2,14,2,4,5,5,74,6,24,56,8,3,29,5,10,0,15
CESC,1,0,23,17,5,0,7,4,30,6,5,0,0,4,16,0,0,2,6,4,6,7,6,1,0,5
COAD,0,3,7,1,152,0,1,1,9,1,0,0,2,0,0,10,2,0,0,0,7,14,1,1,0,11
DLBC,1,0,3,1,0,8,3,2,6,0,0,0,0,2,2,1,0,0,2,0,4,1,1,0,0,1
GBMLGG,1,0,28,5,1,0,225,2,44,2,7,81,1,1,2,15,1,3,10,8,3,4,9,4,1,3
HNSC,0,2,32,5,6,0,8,49,14,0,1,0,1,7,19,13,9,0,2,1,5,43,2,1,0,3
KIPAN,0,1,67,4,7,0,16,3,262,88,7,1,2,1,3,10,1,5,14,3,1,6,7,2,1,3
KIRC,0,0,43,2,5,0,12,0,161,81,5,1,0,0,0,4,0,1,12,0,2,0,3,1,1,0
LAML,0,0,9,0,0,0,7,0,0,0,97,3,0,0,0,4,0,10,14,1,0,0,0,8,5,0
LGG,0,0,5,0,1,0,107,0,3,0,6,90,0,0,0,2,1,0,2,8,1,0,0,3,0,0
LIHC,0,2,12,2,4,0,10,3,30,1,0,1,30,4,9,11,0,0,4,1,4,21,3,0,0,6
LUAD,0,1,11,2,3,0,10,7,19,1,0,0,5,44,19,5,2,0,3,3,11,33,4,0,0,1
LUSC,0,4,3,6,1,0,1,14,2,0,2,0,1,11,79,3,0,0,0,0,10,38,0,0,0,3
OV,1,0,38,1,7,0,10,9,23,0,3,0,0,2,1,122,5,0,6,5,0,13,3,2,0,2
PAAD,0,0,8,0,3,0,1,8,14,0,1,1,1,3,0,41,18,0,4,3,0,11,3,0,0,0
PCPG,0,0,28,0,0,0,1,0,7,0,8,0,0,0,0,0,0,50,31,6,0,0,0,9,7,0
PRAD,0,0,79,1,2,0,6,0,27,3,12,0,0,0,1,9,0,18,69,5,0,1,0,21,9,3
SARC,0,0,52,1,1,0,6,1,29,3,6,1,0,1,0,24,0,10,28,19,3,3,3,4,1,2
SKCM,0,0,6,1,4,0,5,1,16,1,1,1,2,3,6,1,0,1,3,1,207,4,3,6,0,3
STES,1,5,31,6,12,0,8,20,29,1,2,0,6,12,28,18,4,0,6,1,5,177,2,0,0,5
TGCT,0,0,12,3,1,0,3,1,52,2,0,0,1,0,0,1,1,1,1,1,0,1,42,1,0,0
THCA,0,0,20,0,1,0,0,0,3,0,26,0,0,0,0,1,1,23,31,1,4,0,0,208,5,0
THYM,0,0,12,0,0,0,1,0,2,0,44,0,0,0,0,0,0,7,19,1,0,1,1,7,3,0
UCEC,0,1,28,4,2,0,14,2,4,1,0,0,4,1,2,7,0,0,2,1,6,2,0,0,0,117
