,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,31,0,3,1,1,0,7,4,11,3,0,0,1,2,0,1,0,0,0,0,0,5,2,0,0,0
BLCA,0,29,18,8,1,0,3,20,1,0,0,0,0,5,7,0,0,0,1,0,1,9,0,1,0,0
BRCA,1,7,382,21,4,0,45,17,79,12,28,22,3,6,5,23,2,26,40,10,2,18,3,18,4,8
CESC,1,7,56,26,2,0,16,15,1,2,5,2,0,2,3,3,1,0,2,1,0,5,0,1,2,2
COAD,2,0,19,0,57,0,43,10,11,2,0,2,1,0,1,3,5,0,0,2,0,46,3,2,0,14
DLBC,1,0,2,0,0,1,4,2,5,0,1,0,0,1,1,0,0,0,0,0,0,18,0,1,0,1
GBMLGG,3,0,69,3,17,0,211,3,24,6,11,53,3,0,1,6,11,3,3,6,1,12,4,5,1,5
HNSC,3,9,36,13,12,0,17,40,14,2,2,2,6,16,6,2,1,1,1,1,2,35,1,0,0,1
KIPAN,6,0,100,3,5,0,23,5,199,44,17,6,12,1,1,14,2,1,21,14,3,11,8,12,5,2
KIRC,2,0,74,2,1,0,14,0,127,31,14,2,2,1,0,10,2,1,17,9,1,4,6,11,3,0
LAML,0,0,43,0,0,1,11,0,3,0,55,3,0,0,0,0,0,12,17,1,0,0,0,7,5,0
LGG,0,0,41,0,1,0,107,0,7,1,8,45,0,0,0,3,2,2,1,4,1,1,1,3,0,1
LIHC,6,0,16,0,3,0,9,5,30,4,0,1,27,5,10,8,0,1,4,2,0,21,4,1,0,1
LUAD,2,7,18,2,0,0,6,8,12,7,1,3,2,60,28,3,1,0,2,1,0,17,2,1,0,1
LUSC,2,4,5,0,0,0,1,11,2,2,2,0,4,17,102,0,0,0,0,0,3,23,0,0,0,0
OV,1,0,78,2,5,0,30,2,49,15,5,2,4,3,4,21,0,3,12,3,0,6,3,1,0,4
PAAD,2,0,13,0,13,0,48,4,6,0,1,3,0,0,1,3,10,0,1,4,0,6,1,1,1,2
PCPG,0,0,43,1,0,0,11,0,2,1,21,7,0,0,0,1,0,17,20,5,0,0,0,15,3,0
PRAD,1,0,69,0,1,0,7,0,18,6,19,6,2,0,2,12,0,17,61,8,0,1,3,26,5,2
SARC,0,0,65,2,1,0,23,1,20,7,10,8,0,0,0,8,1,5,20,6,3,2,5,3,0,8
SKCM,0,0,14,2,2,0,5,1,5,2,0,2,0,2,1,3,0,0,0,2,227,2,0,6,0,0
STES,5,1,33,2,22,1,25,17,12,2,2,1,7,8,16,6,3,0,0,1,1,208,2,1,0,3
TGCT,1,0,10,0,4,0,8,1,20,7,1,0,1,1,0,10,1,0,4,2,0,4,47,2,0,0
THCA,0,0,28,0,0,0,9,0,2,4,35,4,0,0,0,2,1,13,18,4,0,0,1,198,4,1
THYM,0,0,14,0,0,0,7,0,3,3,40,4,0,0,0,1,0,4,7,0,0,1,0,11,3,0
UCEC,1,0,38,2,14,0,17,6,19,3,1,4,3,0,0,3,3,0,2,2,0,28,1,0,0,51
