,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,46,0,2,1,0,0,1,0,7,2,0,0,0,4,1,0,0,0,0,0,0,5,3,0,0,0
BLCA,0,35,16,12,0,0,2,18,2,0,0,0,0,3,6,1,0,0,1,0,0,8,0,0,0,0
BRCA,2,7,468,18,2,0,15,12,43,2,12,0,2,2,2,55,6,26,49,13,1,23,4,12,5,5
CESC,0,9,44,43,1,0,10,10,5,4,5,1,0,2,4,0,0,1,4,3,0,3,2,0,1,3
COAD,0,0,7,2,151,0,4,1,2,0,0,0,1,0,1,4,8,0,0,1,0,28,2,2,0,9
DLBC,2,0,2,0,0,5,1,0,4,1,0,0,1,1,1,0,1,1,1,0,0,15,1,1,0,0
GBMLGG,2,0,32,3,1,0,239,2,23,2,9,91,1,0,1,10,6,5,7,5,1,9,2,4,1,5
HNSC,0,11,40,10,5,0,7,55,9,0,1,0,3,10,8,11,8,0,1,2,1,35,1,0,0,5
KIPAN,1,0,59,0,4,0,7,4,243,102,7,0,11,1,1,11,1,2,31,9,1,6,7,4,2,1
KIRC,0,0,36,0,3,0,4,0,152,88,5,0,4,0,0,3,0,1,23,4,2,0,5,3,1,0
LAML,0,0,12,0,0,0,8,0,1,0,93,5,0,0,0,6,0,11,10,0,0,0,0,8,4,0
LGG,0,0,8,1,1,0,108,0,1,0,8,89,0,0,0,3,0,0,1,4,1,1,0,2,0,1
LIHC,1,0,12,0,1,0,8,3,31,1,0,0,44,6,8,8,0,0,6,1,0,20,4,0,0,4
LUAD,0,3,17,7,1,0,4,6,25,0,0,0,3,54,27,2,2,0,3,2,2,21,3,1,0,1
LUSC,0,1,4,2,2,0,0,10,3,1,2,0,5,14,100,4,0,0,0,0,3,27,0,0,0,0
OV,0,0,67,0,3,0,7,3,21,3,3,0,2,1,3,111,6,2,7,4,0,6,1,2,0,1
PAAD,0,0,13,2,3,0,18,4,7,0,1,2,0,0,1,19,24,1,1,1,0,21,0,0,1,1
PCPG,0,0,37,2,0,0,4,0,3,2,9,0,0,0,0,0,0,41,20,5,0,0,0,19,5,0
PRAD,0,0,49,0,0,0,4,0,30,3,10,2,1,0,2,8,0,16,104,3,0,1,4,19,8,2
SARC,0,0,66,3,1,0,11,0,22,4,7,0,0,0,0,25,4,4,18,18,3,4,3,3,1,1
SKCM,0,0,13,2,2,0,3,0,10,0,0,0,1,2,0,1,0,1,2,1,229,1,1,6,0,1
STES,1,3,36,1,11,0,15,19,21,0,3,0,2,4,13,7,5,0,1,2,0,224,3,0,1,7
TGCT,0,0,7,0,1,0,5,0,37,7,0,0,1,1,0,2,1,1,2,2,1,1,53,2,0,0
THCA,0,0,21,2,1,0,3,0,3,0,29,0,0,0,0,2,1,16,31,3,0,0,1,203,8,0
THYM,0,0,12,0,0,0,4,0,0,1,41,0,0,0,0,2,0,5,11,1,0,1,0,10,10,0
UCEC,0,3,26,0,5,0,16,3,3,1,0,0,2,0,0,9,1,0,2,2,0,13,1,0,0,111
