,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,44,9,7,0,0,2,13,3,0,0,0,0,4,7,2,1,0,1,0,0,11,0,0,0,0
BRCA,1,3,503,12,2,0,11,11,24,2,13,1,3,3,3,53,6,10,55,18,0,20,1,20,4,7
CESC,0,7,42,48,0,0,6,6,7,1,5,0,1,1,3,0,0,2,6,5,0,8,1,2,0,4
COAD,0,0,9,1,158,0,3,1,1,0,0,0,1,1,0,6,6,0,1,2,1,26,0,0,0,6
DLBC,0,0,4,0,0,15,1,2,5,0,0,0,1,1,0,0,0,1,0,1,0,5,1,1,0,0
GBMLGG,0,0,35,1,0,0,242,2,9,0,5,98,4,0,1,5,3,2,8,14,1,15,4,5,0,7
HNSC,0,8,39,13,2,0,5,75,9,0,1,0,4,9,10,9,5,0,3,2,1,28,0,0,0,0
KIPAN,4,0,68,1,2,0,10,4,263,70,6,0,6,0,1,7,1,8,32,12,0,5,7,2,3,3
KIRC,0,0,47,0,0,0,4,0,162,64,4,0,3,1,0,4,0,5,24,7,0,2,2,1,1,3
LAML,0,0,19,0,0,0,6,0,0,1,91,2,0,0,0,6,0,6,8,0,0,0,0,15,4,0
LGG,0,0,8,1,0,0,105,0,0,0,5,98,0,0,0,3,0,0,3,4,0,1,0,1,0,0
LIHC,0,0,15,1,2,0,11,2,18,1,0,0,50,3,9,9,0,0,3,7,0,22,3,0,0,2
LUAD,0,3,22,5,0,1,9,10,10,0,0,0,8,62,24,4,1,0,3,2,3,15,0,1,0,1
LUSC,0,3,4,1,1,0,1,17,4,0,2,0,6,16,101,3,0,0,0,0,1,17,0,0,0,1
OV,0,0,85,0,0,0,2,4,12,1,1,0,5,1,4,106,5,0,7,7,0,10,2,0,1,0
PAAD,0,0,19,2,1,0,9,8,3,0,1,0,2,0,0,21,31,0,1,4,0,16,1,0,0,1
PCPG,0,0,44,0,0,0,2,0,2,2,8,0,0,0,0,0,0,42,23,5,0,0,0,15,4,0
PRAD,0,0,66,0,2,0,3,0,6,0,6,1,5,0,3,6,0,4,119,13,0,1,2,26,1,2
SARC,0,0,67,1,0,0,9,0,8,0,4,1,0,1,0,22,2,4,30,29,3,3,6,5,1,2
SKCM,0,0,11,3,1,0,2,0,7,0,1,0,2,2,0,1,0,1,2,2,233,2,1,5,0,0
STES,1,1,32,4,13,1,10,27,11,1,2,0,1,6,12,12,8,0,0,4,0,229,1,0,0,3
TGCT,1,0,7,0,0,0,5,0,30,0,0,0,2,1,0,1,1,1,1,4,0,0,69,1,0,0
THCA,0,0,31,0,1,0,2,0,0,0,20,0,0,0,0,1,0,11,38,2,1,0,0,214,3,0
THYM,0,0,17,0,0,0,2,0,1,0,34,0,0,0,0,0,0,6,14,1,1,1,0,17,4,0
UCEC,0,2,20,2,3,0,14,4,1,0,0,0,0,0,0,10,2,0,2,2,0,9,0,0,0,127
