,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,43,0,6,0,1,0,3,0,8,1,0,0,1,2,4,0,0,0,0,0,0,3,0,0,0,0
BLCA,0,37,16,10,0,1,3,17,1,0,0,0,0,5,6,2,0,0,0,0,0,6,0,0,0,0
BRCA,2,2,505,23,1,0,17,11,36,7,13,0,4,4,4,52,3,20,38,2,1,17,2,12,3,7
CESC,0,8,45,45,0,0,10,9,5,1,3,0,0,3,1,0,1,2,5,2,2,5,1,4,0,3
COAD,1,0,7,0,154,0,7,2,2,0,0,0,2,0,1,4,7,0,0,1,0,25,0,2,0,8
DLBC,2,0,2,0,0,3,2,0,6,1,0,0,1,0,1,0,0,1,1,0,0,17,0,1,0,0
GBMLGG,2,0,35,2,2,0,267,3,15,2,9,70,1,1,0,4,8,4,5,5,0,12,1,3,0,10
HNSC,0,11,43,11,3,0,12,57,7,1,0,0,3,14,13,5,6,0,1,0,2,31,1,1,0,1
KIPAN,1,0,57,1,2,0,13,4,265,93,7,0,7,0,0,11,1,2,24,8,0,6,5,6,1,1
KIRC,0,0,41,0,1,0,3,0,160,84,5,0,1,0,0,6,0,1,20,5,0,1,3,2,1,0
LAML,0,0,23,1,0,0,9,0,1,0,80,2,0,0,0,2,1,8,19,0,0,0,0,8,4,0
LGG,0,0,10,1,1,0,133,0,0,0,7,68,0,0,0,2,1,0,2,1,0,1,0,1,1,0
LIHC,0,0,14,0,1,0,8,2,42,4,1,0,47,6,4,7,0,0,2,0,0,17,3,0,0,0
LUAD,0,5,21,4,1,0,7,8,14,1,0,0,3,59,31,5,2,2,4,1,0,10,3,1,0,2
LUSC,0,5,5,2,1,0,0,15,5,0,2,0,1,20,108,3,0,0,0,0,1,10,0,0,0,0
OV,0,0,76,0,2,0,10,4,17,3,5,0,2,2,5,95,4,0,5,9,1,9,1,1,1,1
PAAD,0,0,14,0,5,1,35,7,4,1,1,0,0,1,1,9,28,0,1,1,0,9,0,2,0,0
PCPG,0,0,41,1,0,0,5,0,7,1,14,0,0,0,0,0,0,35,23,2,0,0,1,15,2,0
PRAD,0,0,70,0,0,0,3,0,32,5,9,0,1,0,2,4,0,12,97,4,0,1,3,17,4,2
SARC,0,0,72,2,2,0,15,0,28,3,5,1,0,0,0,18,1,7,12,15,3,3,2,8,1,0
SKCM,1,0,7,1,0,0,8,0,7,0,0,0,1,0,1,1,0,1,6,1,233,1,1,6,0,0
STES,2,5,32,2,9,0,25,13,17,0,2,0,6,7,11,6,7,1,1,0,0,221,4,0,0,8
TGCT,0,0,6,0,1,0,6,2,19,3,0,0,2,0,0,0,0,0,5,2,1,4,72,1,0,0
THCA,0,0,27,0,0,0,3,0,3,0,28,0,0,0,0,0,1,23,29,3,1,0,1,200,5,0
THYM,0,0,17,1,0,0,5,0,2,0,38,0,0,0,0,1,0,4,15,2,0,1,0,11,1,0
UCEC,1,1,32,1,6,0,14,3,1,3,0,0,5,0,0,8,5,1,5,0,0,10,1,0,0,101
