,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,42,0,4,0,1,0,2,0,10,0,0,0,1,4,1,0,0,0,0,1,0,4,2,0,0,0
BLCA,0,36,19,11,0,0,2,17,1,0,0,0,1,4,5,1,0,0,0,0,0,7,0,0,0,0
BRCA,3,7,500,21,1,0,19,11,35,7,15,0,1,1,1,61,5,19,37,7,1,18,2,12,0,2
CESC,0,5,46,57,1,0,8,7,2,1,3,0,0,2,0,0,0,4,4,7,2,2,1,1,0,2
COAD,0,0,10,0,142,0,8,2,3,0,0,0,1,1,1,8,8,0,0,0,0,27,0,1,0,11
DLBC,1,0,1,0,0,9,1,0,7,0,0,0,0,0,1,0,0,2,2,0,0,13,0,1,0,0
GBMLGG,2,0,37,1,1,0,242,2,20,3,7,95,2,0,0,5,7,3,2,6,0,13,3,3,0,7
HNSC,1,12,47,12,4,0,10,55,7,1,1,0,8,14,7,9,7,0,0,2,1,24,0,0,0,1
KIPAN,3,0,56,1,1,0,9,3,268,89,7,0,13,0,1,9,1,2,26,11,0,5,5,3,1,1
KIRC,2,0,37,0,0,0,3,0,161,79,4,0,4,0,1,4,0,2,22,3,0,3,7,1,1,0
LAML,0,0,22,0,0,0,10,0,0,0,87,2,0,0,0,3,0,7,16,1,0,0,0,5,5,0
LGG,0,0,11,0,1,0,108,0,0,0,6,91,0,0,0,2,1,1,1,4,0,1,0,1,0,1
LIHC,1,0,12,1,1,0,6,1,31,4,0,0,59,6,1,10,0,0,7,1,0,12,4,1,0,0
LUAD,0,2,20,2,0,0,9,8,14,0,0,0,6,67,28,6,0,1,4,1,0,13,2,1,0,0
LUSC,1,4,9,3,1,0,0,14,5,0,2,0,2,18,103,1,0,0,0,0,1,14,0,0,0,0
OV,0,0,78,0,1,0,6,1,23,2,3,0,3,2,6,95,8,1,8,5,1,7,1,0,1,1
PAAD,0,0,13,0,4,0,21,7,6,0,1,2,0,0,1,13,32,1,0,3,0,12,1,1,1,1
PCPG,0,0,32,0,0,0,8,0,2,2,13,0,0,0,0,0,0,43,31,3,0,0,0,13,0,0
PRAD,0,0,56,0,0,0,7,0,29,6,14,0,1,0,2,9,0,16,102,3,1,1,1,10,6,2
SARC,0,0,61,1,0,0,14,0,22,4,7,0,1,0,0,25,0,12,21,17,3,5,1,2,1,1
SKCM,0,1,11,1,1,0,5,1,8,0,0,0,1,3,0,1,0,1,2,0,229,0,2,8,0,1
STES,2,5,33,2,13,0,31,20,16,1,2,0,6,9,9,10,6,1,1,1,0,203,5,0,0,3
TGCT,1,0,7,0,0,0,5,1,33,1,0,0,0,0,0,1,0,1,4,1,0,1,68,0,0,0
THCA,0,0,20,1,0,0,2,0,4,2,31,0,0,0,0,0,1,23,29,2,1,0,1,205,2,0
THYM,0,0,15,1,0,0,3,0,3,2,36,0,0,0,0,1,0,7,13,4,0,1,0,11,1,0
UCEC,1,2,33,1,3,0,11,3,3,0,0,0,4,0,0,12,3,0,1,2,0,12,1,1,0,105
