,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,48,0,3,1,0,0,0,1,7,1,0,0,0,3,1,0,0,0,0,0,0,5,2,0,0,0
BLCA,0,38,15,12,0,0,1,12,3,0,0,0,0,2,7,1,0,0,1,0,0,12,0,0,0,0
BRCA,0,6,472,19,2,0,19,8,39,2,6,0,3,1,4,54,9,23,52,9,1,27,2,19,5,4
CESC,0,8,46,44,1,0,10,8,9,2,1,0,2,1,4,0,0,2,2,4,1,2,0,4,1,3
COAD,0,0,6,0,150,0,4,1,2,0,0,0,1,2,0,5,8,0,0,1,1,30,1,2,0,9
DLBC,3,0,3,0,0,5,2,0,8,0,0,0,0,1,1,0,1,1,0,0,0,12,0,1,0,0
GBMLGG,2,0,29,3,2,0,237,2,24,5,7,90,0,0,0,10,7,4,6,5,0,10,4,6,1,7
HNSC,0,12,38,11,5,0,6,57,11,0,1,0,6,8,14,12,5,0,1,0,1,31,1,0,0,3
KIPAN,1,1,51,1,3,0,10,6,252,98,3,0,8,1,3,11,1,1,33,9,0,5,7,7,2,1
KIRC,1,0,31,0,2,0,7,0,156,88,2,0,4,0,0,5,0,0,25,4,1,0,3,4,1,0
LAML,0,0,12,0,0,0,9,0,1,0,82,4,0,0,0,7,0,12,10,0,0,0,0,18,3,0
LGG,0,0,8,1,1,0,108,0,0,0,5,91,0,0,0,3,0,0,1,4,0,1,0,5,0,1
LIHC,1,0,12,0,0,0,9,2,27,3,0,0,46,3,12,8,1,1,6,1,0,19,4,0,0,3
LUAD,0,5,13,7,0,0,7,7,16,2,0,0,3,58,27,3,2,0,4,2,1,21,4,1,0,1
LUSC,0,1,3,2,2,0,0,9,3,1,0,0,3,13,108,3,0,0,0,0,3,23,0,2,0,2
OV,0,0,71,0,3,0,7,1,20,3,3,0,5,1,3,103,7,2,5,6,0,9,1,2,0,1
PAAD,0,0,14,1,3,0,13,5,9,1,0,0,0,1,1,17,28,1,1,3,0,19,0,1,1,1
PCPG,0,0,36,2,0,0,3,0,3,2,4,0,0,0,0,1,1,44,19,5,0,0,0,23,4,0
PRAD,0,0,53,0,0,0,3,0,29,5,6,2,0,0,2,11,0,18,98,4,0,1,2,26,4,2
SARC,0,0,68,4,1,0,11,0,20,5,1,1,0,0,0,21,3,8,19,16,3,5,3,7,1,1
SKCM,0,0,14,3,2,0,3,0,9,0,0,1,0,1,0,1,0,1,0,1,230,1,1,7,0,1
STES,1,4,34,3,9,0,11,17,17,1,0,0,5,8,12,10,10,0,0,4,0,220,4,2,0,7
TGCT,0,0,6,1,1,0,5,0,35,4,0,0,2,1,0,3,1,1,1,4,0,3,55,1,0,0
THCA,0,0,26,0,1,0,4,0,1,0,11,0,0,0,0,1,1,18,24,4,2,0,1,225,5,0
THYM,0,0,16,0,0,0,4,0,0,1,12,0,0,0,0,2,0,4,8,1,0,1,0,41,8,0
UCEC,0,2,24,4,7,0,14,2,4,0,0,0,2,0,0,8,2,0,2,2,0,12,0,1,0,112
