,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA,0,48,12,11,0,0,2,14,1,0,0,0,0,3,6,1,0,0,0,0,0,6,0,0,0,0
BRCA,1,6,533,11,2,0,11,11,20,1,17,0,3,6,2,58,5,8,36,19,1,15,1,14,2,3
CESC,0,5,42,61,0,0,9,5,4,1,4,0,0,4,2,0,0,2,3,4,0,4,2,1,0,2
COAD,0,0,9,1,159,0,6,2,2,0,0,0,0,0,1,6,6,0,1,0,0,23,0,1,0,6
DLBC,0,0,2,0,0,20,1,0,7,0,0,0,0,1,0,0,1,0,1,0,0,4,0,1,0,0
GBMLGG,0,0,37,0,2,0,250,2,8,1,5,101,1,0,0,7,5,4,8,8,0,11,0,3,0,8
HNSC,0,10,40,11,2,0,9,68,6,1,1,0,4,8,15,11,6,0,0,2,1,26,0,1,0,1
KIPAN,4,0,68,1,2,0,6,3,273,65,6,0,10,1,1,8,0,5,26,13,0,5,8,4,3,3
KIRC,1,0,40,1,0,0,2,0,175,59,3,0,4,1,0,5,0,3,24,6,0,2,3,1,1,3
LAML,0,0,28,0,0,0,8,0,0,1,88,1,0,0,0,5,0,4,9,0,0,0,1,10,3,0
LGG,0,0,8,0,1,0,106,0,0,0,5,100,0,0,0,4,0,0,0,2,0,1,0,1,1,0
LIHC,0,0,16,0,1,0,5,2,21,2,0,0,64,7,2,11,0,0,7,5,0,10,3,0,0,2
LUAD,0,3,21,4,0,0,10,11,11,0,0,0,5,66,27,5,1,0,3,2,1,11,2,1,0,0
LUSC,0,2,4,1,0,0,1,17,3,0,2,0,6,24,100,1,0,0,0,0,1,16,0,0,0,0
OV,0,0,83,0,0,0,3,3,13,0,2,0,1,3,4,109,7,1,8,5,0,8,1,0,0,2
PAAD,0,0,18,0,3,0,14,7,3,0,1,0,0,0,1,13,41,2,2,2,0,10,2,0,0,1
PCPG,0,0,39,0,0,0,2,0,1,2,9,1,0,0,0,0,0,49,19,8,0,0,0,15,2,0
PRAD,0,0,71,0,1,0,3,1,15,1,9,0,2,1,1,6,0,8,113,9,0,1,1,16,5,2
SARC,0,0,74,1,0,0,15,0,10,0,5,0,2,1,0,18,1,5,19,30,3,4,4,5,0,1
SKCM,1,0,9,1,1,0,5,0,5,0,1,0,2,1,0,1,0,2,4,1,235,0,3,4,0,0
STES,1,4,27,1,18,0,21,26,11,2,2,0,3,9,10,8,8,1,0,0,0,221,2,0,0,4
TGCT,0,0,7,1,0,0,4,0,19,2,0,0,0,0,0,1,0,1,3,1,0,1,83,1,0,0
THCA,0,0,26,1,1,0,1,0,0,0,25,0,0,0,0,1,1,19,35,3,1,0,0,207,3,0
THYM,0,0,19,0,0,0,0,0,1,0,33,0,0,0,0,2,0,9,13,2,2,1,0,11,5,0
UCEC,0,2,24,1,5,0,15,3,2,0,0,0,1,0,0,9,0,0,1,3,0,8,0,0,0,124
