,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BLCA,0,45,13,12,0,0,2,17,1,0,0,0,0,3,5,1,0,0,0,0,0,5,0,0,0,0
BRCA,1,4,539,10,2,0,7,10,22,1,16,1,5,3,1,53,3,12,40,20,1,15,0,12,3,5
CESC,0,7,39,63,1,0,6,1,7,1,3,0,0,3,2,0,0,4,6,5,0,2,1,1,0,3
COAD,0,0,9,0,160,0,7,1,2,0,0,0,1,0,1,3,6,0,1,0,0,24,0,1,0,7
DLBC,0,0,2,0,0,20,1,1,5,0,0,0,0,1,0,1,0,0,1,1,0,5,0,0,0,0
GBMLGG,0,0,31,0,1,0,267,2,10,1,6,91,0,0,0,6,5,2,5,10,0,13,0,5,0,6
HNSC,0,7,40,11,2,0,10,74,6,1,1,0,4,8,15,11,4,0,0,2,1,26,0,0,0,0
KIPAN,4,0,69,2,2,0,8,2,272,68,6,0,8,1,1,9,0,6,27,13,0,4,6,4,1,2
KIRC,1,0,47,0,0,0,3,0,166,65,3,0,2,1,0,6,0,3,24,5,0,2,3,1,0,2
LAML,0,0,23,0,0,0,5,0,0,2,91,2,0,0,0,6,0,7,11,0,0,0,0,8,3,0
LGG,0,0,9,0,1,0,109,0,0,0,6,97,0,0,0,2,0,0,1,2,0,1,0,1,0,0
LIHC,0,0,16,1,1,0,5,2,22,0,0,0,69,4,2,13,0,0,7,4,0,9,2,0,0,1
LUAD,0,1,23,4,1,0,9,8,8,0,0,0,7,73,25,5,1,0,4,3,0,9,2,1,0,0
LUSC,0,4,4,2,0,0,1,14,3,0,2,0,6,19,104,2,0,0,0,0,1,16,0,0,0,0
OV,0,0,80,0,1,0,1,3,14,1,1,0,3,1,5,110,6,1,6,9,0,8,1,0,1,1
PAAD,0,0,18,0,2,0,15,6,2,0,1,0,0,0,1,11,41,1,2,2,0,14,3,0,0,1
PCPG,0,0,35,1,0,0,4,0,2,2,8,0,0,0,0,0,0,41,27,6,0,0,0,16,5,0
PRAD,0,0,65,0,1,0,3,0,13,0,9,1,3,1,2,7,0,9,114,11,0,1,1,19,4,2
SARC,0,0,69,2,0,0,15,0,8,0,4,0,0,1,0,22,1,4,19,34,3,4,5,4,1,2
SKCM,2,0,10,1,1,0,6,0,6,0,1,0,2,1,0,0,0,1,4,1,232,0,2,6,0,0
STES,0,2,33,1,18,0,18,22,14,0,3,0,2,8,13,9,11,1,0,0,0,217,1,0,0,6
TGCT,1,0,8,0,0,0,5,0,17,3,0,0,0,0,0,1,0,1,4,1,0,1,82,0,0,0
THCA,0,0,29,1,1,0,1,0,0,0,27,0,0,0,0,1,1,19,27,5,1,0,0,210,1,0
THYM,0,0,19,1,0,0,1,0,1,0,35,0,0,0,0,1,0,7,13,3,0,1,0,11,5,0
UCEC,0,2,23,0,3,0,18,5,2,0,0,0,1,0,0,11,0,0,1,1,0,7,0,0,0,124
