,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA,0,48,10,13,0,0,3,17,2,0,0,0,0,2,3,1,0,0,0,0,0,5,0,0,0,0
BRCA,1,4,539,12,2,0,8,9,22,2,15,1,4,3,1,56,5,13,37,17,1,15,0,12,3,4
CESC,0,11,36,59,1,0,5,3,5,1,3,0,0,4,2,0,0,3,7,6,0,4,1,1,1,2
COAD,0,0,8,0,162,0,11,2,2,0,0,0,0,0,0,6,6,0,0,1,1,18,0,1,0,5
DLBC,0,0,2,0,0,21,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0
GBMLGG,0,0,33,0,2,0,261,1,8,0,6,97,1,0,0,7,3,3,4,9,0,16,0,4,0,6
HNSC,0,9,42,13,3,0,12,67,6,1,1,1,3,7,17,10,6,0,0,0,1,23,0,1,0,0
KIPAN,4,0,65,1,2,0,10,3,275,69,6,0,7,2,1,7,0,6,32,11,0,4,7,1,0,2
KIRC,1,0,42,0,0,0,3,0,172,61,4,0,2,3,0,5,0,3,27,5,0,1,3,0,0,2
LAML,0,0,30,0,0,0,6,0,0,2,88,1,0,0,0,7,0,5,12,1,0,0,0,3,3,0
LGG,0,0,9,0,1,0,105,0,0,0,5,100,0,0,0,3,0,1,0,2,0,1,0,1,1,0
LIHC,0,0,20,0,1,0,5,0,23,1,0,0,72,4,3,6,0,0,5,4,0,10,2,0,0,2
LUAD,0,3,29,3,1,0,8,4,7,0,0,0,7,73,23,6,1,0,2,3,0,10,2,2,0,0
LUSC,0,4,6,2,0,0,1,17,4,0,2,0,6,18,105,2,0,0,0,0,1,10,0,0,0,0
OV,0,0,89,0,0,0,0,4,12,2,2,0,2,2,4,102,7,1,6,8,0,9,1,0,1,1
PAAD,0,0,19,1,1,0,14,7,3,0,1,0,0,0,1,13,37,0,2,2,0,15,3,0,0,1
PCPG,0,0,51,1,0,0,1,0,2,2,6,1,0,0,0,0,0,46,17,6,0,0,0,12,2,0
PRAD,0,0,83,0,1,0,4,0,14,0,7,1,4,1,1,5,0,6,108,6,0,1,0,17,5,2
SARC,0,0,79,2,1,0,11,0,8,0,4,0,3,0,0,18,1,5,16,32,3,2,6,3,1,3
SKCM,1,0,8,1,1,0,6,0,7,0,1,0,2,1,0,0,0,1,2,2,236,0,3,4,0,0
STES,1,3,33,0,18,0,22,22,12,0,2,0,4,7,10,9,8,0,0,1,0,221,1,0,0,5
TGCT,0,0,6,0,0,0,6,0,17,3,0,0,0,0,0,1,0,1,4,1,0,1,83,1,0,0
THCA,0,0,37,1,1,0,3,0,0,1,24,0,0,0,0,1,0,15,30,3,1,0,0,203,3,1
THYM,0,0,27,0,0,0,2,0,1,0,35,0,0,1,0,0,0,3,10,1,1,1,0,9,7,0
UCEC,0,1,25,1,2,0,14,4,2,0,0,0,1,0,0,8,2,0,1,1,0,7,1,0,0,128
