,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BLCA,0,45,11,13,0,0,2,19,2,0,0,0,1,0,5,1,0,0,0,0,0,5,0,0,0,0
BRCA,1,3,532,13,3,0,9,11,21,1,18,1,5,2,2,53,4,13,46,16,1,16,0,8,2,5
CESC,0,7,39,64,1,0,8,3,4,2,3,0,0,2,2,0,1,3,4,4,0,4,1,0,1,2
COAD,0,0,10,0,157,0,8,2,1,0,0,0,1,0,0,6,4,0,1,0,1,24,0,0,0,8
DLBC,0,0,3,0,0,18,2,0,3,0,0,0,1,1,0,0,0,0,1,1,0,7,0,1,0,0
GBMLGG,0,0,37,0,2,0,264,3,7,0,6,93,2,0,0,7,6,2,4,7,0,12,0,3,0,6
HNSC,0,6,39,15,2,0,10,67,7,0,1,1,4,10,15,10,6,0,3,2,1,24,0,0,0,0
KIPAN,4,0,66,1,2,0,6,2,273,64,6,0,10,1,1,7,0,5,32,13,0,6,9,4,1,2
KIRC,1,0,41,0,0,0,2,0,166,61,4,0,3,1,0,6,0,3,25,9,0,3,5,2,0,2
LAML,0,0,24,0,0,0,7,0,0,2,93,1,0,0,0,4,0,7,6,2,0,0,0,8,4,0
LGG,0,0,9,0,0,0,114,0,0,0,6,92,0,0,0,2,0,0,0,2,0,2,0,1,1,0
LIHC,0,0,22,0,2,0,7,2,18,1,0,0,63,5,4,5,0,0,8,4,0,14,2,0,0,1
LUAD,0,1,22,6,1,0,7,10,8,0,0,0,9,72,23,4,2,0,3,4,0,9,2,1,0,0
LUSC,0,3,3,2,0,0,1,15,3,0,2,0,6,20,106,3,0,0,0,0,1,13,0,0,0,0
OV,0,0,76,1,0,0,3,4,14,1,3,0,2,2,6,108,7,1,8,4,1,10,1,0,0,1
PAAD,0,0,19,0,1,0,15,10,3,0,1,0,1,0,1,13,38,1,2,1,0,11,1,1,0,1
PCPG,0,0,39,1,0,0,1,0,2,4,5,0,0,0,0,0,0,48,23,7,0,0,0,16,1,0
PRAD,0,0,65,0,1,0,5,0,13,0,9,1,2,1,2,7,0,9,110,10,0,1,0,21,6,3
SARC,0,0,70,2,0,0,10,1,12,0,3,0,3,1,0,19,2,3,25,33,3,4,4,1,1,1
SKCM,1,0,9,1,1,0,5,0,5,0,1,0,2,1,0,1,0,3,3,2,234,1,1,5,0,0
STES,0,5,32,0,16,0,15,19,14,0,3,0,4,8,10,9,10,0,0,3,0,226,1,0,0,4
TGCT,0,0,6,1,0,0,2,0,17,1,0,0,0,1,0,1,0,1,3,2,0,0,88,1,0,0
THCA,0,0,36,1,1,0,2,0,0,0,24,0,0,0,0,1,1,15,29,2,1,0,0,208,3,0
THYM,0,0,20,0,0,0,3,0,1,0,35,0,0,0,0,2,0,5,16,2,0,1,1,10,2,0
UCEC,0,2,23,1,2,0,15,3,1,0,0,0,1,0,0,10,0,0,1,3,0,7,0,0,0,129
