,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA,0,44,12,11,0,0,3,19,0,0,0,0,0,1,6,1,0,0,1,0,0,6,0,0,0,0
BRCA,1,3,521,13,2,0,9,11,23,1,18,1,5,5,1,65,5,10,44,16,1,13,0,12,2,4
CESC,0,11,45,53,0,0,8,4,4,1,4,0,0,2,2,0,1,1,3,7,1,3,1,2,0,2
COAD,0,0,4,0,156,0,6,2,3,0,0,0,1,0,1,7,7,0,1,1,1,24,0,1,0,8
DLBC,0,0,3,1,0,19,1,1,4,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0
GBMLGG,0,0,31,1,0,0,261,2,8,0,8,93,1,0,0,8,3,3,6,11,0,13,0,4,0,8
HNSC,0,10,39,12,4,0,12,69,7,0,1,0,2,9,14,12,5,0,0,3,1,21,0,0,1,1
KIPAN,4,0,59,1,2,0,7,2,277,69,6,0,6,2,1,8,0,3,37,15,0,1,7,3,3,2
KIRC,1,0,40,0,0,0,3,0,165,63,3,0,3,1,0,4,0,2,31,9,0,1,4,1,1,2
LAML,0,0,22,0,0,0,5,0,0,2,87,1,0,0,0,7,0,11,9,0,0,0,0,10,4,0
LGG,0,0,7,1,0,0,111,0,0,0,6,95,0,0,0,3,0,0,1,3,0,1,0,1,0,0
LIHC,0,0,17,0,1,0,8,2,20,0,0,0,66,5,5,9,0,0,5,5,0,12,2,0,0,1
LUAD,0,4,19,8,1,0,9,8,6,0,0,0,9,67,26,6,2,0,4,3,1,8,2,1,0,0
LUSC,0,3,8,3,0,0,0,14,2,0,2,0,8,21,102,5,0,0,0,0,1,9,0,0,0,0
OV,0,0,74,1,0,0,3,4,12,2,1,0,3,1,4,116,3,0,8,8,0,9,1,1,0,2
PAAD,0,0,14,1,3,0,13,6,3,0,1,0,1,0,2,15,42,1,1,2,0,11,2,1,0,1
PCPG,0,0,40,1,0,0,2,0,1,2,7,1,0,0,0,1,0,47,21,7,0,0,0,15,2,0
PRAD,0,0,69,0,1,0,2,0,12,0,9,1,2,0,2,6,0,5,121,10,1,1,0,20,1,3
SARC,0,0,78,0,0,0,8,1,11,0,5,0,0,0,0,22,0,3,20,32,3,4,4,4,0,3
SKCM,0,0,9,1,1,0,5,0,9,0,1,0,1,0,1,1,0,1,4,1,234,0,2,5,0,0
STES,2,4,33,2,16,0,18,29,9,0,2,0,3,4,11,8,8,0,0,5,0,219,1,1,0,4
TGCT,1,0,8,0,0,0,7,0,14,2,0,0,0,1,0,1,0,1,3,3,0,0,83,0,0,0
THCA,0,0,29,1,1,0,3,0,0,0,26,0,0,0,0,1,0,16,30,3,1,0,0,211,2,0
THYM,0,0,12,0,0,0,2,2,1,0,34,0,0,0,0,1,0,8,21,2,1,1,0,12,1,0
UCEC,0,2,23,1,3,0,16,4,1,0,0,0,0,0,0,8,1,0,1,2,0,9,0,0,0,127
