,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA,0,31,13,12,0,0,3,31,1,0,0,0,1,2,4,1,0,0,0,0,0,5,0,0,0,0
BRCA,1,2,539,14,2,0,11,12,17,2,9,1,4,3,1,50,2,8,54,16,1,16,0,12,3,6
CESC,0,6,51,52,1,0,4,7,4,1,1,0,0,0,3,1,2,5,5,4,0,4,1,0,0,3
COAD,0,0,10,0,159,0,3,0,2,0,0,0,0,0,1,6,7,0,1,1,1,26,0,1,0,5
DLBC,0,0,2,1,0,20,1,0,5,0,0,0,0,1,0,0,0,1,0,0,0,6,0,1,0,0
GBMLGG,0,0,35,0,3,0,274,3,4,0,5,82,1,1,0,6,3,3,7,11,0,12,0,5,0,6
HNSC,0,5,38,11,2,0,13,72,4,0,1,1,2,8,17,13,6,0,1,3,1,24,0,1,0,0
KIPAN,4,1,77,1,2,0,9,1,249,75,2,0,8,2,1,9,0,8,30,17,0,6,7,3,1,2
KIRC,0,1,53,0,0,0,4,0,146,69,1,0,4,2,0,5,0,5,23,13,0,1,3,1,1,2
LAML,0,0,36,0,0,0,8,0,0,0,73,4,0,0,0,3,0,4,9,4,0,0,1,9,7,0
LGG,0,0,11,0,1,0,122,0,0,0,3,81,0,0,0,4,0,0,2,3,0,1,0,1,0,0
LIHC,0,0,24,0,1,0,7,4,16,1,0,0,64,3,5,7,0,0,8,4,0,10,3,0,0,1
LUAD,0,1,24,5,0,0,10,10,7,0,0,0,7,64,33,7,1,0,3,2,0,6,2,2,0,0
LUSC,0,2,7,2,0,0,2,15,0,0,0,0,2,24,104,4,0,0,0,0,1,15,0,0,0,0
OV,0,0,82,0,1,0,4,2,12,2,3,1,2,1,6,102,5,0,8,11,0,7,1,1,0,2
PAAD,0,0,16,0,3,0,15,8,1,0,0,0,0,1,0,18,35,0,1,4,0,13,3,1,0,1
PCPG,0,0,38,1,0,0,3,0,1,0,3,0,0,0,0,0,0,51,26,8,0,0,0,14,2,0
PRAD,0,0,67,0,2,0,4,0,9,0,7,1,1,0,2,6,0,6,126,15,0,2,1,14,1,2
SARC,0,0,77,1,0,0,10,0,5,0,2,0,1,0,0,15,3,6,20,38,3,3,4,7,0,3
SKCM,1,0,6,0,1,0,5,1,4,0,1,0,1,1,0,2,0,4,3,3,236,1,1,5,0,0
STES,0,0,35,1,19,0,15,25,8,0,0,0,4,5,15,9,11,0,0,4,0,223,1,0,0,4
TGCT,0,0,7,0,0,0,5,0,17,2,0,0,0,0,0,1,0,1,2,3,0,1,85,0,0,0
THCA,0,0,48,1,1,0,0,0,0,0,6,0,0,0,0,1,1,15,34,4,1,0,0,211,0,1
THYM,0,0,50,2,0,0,1,1,0,0,5,0,0,1,0,1,0,6,19,0,0,1,0,10,1,0
UCEC,0,2,24,1,4,0,12,4,1,0,0,0,0,0,0,11,1,0,1,1,0,10,0,0,0,126
