,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,39,9,5,1,0,2,10,5,0,0,0,0,2,7,0,1,0,1,1,0,21,0,0,0,0
BRCA,1,1,506,6,3,0,16,9,15,2,8,0,7,4,3,52,6,7,62,19,0,26,2,16,3,12
CESC,0,6,49,30,0,0,13,8,11,1,1,0,1,0,5,2,0,1,2,4,1,12,1,2,1,4
COAD,0,0,15,0,162,0,2,0,1,0,0,0,1,1,0,9,3,0,0,1,1,22,0,0,0,5
DLBC,0,0,5,1,0,18,0,3,5,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0
GBMLGG,0,0,35,0,1,0,249,3,8,0,3,87,3,2,1,12,3,2,9,11,0,11,6,7,0,8
HNSC,0,4,39,11,2,0,7,62,6,0,1,0,0,10,13,11,4,0,2,8,2,39,1,0,0,1
KIPAN,3,1,100,3,1,0,13,5,232,68,2,0,5,3,2,8,0,9,18,18,0,5,12,3,1,3
KIRC,0,0,66,1,0,0,8,0,146,59,2,0,3,1,0,4,0,5,14,13,0,3,6,0,1,2
LAML,0,0,28,0,0,0,7,0,0,1,81,2,0,0,0,5,1,3,10,1,0,0,0,13,6,0
LGG,0,0,14,0,0,0,113,0,1,0,2,88,0,0,0,2,0,0,3,3,0,1,0,1,0,1
LIHC,0,0,37,1,2,0,11,2,14,0,0,0,32,9,7,10,1,0,3,5,0,22,1,0,0,1
LUAD,0,0,17,5,1,0,11,10,4,0,0,0,6,56,22,6,2,0,2,5,1,34,0,2,0,0
LUSC,0,0,6,1,1,0,2,20,3,0,0,0,1,18,84,4,1,0,0,0,2,35,0,0,0,0
OV,0,0,85,0,1,0,7,6,10,1,1,0,2,5,0,98,7,0,6,13,0,10,0,0,0,1
PAAD,0,0,19,1,1,0,7,11,3,0,0,0,1,1,1,28,25,0,3,3,0,11,2,2,0,1
PCPG,0,0,41,1,0,0,5,0,2,2,5,0,0,0,0,0,1,41,23,5,0,0,0,16,5,0
PRAD,0,0,71,0,2,0,6,1,4,2,6,0,2,3,1,6,0,9,99,21,0,1,0,27,3,2
SARC,0,0,85,0,0,0,15,1,7,0,0,0,2,1,0,10,2,3,24,32,3,2,1,7,2,1
SKCM,1,0,8,0,1,0,5,1,6,0,1,0,2,1,1,1,1,1,4,2,230,2,2,5,0,1
STES,0,2,46,3,15,0,9,29,7,1,0,0,2,12,15,15,7,1,3,3,0,204,0,0,0,5
TGCT,0,0,20,0,0,0,5,0,22,3,0,0,2,1,0,1,1,0,2,4,1,1,61,0,0,0
THCA,0,0,41,0,1,0,1,0,1,1,3,0,0,0,0,1,0,9,38,2,3,0,0,218,3,2
THYM,0,0,53,0,0,0,2,1,0,0,3,0,0,1,0,1,0,3,15,0,0,1,0,14,4,0
UCEC,0,0,25,0,6,0,10,2,1,1,0,0,0,0,1,7,0,0,1,2,0,14,0,0,0,128
