,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA,0,48,11,12,0,0,2,17,2,0,0,0,0,2,5,1,0,1,0,0,0,3,0,0,0,0
BRCA,1,3,524,15,2,0,8,10,23,2,14,1,5,5,2,61,6,11,38,17,1,14,0,13,4,6
CESC,0,7,39,66,1,0,5,1,4,2,3,0,0,2,2,0,1,3,6,4,0,3,1,1,1,3
COAD,0,0,7,0,162,0,7,1,2,0,0,0,1,0,1,4,6,0,0,3,1,21,0,1,0,6
DLBC,0,0,3,0,0,21,2,0,5,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0
GBMLGG,0,0,32,0,0,0,253,2,8,1,7,100,2,0,0,6,6,2,6,10,0,13,0,4,0,9
HNSC,0,14,38,12,4,0,11,64,7,0,1,0,5,11,10,13,7,0,0,0,1,23,0,1,0,1
KIPAN,4,0,67,1,2,0,6,1,259,80,6,0,11,1,1,8,1,5,28,15,0,5,8,4,0,2
KIRC,1,0,43,0,0,0,2,0,160,70,3,0,5,2,0,6,0,2,24,8,0,1,4,1,0,2
LAML,0,0,27,0,0,0,7,0,0,2,89,1,0,0,0,4,0,6,11,1,0,0,0,5,5,0
LGG,0,0,7,0,0,0,101,0,0,0,5,107,0,0,0,3,0,0,0,3,0,0,0,1,1,1
LIHC,0,0,19,0,0,0,5,4,19,1,0,0,69,4,3,9,0,0,5,6,0,10,3,0,0,1
LUAD,0,1,23,5,1,0,7,7,9,0,0,0,8,67,27,7,1,0,3,3,1,11,2,1,0,0
LUSC,0,3,4,2,0,0,1,16,3,0,2,0,6,18,106,3,0,0,0,0,1,13,0,0,0,0
OV,0,0,81,0,0,0,3,4,10,1,3,0,2,1,5,103,6,1,10,9,0,10,1,1,0,2
PAAD,0,0,21,0,1,0,14,10,3,0,1,0,0,0,1,10,40,0,1,3,0,12,2,0,0,1
PCPG,0,0,41,1,0,0,0,0,1,3,8,1,0,0,0,0,0,43,25,8,0,0,0,11,5,0
PRAD,0,0,74,0,1,0,2,0,12,0,7,1,4,0,2,4,0,7,117,10,0,1,2,16,4,2
SARC,0,0,74,2,0,0,11,0,6,0,7,0,3,1,0,19,1,4,19,33,3,3,7,2,1,2
SKCM,2,0,9,1,1,0,6,0,5,0,1,0,2,1,0,0,0,1,4,2,234,0,2,5,0,0
STES,2,5,31,1,18,0,17,24,11,0,3,0,6,8,11,7,9,0,0,2,0,215,2,0,0,7
TGCT,1,0,6,0,0,0,5,0,18,2,0,0,1,1,0,1,0,1,3,3,0,0,81,1,0,0
THCA,0,0,38,1,1,0,1,0,0,0,25,0,0,0,0,1,1,20,25,3,1,0,1,203,2,1
THYM,0,0,25,0,0,0,2,0,1,0,32,0,0,0,0,1,0,6,14,4,0,1,0,9,3,0
UCEC,0,1,28,1,4,0,11,3,1,0,0,0,2,0,0,6,0,0,1,3,0,6,0,0,0,131
