,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,41,13,7,0,0,2,15,1,0,0,0,0,5,6,1,0,0,1,0,0,11,1,0,0,0
BRCA,1,3,504,9,2,0,8,12,22,2,11,1,3,5,5,60,4,10,52,20,0,18,0,23,4,7
CESC,0,8,45,45,1,0,8,2,6,1,5,0,1,2,3,0,1,2,5,5,0,8,1,2,0,4
COAD,0,0,13,1,160,0,4,1,1,0,0,0,0,2,0,5,6,0,0,1,1,23,0,0,0,5
DLBC,0,0,3,0,0,18,1,0,5,0,0,0,2,1,0,0,0,1,0,1,0,4,1,1,0,0
GBMLGG,0,0,38,1,1,0,235,3,8,0,6,104,2,0,1,5,2,2,7,17,0,16,2,4,0,7
HNSC,0,8,35,12,2,0,7,71,8,0,0,0,1,9,12,11,5,0,2,3,2,34,0,0,1,0
KIPAN,4,0,63,1,2,0,11,3,257,82,6,0,2,1,1,6,1,7,30,15,0,6,10,2,3,2
KIRC,0,0,43,0,0,0,3,0,162,69,4,0,2,1,0,4,0,6,22,7,0,2,4,1,1,3
LAML,0,0,24,0,0,0,4,0,0,1,93,2,0,0,0,6,0,6,8,1,0,0,0,7,6,0
LGG,0,0,9,0,0,0,100,0,0,0,6,103,0,0,0,3,0,0,2,4,0,1,0,1,0,0
LIHC,0,0,20,3,2,0,7,3,18,1,0,0,51,4,7,10,0,0,7,6,0,16,2,0,0,1
LUAD,0,2,26,5,0,0,6,8,10,0,0,0,5,63,21,3,2,0,4,4,2,20,0,2,0,1
LUSC,0,3,6,1,0,0,1,16,3,0,2,0,6,17,100,1,0,0,0,0,1,20,0,0,0,1
OV,0,0,84,0,1,0,0,5,12,1,1,0,3,2,3,110,5,1,6,6,0,8,1,1,1,2
PAAD,0,0,21,2,3,0,10,6,3,0,1,0,1,1,0,17,37,0,1,2,0,13,1,0,0,1
PCPG,0,0,35,0,0,0,3,0,3,3,8,0,0,0,0,0,0,40,26,6,0,0,0,18,5,0
PRAD,0,0,67,0,2,0,4,0,7,1,8,1,3,1,2,5,0,4,116,15,0,1,2,23,2,2
SARC,0,0,61,1,0,0,7,0,10,0,5,1,0,0,0,25,2,5,26,37,3,4,3,5,1,2
SKCM,1,0,12,3,1,0,3,0,6,0,1,0,2,2,0,0,0,1,1,3,234,0,1,5,0,0
STES,0,2,36,2,13,1,11,24,11,0,2,0,0,8,13,12,7,1,0,4,2,222,2,1,0,5
TGCT,1,0,9,1,0,0,6,0,24,1,0,0,3,1,0,1,2,1,1,2,0,1,68,2,0,0
THCA,0,0,28,0,1,0,5,0,0,0,23,0,0,0,0,1,0,12,39,1,1,0,0,209,4,0
THYM,0,0,15,0,0,0,1,0,1,0,36,0,0,0,0,1,0,7,16,0,1,1,0,9,10,0
UCEC,0,2,26,1,5,0,17,3,1,0,0,0,0,0,0,10,2,0,1,1,0,5,0,0,0,124
