,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA,0,43,12,11,0,0,2,24,0,0,0,0,1,2,4,1,0,0,0,0,0,4,0,0,0,0
BRCA,1,2,533,13,3,0,12,12,18,1,16,1,6,4,1,61,4,11,41,14,1,11,0,12,4,4
CESC,0,8,41,58,1,0,8,3,6,1,3,0,0,1,2,0,0,4,6,5,1,2,1,0,1,3
COAD,0,0,5,0,160,0,6,3,2,0,0,0,0,0,1,8,6,0,1,1,1,22,0,1,0,6
DLBC,0,0,3,1,0,22,1,0,4,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0
GBMLGG,0,0,29,0,2,0,258,2,10,0,7,93,1,1,0,6,6,2,8,9,0,16,0,4,0,7
HNSC,0,9,40,13,4,0,11,66,7,1,1,1,2,11,15,8,6,0,1,2,1,24,0,0,0,0
KIPAN,5,0,66,1,2,0,8,2,262,77,5,0,9,1,1,6,0,9,31,11,0,4,9,2,1,3
KIRC,0,0,43,0,0,0,3,0,157,71,3,0,3,1,1,5,0,5,25,5,0,2,6,1,0,3
LAML,0,0,27,0,0,0,6,0,0,1,92,1,0,0,0,6,0,4,7,1,0,0,1,5,7,0
LGG,0,0,7,0,1,0,112,0,0,0,6,92,0,1,0,2,0,1,0,4,0,1,0,1,1,0
LIHC,0,0,19,0,0,0,7,2,21,2,0,0,69,2,5,8,0,0,4,4,0,11,2,0,0,2
LUAD,0,4,22,5,1,0,8,7,7,0,0,0,8,70,26,6,2,0,3,4,0,8,2,1,0,0
LUSC,0,2,4,1,0,0,1,18,3,0,2,0,9,22,101,4,0,0,0,0,1,10,0,0,0,0
OV,0,0,77,0,0,0,1,3,12,2,2,1,5,1,5,105,7,1,8,9,0,10,1,2,0,1
PAAD,0,0,17,2,1,0,15,5,2,0,1,0,0,0,1,12,42,0,1,2,0,15,2,0,0,2
PCPG,0,0,37,1,0,0,2,0,3,3,7,1,0,0,0,1,0,44,20,7,0,0,0,18,3,0
PRAD,0,0,75,0,1,0,5,0,16,0,8,1,1,1,2,4,0,5,116,7,0,1,1,17,3,2
SARC,0,0,72,3,0,0,7,0,11,0,4,0,1,1,0,22,1,5,22,31,4,4,6,2,0,2
SKCM,1,0,8,1,1,0,5,0,7,0,1,0,2,0,1,0,1,2,4,0,235,0,3,4,0,0
STES,1,4,34,2,17,0,18,26,11,1,2,0,5,10,8,11,11,0,0,3,0,209,1,0,0,5
TGCT,0,0,5,0,0,0,4,0,19,2,0,0,1,0,0,1,0,1,4,2,0,1,83,1,0,0
THCA,0,0,36,1,1,0,1,0,0,1,24,0,0,0,0,1,1,17,29,1,1,0,0,208,2,0
THYM,0,0,20,0,0,0,2,0,1,0,35,0,0,0,0,1,0,2,15,4,1,1,0,10,6,0
UCEC,0,2,22,1,3,0,13,4,2,0,0,0,1,0,0,9,1,0,1,2,0,8,0,0,0,129
