,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BLCA,0,47,9,16,0,0,2,16,2,0,0,0,1,1,4,1,0,0,1,0,0,4,0,0,0,0
BRCA,1,3,541,16,3,0,7,9,19,2,13,1,5,2,2,56,4,9,40,16,1,13,0,12,5,6
CESC,0,7,40,63,1,0,10,3,4,1,3,0,0,1,2,0,0,3,5,4,0,3,1,1,1,2
COAD,0,0,9,0,159,0,7,2,2,0,0,0,0,0,1,5,5,0,0,1,1,22,0,1,0,8
DLBC,0,0,2,1,0,22,1,0,4,0,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0
GBMLGG,0,0,37,0,1,0,264,2,8,0,8,91,1,1,0,8,5,3,4,6,0,14,0,3,0,5
HNSC,0,10,38,11,3,0,10,69,8,1,1,0,4,11,13,11,5,0,2,2,1,23,0,0,0,0
KIPAN,3,0,65,1,2,0,8,2,270,76,5,0,9,0,1,10,0,4,30,11,0,4,8,3,2,1
KIRC,0,0,46,0,0,0,3,0,162,74,3,0,2,0,0,7,0,2,24,5,0,1,3,1,0,1
LAML,0,0,28,0,0,0,6,0,0,1,88,3,0,0,0,4,0,4,10,0,0,0,1,8,5,0
LGG,0,0,10,0,1,0,112,0,0,0,7,90,0,0,0,2,0,1,1,3,0,1,0,1,0,0
LIHC,0,0,18,1,0,0,6,3,21,1,0,0,69,4,4,9,0,0,5,4,0,9,3,0,0,1
LUAD,0,5,19,4,1,0,10,9,10,0,0,0,7,71,24,5,0,0,4,3,0,9,2,1,0,0
LUSC,0,2,6,1,0,0,1,16,3,0,2,0,7,21,98,4,0,0,0,0,1,16,0,0,0,0
OV,0,0,82,0,0,0,2,1,11,1,3,0,3,2,5,109,6,1,8,7,0,9,1,1,0,1
PAAD,0,0,21,0,2,0,15,4,2,0,1,0,0,0,1,12,43,0,1,1,0,13,3,0,0,1
PCPG,0,0,41,1,0,0,2,0,2,2,7,1,0,0,0,0,0,44,19,7,1,0,0,17,3,0
PRAD,0,0,70,0,1,0,4,0,12,0,10,1,3,2,1,4,1,5,117,8,0,1,1,20,3,2
SARC,0,0,78,2,0,0,13,0,9,0,4,0,1,1,0,17,1,3,23,31,3,3,4,3,0,2
SKCM,1,0,9,1,2,0,4,1,7,1,1,0,1,0,0,1,0,1,2,1,235,0,2,6,0,0
STES,1,2,33,2,18,0,17,21,12,1,2,0,4,8,11,10,10,0,0,2,0,219,2,0,0,4
TGCT,1,0,7,0,0,0,7,0,16,1,0,0,0,1,0,1,0,1,4,1,0,0,83,1,0,0
THCA,0,0,28,1,1,0,3,0,0,1,25,0,0,0,0,1,1,13,36,1,1,0,0,209,3,0
THYM,0,0,21,0,0,0,2,0,1,0,35,0,0,0,0,1,0,5,13,3,0,1,0,10,6,0
UCEC,0,2,22,1,2,0,18,4,2,0,0,0,2,0,0,10,1,0,1,2,0,6,0,0,0,125
