,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BLCA,0,46,10,14,0,0,3,15,1,0,0,0,1,2,4,1,0,0,1,0,0,5,1,0,0,0
BRCA,1,3,552,11,4,0,8,7,21,2,11,1,3,2,2,52,3,10,41,14,1,15,0,12,4,6
CESC,0,7,39,63,1,0,7,2,4,1,3,0,0,3,2,0,0,3,6,6,0,3,1,1,1,2
COAD,0,0,6,0,162,0,7,1,2,0,0,0,0,0,1,7,6,0,1,1,1,19,0,1,0,8
DLBC,0,0,2,1,0,22,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0
GBMLGG,0,0,35,0,2,0,263,2,7,0,7,93,1,0,0,7,5,2,6,8,1,13,0,3,0,6
HNSC,0,10,38,11,3,0,12,70,7,0,1,1,4,10,15,11,5,0,2,2,1,20,0,0,0,0
KIPAN,3,0,63,1,2,0,7,2,283,63,6,0,11,1,1,9,0,5,30,12,0,2,7,4,2,1
KIRC,1,0,44,0,0,0,3,0,171,62,3,0,4,3,0,7,0,2,23,5,0,1,3,1,0,1
LAML,0,0,29,0,0,0,6,0,0,2,88,3,0,0,0,5,0,4,10,0,0,0,0,7,4,0
LGG,0,0,8,0,1,0,111,0,0,0,6,93,0,0,0,3,0,0,2,2,1,1,0,1,0,0
LIHC,0,0,16,1,1,0,6,4,21,1,0,0,68,4,4,8,0,0,6,5,0,9,3,0,0,1
LUAD,0,4,26,4,0,0,8,7,8,0,0,0,7,71,23,5,1,0,5,2,1,9,2,1,0,0
LUSC,0,1,6,2,0,0,1,17,4,0,2,0,7,19,102,3,0,0,0,0,1,13,0,0,0,0
OV,0,0,93,0,0,0,1,2,12,2,2,0,3,2,5,99,5,1,7,7,0,9,1,1,0,1
PAAD,0,0,18,1,2,0,14,4,2,0,1,0,0,0,1,14,43,0,2,2,0,12,3,0,0,1
PCPG,0,0,48,1,0,0,1,0,2,2,6,1,0,0,0,0,0,41,20,5,1,0,0,16,3,0
PRAD,0,0,78,0,1,0,4,0,12,0,8,1,3,2,1,6,1,4,112,7,0,1,1,19,3,2
SARC,0,0,77,2,0,0,10,0,8,1,4,0,2,0,0,19,1,4,18,36,3,3,5,3,0,2
SKCM,1,0,8,1,2,0,4,1,8,0,1,0,1,0,0,1,0,1,3,1,235,0,3,5,0,0
STES,1,3,31,2,18,0,18,17,9,1,2,0,6,6,11,10,14,0,0,1,0,223,2,0,0,4
TGCT,1,0,7,0,0,0,6,0,16,2,0,0,0,0,0,0,0,1,4,1,0,1,84,1,0,0
THCA,0,0,35,1,1,0,3,0,0,1,25,0,0,0,0,1,1,12,34,1,1,0,0,204,4,0
THYM,0,0,22,0,0,0,1,0,1,0,36,0,0,0,0,1,0,5,13,4,1,1,0,8,5,0
UCEC,0,2,22,1,3,1,18,3,2,0,0,0,1,0,0,10,0,0,1,2,0,5,0,0,0,127
