,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,68,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA,0,46,11,12,0,0,2,21,1,0,0,0,0,1,3,1,0,0,0,0,0,6,0,0,0,0
BRCA,1,4,515,17,2,0,11,10,20,1,14,1,5,5,1,69,3,17,46,9,1,15,1,11,3,4
CESC,0,8,46,57,0,0,6,6,7,1,4,0,0,2,1,0,1,2,3,4,0,3,1,1,0,2
COAD,0,0,7,0,159,0,7,4,2,0,0,0,1,0,1,5,6,0,1,1,1,21,0,1,0,6
DLBC,0,0,3,1,0,19,1,2,5,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1,0,0
GBMLGG,0,0,30,1,0,0,256,2,11,0,6,97,1,0,0,8,5,3,4,10,0,15,0,5,0,7
HNSC,0,10,43,11,3,0,9,65,8,0,1,0,4,14,10,10,8,0,0,2,1,23,0,1,0,0
KIPAN,4,0,70,1,2,0,8,3,259,80,6,0,9,1,1,7,0,7,33,6,0,3,8,3,2,2
KIRC,0,0,50,0,0,0,3,0,150,77,3,0,3,1,0,4,0,5,27,4,0,1,3,0,1,2
LAML,0,0,25,0,0,0,5,0,0,2,91,1,0,0,0,7,0,7,5,1,0,0,0,11,3,0
LGG,0,0,7,0,0,0,107,0,0,0,5,99,0,0,0,3,0,1,1,4,0,1,0,1,0,0
LIHC,0,0,21,0,1,0,6,1,21,0,0,0,69,5,2,8,0,0,5,6,0,10,2,0,0,1
LUAD,0,5,23,3,0,0,7,8,7,0,0,0,8,68,27,9,1,0,4,2,0,9,2,1,0,0
LUSC,0,3,5,2,0,0,0,15,3,0,2,0,8,23,99,2,0,0,0,0,1,15,0,0,0,0
OV,0,0,69,0,0,0,4,3,13,1,2,0,5,3,5,115,5,1,5,8,0,9,1,1,1,2
PAAD,0,0,17,2,1,0,15,5,2,0,1,0,0,0,1,13,43,0,1,2,0,13,2,1,0,1
PCPG,0,0,40,0,0,0,2,0,3,3,4,1,0,0,0,1,0,49,25,4,0,0,0,12,3,0
PRAD,0,0,73,0,1,0,1,0,15,0,9,1,2,0,2,5,0,5,119,7,0,1,1,17,6,1
SARC,0,0,79,2,0,0,10,0,12,0,4,0,1,0,0,22,0,5,17,31,3,2,3,4,0,3
SKCM,0,0,5,1,1,0,5,0,8,1,1,0,1,2,0,2,0,3,6,0,233,0,2,5,0,0
STES,0,4,30,3,17,0,20,23,11,0,2,0,4,7,11,10,12,0,0,1,0,216,2,0,0,6
TGCT,0,0,7,0,0,0,6,0,15,2,0,0,0,0,0,1,0,1,3,2,0,1,85,1,0,0
THCA,0,0,29,1,1,0,3,0,0,0,27,0,0,0,0,1,1,17,30,3,1,0,0,207,2,1
THYM,0,0,24,0,0,0,2,0,2,0,36,0,0,0,0,1,0,7,12,2,1,1,0,8,2,0
UCEC,0,3,21,0,6,0,17,4,2,0,0,0,1,0,0,8,1,1,1,2,0,8,0,0,0,123
