,ACC,BLCA,BRCA,CESC,COAD,DLBC,GBMLGG,HNSC,KIPAN,KIRC,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES,TGCT,THCA,THYM,UCEC
ACC,67,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
BLCA,0,34,17,10,0,0,1,16,2,0,0,0,0,3,6,1,0,0,1,0,1,12,0,0,0,0
BRCA,1,2,519,12,1,0,12,12,16,1,11,1,3,4,2,55,6,5,59,23,0,18,0,14,2,7
CESC,0,7,55,39,0,0,7,6,5,1,1,0,0,0,4,0,1,2,6,4,1,8,0,2,1,5
COAD,0,0,12,0,162,0,1,0,1,0,0,0,2,1,0,6,6,0,0,1,1,25,0,1,0,4
DLBC,0,0,5,0,0,16,0,3,3,0,0,0,1,1,0,0,0,0,1,1,0,6,0,1,0,0
GBMLGG,0,0,35,1,2,0,256,2,8,0,3,89,3,1,1,9,2,2,9,13,0,10,1,6,0,8
HNSC,0,8,42,9,2,0,5,72,8,0,0,0,0,8,14,10,4,0,3,3,2,32,0,0,0,1
KIPAN,3,0,87,2,2,0,10,5,239,72,3,0,7,1,2,8,1,7,28,21,0,4,6,4,1,2
KIRC,0,0,60,1,0,0,4,0,144,69,2,0,3,1,0,4,0,4,22,13,0,0,3,1,1,2
LAML,0,0,34,0,0,0,7,0,0,1,74,3,0,0,0,4,0,4,9,1,0,0,0,16,5,0
LGG,0,0,12,0,0,0,114,0,0,0,3,90,0,0,0,3,0,0,3,2,0,1,0,1,0,0
LIHC,0,0,26,2,1,0,7,4,15,0,0,0,44,2,7,12,0,0,3,8,0,24,1,0,0,2
LUAD,0,2,25,3,1,0,8,7,5,0,0,0,5,60,22,7,1,0,3,4,1,28,0,2,0,0
LUSC,0,2,8,0,0,0,0,19,3,0,0,0,3,22,98,5,0,0,0,0,2,16,0,0,0,0
OV,0,0,91,0,1,0,1,0,13,0,1,0,4,2,1,100,5,0,8,12,0,11,0,1,1,1
PAAD,0,1,15,1,3,0,14,2,2,0,0,0,0,2,0,20,38,0,1,6,0,12,0,2,0,1
PCPG,0,0,38,1,0,0,2,0,1,0,4,0,0,0,0,0,0,45,27,7,1,0,0,16,5,0
PRAD,0,0,77,0,2,0,5,0,6,2,6,1,3,1,2,5,0,8,107,14,0,1,1,22,1,2
SARC,0,0,72,1,0,0,10,0,4,0,0,1,1,0,0,22,1,3,28,36,3,4,1,8,0,3
SKCM,1,0,7,1,1,0,3,1,6,0,1,0,1,1,0,1,0,1,5,1,234,4,2,5,0,0
STES,1,1,44,2,16,0,8,22,9,1,0,0,1,2,12,7,7,0,1,6,0,233,1,0,0,5
TGCT,0,0,12,0,0,0,5,0,24,2,0,0,2,1,0,1,1,0,3,2,0,2,66,3,0,0
THCA,0,0,43,1,1,0,0,0,0,0,5,0,0,0,0,1,0,9,42,5,1,0,0,211,3,2
THYM,0,0,54,0,0,0,1,1,0,0,5,0,0,0,0,1,0,1,17,1,0,1,0,12,4,0
UCEC,0,2,27,0,8,0,13,2,1,0,0,0,0,1,0,9,0,0,1,2,0,9,0,0,0,123
