,full,driver,burden,stack,best_expert
ACC,0.919,0.832,0.91,0.912,full
BLCA,0.478,0.412,0.278,0.488,full
BRCA,0.473,0.457,0.423,0.53,full
CESC,0.228,0.095,0.308,0.279,burden
COAD,0.76,0.715,0.728,0.727,full
DLBC,0.594,0.4,0.189,0.521,full
GBMLGG,0.496,0.443,0.446,0.48,full
HNSC,0.319,0.292,0.256,0.333,full
KIPAN,0.434,0.341,0.339,0.42,full
KIRC,0.284,0.298,0.326,0.33,burden
LAML,0.579,0.498,0.338,0.415,full
LGG,0.425,0.486,0.438,0.461,driver
LIHC,0.351,0.313,0.112,0.31,full
LUAD,0.388,0.217,0.386,0.373,full
LUSC,0.479,0.282,0.473,0.479,full
OV,0.341,0.361,0.332,0.336,driver
PAAD,0.276,0.096,0.144,0.263,full
PCPG,0.305,0.2,0.253,0.265,full
PRAD,0.336,0.252,0.233,0.301,full
SARC,0.168,0.187,0.136,0.189,driver
SKCM,0.866,0.708,0.81,0.825,full
STES,0.469,0.346,0.406,0.47,full
TGCT,0.59,0.338,0.285,0.543,full
THCA,0.64,0.646,0.627,0.63,driver
THYM,0.34,0.109,0.04,0.086,full
UCEC,0.66,0.556,0.579,0.618,full
