,full,blend,diff
ACC,0.905,0.95,0.045
BLCA,0.448,0.529,0.081
BRCA,0.484,0.477,-0.007
CESC,0.288,0.301,0.013
COAD,0.758,0.749,-0.009
DLBC,0.59,0.632,0.042
GBMLGG,0.505,0.508,0.003
HNSC,0.3,0.329,0.029
KIPAN,0.443,0.448,0.005
KIRC,0.281,0.303,0.022
LAML,0.562,0.562,0.0
LGG,0.435,0.459,0.024
LIHC,0.32,0.366,0.046
LUAD,0.34,0.378,0.038
LUSC,0.491,0.513,0.022
OV,0.345,0.384,0.039
PAAD,0.256,0.256,0.0
PCPG,0.311,0.352,0.041
PRAD,0.328,0.314,-0.014
SARC,0.211,0.185,-0.026
SKCM,0.874,0.875,0.001
STES,0.479,0.496,0.017
TGCT,0.574,0.587,0.013
THCA,0.65,0.675,0.025
THYM,0.326,0.339,0.013
UCEC,0.67,0.705,0.035
