,full,driver,burden,cat,ensemble
ACC,0.919,0.832,0.91,0.95,0.957
BLCA,0.478,0.412,0.278,0.388,0.522
BRCA,0.473,0.457,0.423,0.512,0.485
CESC,0.228,0.095,0.308,0.291,0.318
COAD,0.76,0.715,0.728,0.739,0.752
DLBC,0.594,0.4,0.189,0.528,0.632
GBMLGG,0.496,0.443,0.446,0.475,0.516
HNSC,0.319,0.292,0.256,0.339,0.358
KIPAN,0.434,0.341,0.339,0.472,0.461
KIRC,0.284,0.298,0.326,0.259,0.263
LAML,0.579,0.498,0.338,0.493,0.586
LGG,0.425,0.486,0.438,0.435,0.451
LIHC,0.351,0.313,0.112,0.346,0.378
LUAD,0.388,0.217,0.386,0.373,0.392
LUSC,0.479,0.282,0.473,0.507,0.492
OV,0.341,0.361,0.332,0.382,0.389
PAAD,0.276,0.096,0.144,0.317,0.241
PCPG,0.305,0.2,0.253,0.376,0.373
PRAD,0.336,0.252,0.233,0.325,0.327
SARC,0.168,0.187,0.136,0.128,0.183
SKCM,0.866,0.708,0.81,0.875,0.88
STES,0.469,0.346,0.406,0.494,0.494
TGCT,0.59,0.338,0.285,0.551,0.592
THCA,0.64,0.646,0.627,0.65,0.672
THYM,0.34,0.109,0.04,0.068,0.344
UCEC,0.66,0.556,0.579,0.67,0.696
